TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",0.5,,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",1,Total housing units,"349,120","+/-1,767","349,120",(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",2,Occupied housing units,"284,318","+/-4,540",81.4,+/-1.2
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",3,Vacant housing units,"64,802","+/-4,378",18.6,+/-1.2
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",3.3,,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",4,Homeowner vacancy rate,1.2,+/-0.4,(X),(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",5,Rental vacancy rate,13.5,+/-2.3,(X),(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",5.3,,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",6,Total housing units,"349,120","+/-1,767","349,120",(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",7,"1-unit, detached","244,531","+/-5,087",70.0,+/-1.4
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",8,"1-unit, attached","5,188","+/-1,469",1.5,+/-0.4
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",9,2 units,"4,567","+/-1,075",1.3,+/-0.3
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",10,3 or 4 units,"7,570","+/-1,826",2.2,+/-0.5
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",11,5 to 9 units,"12,078","+/-2,030",3.5,+/-0.6
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",12,10 to 19 units,"14,879","+/-2,919",4.3,+/-0.8
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",13,20 or more units,"27,168","+/-2,709",7.8,+/-0.8
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",14,Mobile home,"32,428","+/-3,222",9.3,+/-0.9
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",15,"Boat, RV, van, etc.",711,+/-408,0.2,+/-0.1
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",15.3,,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",16,Total housing units,"349,120","+/-1,767","349,120",(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",17,Built 2020 or later,"2,755",+/-992,0.8,+/-0.3
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",18,Built 2010 to 2019,"37,193","+/-3,648",10.7,+/-1.0
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",19,Built 2000 to 2009,"70,132","+/-4,249",20.1,+/-1.2
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",20,Built 1990 to 1999,"57,385","+/-4,319",16.4,+/-1.2
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",21,Built 1980 to 1989,"46,938","+/-3,414",13.4,+/-1.0
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",22,Built 1970 to 1979,"57,518","+/-4,250",16.5,+/-1.2
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",23,Built 1960 to 1969,"34,991","+/-3,057",10.0,+/-0.9
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",24,Built 1950 to 1959,"21,581","+/-1,927",6.2,+/-0.6
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",25,Built 1940 to 1949,"10,360","+/-1,506",3.0,+/-0.4
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",26,Built 1939 or earlier,"10,267","+/-1,506",2.9,+/-0.4
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",26.3,,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",26.5,ROOMS,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",27,Total housing units,"349,120","+/-1,767","349,120",(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",28,1 room,"4,992","+/-1,526",1.4,+/-0.4
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",29,2 rooms,"2,925",+/-911,0.8,+/-0.3
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",30,3 rooms,"16,202","+/-2,641",4.6,+/-0.8
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",31,4 rooms,"50,349","+/-4,240",14.4,+/-1.2
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",32,5 rooms,"82,004","+/-5,117",23.5,+/-1.4
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",33,6 rooms,"79,682","+/-5,322",22.8,+/-1.5
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",34,7 rooms,"45,609","+/-3,239",13.1,+/-0.9
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",35,8 rooms,"33,969","+/-3,088",9.7,+/-0.9
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",36,9 rooms or more,"33,388","+/-3,072",9.6,+/-0.9
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",37,Median rooms,5.7,+/-0.1,(X),(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",37.3,,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",37.5,BEDROOMS,,,,
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",38,Total housing units,"349,120","+/-1,767","349,120",(X)
DP04,5001800US0101,"Congressional District 1 (118th Congress), Alabama",39,No bedroom,"5,074","+/-1,537",1.5,+/-0.4
