"Party","District","Member","Counties Represented"
"R","96","Jay Adams","Catawba"
"D","114","Eric Ager","Buncombe"
"D","107","Kelly M. Alexander, Jr.","Mecklenburg"
"D","29","Vernetta Alston","Durham"
"R","69","Dean Arp","Union"
"D","100","John Autry","Mecklenburg"
"D","72","Amber M. Baker","Forsyth"
"R","82","Kristin Baker, M.D.","Cabarrus"
"R","117","Jennifer Balkcom","Henderson"
"D","49","Cynthia Ball","Wake"
"D","88","Mary Belk","Mecklenburg"
"R","10","John R. Bell, IV","Wayne"
"R","70","Brian Biggs","Randolph"
"R","86","Hugh Blackwell","Burke"
"R","98","John R. Bradford, III","Mecklenburg"
"R","22","William D. Brisson","Bladen,                         Sampson"
"D","60","Cecil Brockman","Guilford"
"R","55","Mark Brody","Anson,                         Union"
"D","8","Gloristine Brown","Pitt"
"D","71","Kanika Brown","Forsyth"
"D","92","Terry M. Brown Jr.","Mecklenburg"
"D","56","Allen Buansi","Orange"
"D","103","Laura Budd","Mecklenburg"
"D","18","Deb Butler","New Hanover"
"R","13","Celeste C. Cairns","Carteret,                         Craven"
"D","102","Becky Carney","Mecklenburg"
"D","41","Maria Cervania","Wake"
"R","25","Allen Chesser","Nash"
"R","119","Mike Clampitt","Jackson,                         Swain,                         Transylvania"
"D","57","Ashton Wheeler Clemmons","Guilford"
"R","14","George G. Cleveland","Onslow"
"R","112","Tricia Ann Cotham","Mecklenburg"
"D","66","Sarah Crawford","Wake"
"R","83","Kevin Crutchfield","Cabarrus,                         Rowan"
"D","106","Carla D. Cunningham","Mecklenburg"
"D","11","Allison A. Dahle","Wake"
"R","20","Ted Davis, Jr.","New Hanover"
"R","4","Jimmy Dixon","Duplin,                         Wayne"
"R","94","Jeffrey Elmore","Alexander,                         Wilkes"
"D","35","Terence Everitt","Wake"
"R","62","John Faircloth","Guilford"
"R","24","Ken Fontenot","Nash,                         Wilson"
"D","33","Rosa U. Gill","Wake"
"R","120","Karl E. Gillespie","Cherokee,                         Clay,                         Graham,                         Macon"
"R","1","Edward C. Goodwin","Chowan,                         Currituck,                         Dare,                         Perquimans,                         Tyrrell,                         Washington"
"R","85","Dudley Greene","Avery,                         McDowell,                         Mitchell,                         Yancey"
"R","87","Destin Hall","Caldwell,                         Watauga"
"R","91","Kyle Hall","Forsyth,                         Stokes"
"R","59","Jon Hardister                          (Resigned 4/8/24)","Guilford"
"D","105","Wesley Harris, PhD","Mecklenburg"
"D","61","Pricey Harrison","Guilford"
"R","110","Kelly E. Hastings","Cleveland,                         Gaston"
"D","31","Zack Hawkins","Durham"
"R","77","Julia C. Howard","Davie,                         Rowan,                         Yadkin"
"R","12","Chris Humphrey","Greene,                         Jones,                         Lenoir"
"R","17","Frank Iler","Brunswick"
"D","45","Frances Jackson, PhD","Cumberland"
"R","78","Neal Jackson","Moore,                         Randolph"
"D","2","B. Ray Jeffers","Durham,                         Person"
"D","40","Joe John","Wake"
"R","113","Jake Johnson","Henderson,                         McDowell,                         Polk,                         Rutherford"
"D","38","Abe Jones","Wake"
"R","46","Brenden H. Jones","Columbus,                         Robeson"
"R","79","Keith Kidwell","Beaufort,                         Dare,                         Hyde,                         Pamlico"
"R","75","Donny Lambeth","Forsyth"
"D","21","Ya Liu","Wake"
"R","109","Donnie Loftis","Gaston"
"D","104","Brandon Lofton","Mecklenburg"
"D","101","Carolyn G. Logan","Mecklenburg"
"D","34","Tim Longest","Wake"
"R","47","Jarrod Lowery","Robeson"
"D","42","Marvin W. Lucas","Cumberland"
"D","99","Nasif Majeed","Mecklenburg"
"R","84","Jeffrey C. McNeely","Iredell"
"R","19","Charles W. Miller","Brunswick,                         New Hanover"
"R","95","Grey Mills","Iredell"
"R","111","Tim Moore","Cleveland,                         Rutherford"
"D","30","Marcia Morey","Durham"
"R","52","Ben T. Moss, Jr.","Moore,                         Richmond"
"R","37","Erin Paré","Wake"
"R","53","Howard Penny, Jr.","Harnett,                         Johnston"
"R","93","Ray Pickett","Alleghany,                         Ashe,                         Watauga"
"D","48","Garland E. Pierce","Hoke,                         Scotland"
"R","6","Joseph Pike","Harnett"
"R","118","Mark Pless","Haywood,                         Madison"
"R","81","Larry W. Potts","Davidson"
"D","115","Lindsey Prather","Buncombe"
"D","50","Renée A. Price","Caswell,                         Orange"
"R","65","A. Reece Pyrtle, Jr.","Rockingham"
"D","58","Amos L. Quick, III","Guilford"
"R","9","Timothy Reeder, MD","Pitt"
"D","54","Robert T. Reives, II","Chatham,                         Randolph"
"R","64","Dennis Riddell","Alamance"
"D","39","James Roberson","Wake"
"R","63","Stephen M. Ross","Alamance"
"D","116","Caleb Rudow","Buncombe"
"R","97","Jason Saine","Lincoln"
"R","67","Wayne Sasser","Montgomery,                         Stanly"
"R","51","John Sauls","Lee,                         Moore"
"R","89","Mitchell S. Setzer","Catawba,                         Iredell"
"R","15","Phil Shepard","Onslow"
"R","16","Carson Smith","Onslow,                         Pender"
"D","44","Charles Smith","Cumberland"
"R","32","Frank Sossamon","Granville,                         Vance"
"D","73","Diamond Staton-Williams, RN, BSN, MHA","Cabarrus"
"R","90","Sarah Stevens","Surry,                         Wilkes"
"R","28","Larry C. Strickland","Johnston"
"R","108","John A. Torbett","Gaston"
"R","3","Steve Tyson","Craven"
"D","36","Julie von Haefen","Wake"
"R","5","Bill Ward","Camden,                         Gates,                         Hertford,                         Pasquotank"
"R","76","Harry Warren","Rowan"
"R","80","Sam Watford","Davidson"
"R","43","Diane Wheatley","Cumberland"
"R","26","Donna McDowell White","Johnston"
"D","23","Shelly Willingham","Bertie,                         Edgecombe,                         Martin"
"R","68","David Willis","Union"
"R","7","Matthew Winslow","Franklin,                         Granville"
"D","27","Michael H. Wray","Halifax,                         Northampton,                         Warren"
"R","74","Jeff Zenger","Forsyth"
