STATE,Total Seats,Total Senate,Senate Dem,Senate GOP,Senate other or vacant,Total House,House Dem,House GOP,House other or vacant,,,,
Alabama,140,35,8,27,,105,28,75,2,,,,
Alaska,60,20,9,11,,40,13,22,5,,,,
Arizona,90,30,14,16,,60,29,31,,,,,
Arkansas,135,35,6,29,,100,18,82,,,,,
California,120,40,32,8,,80,62,18,,,,,
Colorado,100,35,23,12,,65,46,19,,,,,
Connecticut,187,36,24,12,,151,98,53,,,,,
Delaware,62,21,15,6,,41,26,15,,,,,
Florida,160,40,12,28,,120,36,84,,,,,
Georgia,236,56,23,33,,180,78,100,2,,,,
Hawaii,76,25,23,2,,51,45,6,,,,,
Idaho,105,35,7,28,,70,11,59,,,,,
Illinois,177,59,40,19,,118,78,40,,,,,
Indiana,150,50,10,40,,100,30,70,,,,,
Iowa,150,50,16,34,,100,36,64,,,,,
Kansas,165,40,11,28,1,125,40,85,,,,,
Kentucky,138,38,7,31,,100,20,78,2,,,,
Louisiana,144,39,11,28,,105,32,73,,,,,
Maine,186,35,22,13,,151,80,68,3,,,,
Maryland,188,47,34,13,,141,102,39,,,,,
Massachusetts,200,40,36,4,,160,133,24,3,,,,
Michigan,148,38,20,18,,110,54,54,2,,,,
Minnesota,201,67,34,33,,134,70,63,1,,,,
Mississippi,174,52,16,36,,122,41,79,2,,,,
Missouri,197,34,10,24,,163,51,111,1,,,,
Montana,150,50,16,34,,100,32,68,,,,,
Nebraska,49,49,,,49,,,,,,,,
Nevada,63,21,13,7,1,42,26,14,2,,,,
New Hampshire,424,24,10,14,,400,193,201,6,,,,
New Jersey,120,40,25,15,,80,52,28,,,,,
New Mexico,112,42,27,15,,70,45,25,,,,,
New York,213,63,42,21,,150,102,48,,,,,
North Carolina,170,50,20,30,,120,48,72,,,,,
North Dakota,141,47,4,43,,94,12,82,,,,,
Ohio,132,33,7,26,,99,32,66,1,,,,
Oklahoma,149,48,8,40,,101,20,81,,,,,
Oregon,90,30,17,12,1,60,35,25,,,,,
Pennsylvania,253,50,22,28,,203,102,100,1,,,,
Rhode Island,113,38,32,5,1,75,65,9,1,,,,
South Carolina,170,46,15,30,1,124,35,88,1,,,,
South Dakota,105,35,4,31,,70,7,63,,,,,
Tennessee,132,33,6,27,,99,24,75,,,,,
Texas,181,31,11,19,1,150,64,86,,,,,
Utah,104,29,6,23,,75,14,61,,,,,
Vermont,180,30,22,7,1,150,104,37,9,,,,
Virginia,140,40,21,19,,100,51,49,,,,,
Washington,147,49,29,20,,98,58,40,,,,,
West Virginia,134,34,3,31,,100,11,89,,,,,
Wisconsin,132,33,10,22,1,99,35,64,,,,,
Wyoming,93,31,2,29,,62,5,57,,,,,
Total States,7386,1973,835,1081,57,5413,2429,2940,44,,,,
