"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US02001,"State House District 1 (2022), Alaska",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US02001,"State House District 1 (2022), Alaska",0.5,,,,,
620L800US02001,"State House District 1 (2022), Alaska",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US02001,"State House District 1 (2022), Alaska",1,Total households,"6,929",+/-158,"6,929",(X)
620L800US02001,"State House District 1 (2022), Alaska",2,Married-couple household,"3,375",+/-175,48.7,+/-2.4
620L800US02001,"State House District 1 (2022), Alaska",3,With children of the householder under 18 years,"1,155",+/-110,16.7,+/-1.6
620L800US02001,"State House District 1 (2022), Alaska",4,Cohabiting couple household,577,+/-84,8.3,+/-1.2
620L800US02001,"State House District 1 (2022), Alaska",5,With children of the householder under 18 years,234,+/-59,3.4,+/-0.8
620L800US02001,"State House District 1 (2022), Alaska",6,"Male householder, no spouse/partner present","1,444",+/-158,20.8,+/-2.2
620L800US02001,"State House District 1 (2022), Alaska",7,With children of the householder under 18 years,111,+/-38,1.6,+/-0.5
620L800US02001,"State House District 1 (2022), Alaska",8,Householder living alone,"1,036",+/-148,15.0,+/-2.1
620L800US02001,"State House District 1 (2022), Alaska",9,65 years and over,329,+/-74,4.7,+/-1.1
620L800US02001,"State House District 1 (2022), Alaska",10,"Female householder, no spouse/partner present","1,533",+/-119,22.1,+/-1.7
620L800US02001,"State House District 1 (2022), Alaska",11,With children of the householder under 18 years,258,+/-60,3.7,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",12,Householder living alone,905,+/-102,13.1,+/-1.4
620L800US02001,"State House District 1 (2022), Alaska",13,65 years and over,472,+/-67,6.8,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",13.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",14,Households with one or more people under 18 years,"2,017",+/-130,29.1,+/-1.8
620L800US02001,"State House District 1 (2022), Alaska",15,Households with one or more people 65 years and over,"2,272",+/-118,32.8,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",15.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",16,Average household size,2.53,+/-0.06,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",17,Average family size,3.09,+/-0.09,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",17.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",17.5,RELATIONSHIP,,,,
620L800US02001,"State House District 1 (2022), Alaska",18,Population in households,"17,562",+/-211,"17,562",(X)
620L800US02001,"State House District 1 (2022), Alaska",19,Householder,"6,929",+/-158,39.5,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",20,Spouse,"3,346",+/-169,19.1,+/-1.0
620L800US02001,"State House District 1 (2022), Alaska",21,Unmarried partner,592,+/-98,3.4,+/-0.5
620L800US02001,"State House District 1 (2022), Alaska",22,Child,"4,860",+/-234,27.7,+/-1.2
620L800US02001,"State House District 1 (2022), Alaska",23,Other relatives,"1,189",+/-167,6.8,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",24,Other nonrelatives,646,+/-123,3.7,+/-0.7
620L800US02001,"State House District 1 (2022), Alaska",24.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",24.5,MARITAL STATUS,,,,
620L800US02001,"State House District 1 (2022), Alaska",25,Males 15 years and over,"7,720",+/-121,"7,720",(X)
620L800US02001,"State House District 1 (2022), Alaska",26,Never married,"2,529",+/-166,32.8,+/-1.9
620L800US02001,"State House District 1 (2022), Alaska",27,"Now married, except separated","3,873",+/-179,50.2,+/-2.5
620L800US02001,"State House District 1 (2022), Alaska",28,Separated,100,+/-36,1.3,+/-0.5
620L800US02001,"State House District 1 (2022), Alaska",29,Widowed,261,+/-65,3.4,+/-0.8
620L800US02001,"State House District 1 (2022), Alaska",30,Divorced,957,+/-122,12.4,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",30.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",31,Females 15 years and over,"6,864",+/-115,"6,864",(X)
620L800US02001,"State House District 1 (2022), Alaska",32,Never married,"1,788",+/-120,26.0,+/-1.7
620L800US02001,"State House District 1 (2022), Alaska",33,"Now married, except separated","3,435",+/-179,50.0,+/-2.4
620L800US02001,"State House District 1 (2022), Alaska",34,Separated,65,+/-28,0.9,+/-0.4
620L800US02001,"State House District 1 (2022), Alaska",35,Widowed,539,+/-71,7.9,+/-1.0
620L800US02001,"State House District 1 (2022), Alaska",36,Divorced,"1,037",+/-133,15.1,+/-2.0
620L800US02001,"State House District 1 (2022), Alaska",36.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",36.5,FERTILITY,,,,
620L800US02001,"State House District 1 (2022), Alaska",37,Number of women 15 to 50 years old who had a birth in the past 12 months,157,+/-44,157,(X)
620L800US02001,"State House District 1 (2022), Alaska",38,"Unmarried women (widowed, divorced, and never married)",85,+/-36,54.1,+/-15.0
620L800US02001,"State House District 1 (2022), Alaska",39,"Per 1,000 unmarried women",42,+/-18,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",40,"Per 1,000 women 15 to 50 years old",43,+/-12,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",41,"Per 1,000 women 15 to 19 years old",0,+/-46,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",42,"Per 1,000 women 20 to 34 years old",90,+/-25,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",43,"Per 1,000 women 35 to 50 years old",12,+/-9,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",43.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",43.5,GRANDPARENTS,,,,
620L800US02001,"State House District 1 (2022), Alaska",44,Number of grandparents living with own grandchildren under 18 years,468,+/-105,468,(X)
620L800US02001,"State House District 1 (2022), Alaska",45,Grandparents responsible for grandchildren,271,+/-84,57.9,+/-11.4
620L800US02001,"State House District 1 (2022), Alaska",45.9,Years responsible for grandchildren,,,,
620L800US02001,"State House District 1 (2022), Alaska",46,Less than 1 year,21,+/-20,4.5,+/-4.3
620L800US02001,"State House District 1 (2022), Alaska",47,1 or 2 years,61,+/-32,13.0,+/-6.8
620L800US02001,"State House District 1 (2022), Alaska",48,3 or 4 years,61,+/-43,13.0,+/-9.1
