"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US01001,"State House District 1 (2022), Alabama",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US01001,"State House District 1 (2022), Alabama",0.5,,,,,
620L800US01001,"State House District 1 (2022), Alabama",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US01001,"State House District 1 (2022), Alabama",1,Total households,"19,955",+/-657,"19,955",(X)
620L800US01001,"State House District 1 (2022), Alabama",2,Married-couple household,"9,408",+/-621,47.1,+/-2.9
620L800US01001,"State House District 1 (2022), Alabama",3,With children of the householder under 18 years,"3,087",+/-394,15.5,+/-2.0
620L800US01001,"State House District 1 (2022), Alabama",4,Cohabiting couple household,"1,037",+/-279,5.2,+/-1.4
620L800US01001,"State House District 1 (2022), Alabama",5,With children of the householder under 18 years,219,+/-136,1.1,+/-0.7
620L800US01001,"State House District 1 (2022), Alabama",6,"Male householder, no spouse/partner present","3,248",+/-374,16.3,+/-1.9
620L800US01001,"State House District 1 (2022), Alabama",7,With children of the householder under 18 years,296,+/-144,1.5,+/-0.7
620L800US01001,"State House District 1 (2022), Alabama",8,Householder living alone,"2,393",+/-338,12.0,+/-1.7
620L800US01001,"State House District 1 (2022), Alabama",9,65 years and over,873,+/-242,4.4,+/-1.2
620L800US01001,"State House District 1 (2022), Alabama",10,"Female householder, no spouse/partner present","6,262",+/-631,31.4,+/-2.8
620L800US01001,"State House District 1 (2022), Alabama",11,With children of the householder under 18 years,"1,054",+/-251,5.3,+/-1.2
620L800US01001,"State House District 1 (2022), Alabama",12,Householder living alone,"3,431",+/-511,17.2,+/-2.4
620L800US01001,"State House District 1 (2022), Alabama",13,65 years and over,"1,971",+/-397,9.9,+/-1.9
620L800US01001,"State House District 1 (2022), Alabama",13.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",14,Households with one or more people under 18 years,"5,541",+/-527,27.8,+/-2.3
620L800US01001,"State House District 1 (2022), Alabama",15,Households with one or more people 65 years and over,"6,746",+/-388,33.8,+/-1.7
620L800US01001,"State House District 1 (2022), Alabama",15.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",16,Average household size,2.40,+/-0.07,(X),(X)
620L800US01001,"State House District 1 (2022), Alabama",17,Average family size,3.00,+/-0.10,(X),(X)
620L800US01001,"State House District 1 (2022), Alabama",17.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",17.5,RELATIONSHIP,,,,
620L800US01001,"State House District 1 (2022), Alabama",18,Population in households,"47,804","+/-1,444","47,804",(X)
620L800US01001,"State House District 1 (2022), Alabama",19,Householder,"19,955",+/-657,41.7,+/-1.1
620L800US01001,"State House District 1 (2022), Alabama",20,Spouse,"9,441",+/-582,19.7,+/-1.0
620L800US01001,"State House District 1 (2022), Alabama",21,Unmarried partner,946,+/-245,2.0,+/-0.5
620L800US01001,"State House District 1 (2022), Alabama",22,Child,"13,391","+/-1,067",28.0,+/-1.9
620L800US01001,"State House District 1 (2022), Alabama",23,Other relatives,"2,683",+/-505,5.6,+/-1.1
620L800US01001,"State House District 1 (2022), Alabama",24,Other nonrelatives,"1,388",+/-505,2.9,+/-1.1
620L800US01001,"State House District 1 (2022), Alabama",24.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",24.5,MARITAL STATUS,,,,
620L800US01001,"State House District 1 (2022), Alabama",25,Males 15 years and over,"19,127",+/-790,"19,127",(X)
620L800US01001,"State House District 1 (2022), Alabama",26,Never married,"6,160",+/-613,32.2,+/-2.5
620L800US01001,"State House District 1 (2022), Alabama",27,"Now married, except separated","9,928",+/-580,51.9,+/-2.7
620L800US01001,"State House District 1 (2022), Alabama",28,Separated,230,+/-119,1.2,+/-0.6
620L800US01001,"State House District 1 (2022), Alabama",29,Widowed,871,+/-232,4.6,+/-1.2
620L800US01001,"State House District 1 (2022), Alabama",30,Divorced,"1,938",+/-364,10.1,+/-1.9
620L800US01001,"State House District 1 (2022), Alabama",30.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",31,Females 15 years and over,"21,385",+/-713,"21,385",(X)
620L800US01001,"State House District 1 (2022), Alabama",32,Never married,"5,727",+/-625,26.8,+/-2.6
620L800US01001,"State House District 1 (2022), Alabama",33,"Now married, except separated","9,464",+/-628,44.3,+/-3.0
620L800US01001,"State House District 1 (2022), Alabama",34,Separated,310,+/-146,1.4,+/-0.7
620L800US01001,"State House District 1 (2022), Alabama",35,Widowed,"2,654",+/-419,12.4,+/-1.9
620L800US01001,"State House District 1 (2022), Alabama",36,Divorced,"3,230",+/-468,15.1,+/-2.0
620L800US01001,"State House District 1 (2022), Alabama",36.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",36.5,FERTILITY,,,,
620L800US01001,"State House District 1 (2022), Alabama",37,Number of women 15 to 50 years old who had a birth in the past 12 months,288,+/-132,288,(X)
620L800US01001,"State House District 1 (2022), Alabama",38,"Unmarried women (widowed, divorced, and never married)",117,+/-88,40.6,+/-21.3
620L800US01001,"State House District 1 (2022), Alabama",39,"Per 1,000 unmarried women",17,+/-13,(X),(X)
620L800US01001,"State House District 1 (2022), Alabama",40,"Per 1,000 women 15 to 50 years old",26,+/-12,(X),(X)
620L800US01001,"State House District 1 (2022), Alabama",41,"Per 1,000 women 15 to 19 years old",10,+/-20,(X),(X)
620L800US01001,"State House District 1 (2022), Alabama",42,"Per 1,000 women 20 to 34 years old",48,+/-24,(X),(X)
620L800US01001,"State House District 1 (2022), Alabama",43,"Per 1,000 women 35 to 50 years old",4,+/-6,(X),(X)
620L800US01001,"State House District 1 (2022), Alabama",43.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",43.5,GRANDPARENTS,,,,
620L800US01001,"State House District 1 (2022), Alabama",44,Number of grandparents living with own grandchildren under 18 years,"1,460",+/-520,"1,460",(X)
620L800US01001,"State House District 1 (2022), Alabama",45,Grandparents responsible for grandchildren,"1,078",+/-491,73.8,+/-12.3
620L800US01001,"State House District 1 (2022), Alabama",45.9,Years responsible for grandchildren,,,,
620L800US01001,"State House District 1 (2022), Alabama",46,Less than 1 year,0,+/-27,0.0,+/-2.5
620L800US01001,"State House District 1 (2022), Alabama",47,1 or 2 years,764,+/-480,52.3,+/-20.2
620L800US01001,"State House District 1 (2022), Alabama",48,3 or 4 years,92,+/-80,6.3,+/-6.4
620L800US01001,"State House District 1 (2022), Alabama",49,5 or more years,222,+/-140,15.2,+/-9.6
620L800US01001,"State House District 1 (2022), Alabama",49.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",50,Number of grandparents responsible for own grandchildren under 18 years,"1,078",+/-491,"1,078",(X)
620L800US01001,"State House District 1 (2022), Alabama",51,Who are female,615,+/-337,57.1,+/-16.2
620L800US01001,"State House District 1 (2022), Alabama",52,Who are married,794,+/-433,73.7,+/-25.8
620L800US01001,"State House District 1 (2022), Alabama",52.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",52.5,SCHOOL ENROLLMENT,,,,
620L800US01001,"State House District 1 (2022), Alabama",53,Population 3 years and over enrolled in school,"11,731",+/-697,"11,731",(X)
620L800US01001,"State House District 1 (2022), Alabama",54,"Nursery school, preschool",951,+/-336,8.1,+/-2.8
620L800US01001,"State House District 1 (2022), Alabama",55,Kindergarten,466,+/-241,4.0,+/-2.1
620L800US01001,"State House District 1 (2022), Alabama",56,Elementary school (grades 1-8),"4,499",+/-595,38.4,+/-4.6
620L800US01001,"State House District 1 (2022), Alabama",57,High school (grades 9-12),"2,075",+/-320,17.7,+/-2.5
620L800US01001,"State House District 1 (2022), Alabama",58,College or graduate school,"3,740",+/-468,31.9,+/-3.3
620L800US01001,"State House District 1 (2022), Alabama",58.3,,,,,
620L800US01001,"State House District 1 (2022), Alabama",58.5,EDUCATIONAL ATTAINMENT,,,,
620L800US01001,"State House District 1 (2022), Alabama",59,Population 25 years and over,"33,105",+/-990,"33,105",(X)
620L800US01001,"State House District 1 (2022), Alabama",60,Less than 9th grade,822,+/-236,2.5,+/-0.7
620L800US01001,"State House District 1 (2022), Alabama",61,"9th to 12th grade, no diploma","2,789",+/-477,8.4,+/-1.4
620L800US01001,"State House District 1 (2022), Alabama",62,High school graduate (includes equivalency),"11,240",+/-853,34.0,+/-2.3
