"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US09001,"State House District 1 (2022), Connecticut",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US09001,"State House District 1 (2022), Connecticut",0.5,,,,,
620L800US09001,"State House District 1 (2022), Connecticut",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US09001,"State House District 1 (2022), Connecticut",1,Total households,"10,018",+/-580,"10,018",(X)
620L800US09001,"State House District 1 (2022), Connecticut",2,Married-couple household,"1,468",+/-237,14.7,+/-2.3
620L800US09001,"State House District 1 (2022), Connecticut",3,With children of the householder under 18 years,611,+/-166,6.1,+/-1.6
620L800US09001,"State House District 1 (2022), Connecticut",4,Cohabiting couple household,799,+/-208,8.0,+/-2.1
620L800US09001,"State House District 1 (2022), Connecticut",5,With children of the householder under 18 years,296,+/-110,3.0,+/-1.1
620L800US09001,"State House District 1 (2022), Connecticut",6,"Male householder, no spouse/partner present","2,829",+/-410,28.2,+/-3.6
620L800US09001,"State House District 1 (2022), Connecticut",7,With children of the householder under 18 years,143,+/-121,1.4,+/-1.2
620L800US09001,"State House District 1 (2022), Connecticut",8,Householder living alone,"2,289",+/-379,22.8,+/-3.4
620L800US09001,"State House District 1 (2022), Connecticut",9,65 years and over,497,+/-140,5.0,+/-1.4
620L800US09001,"State House District 1 (2022), Connecticut",10,"Female householder, no spouse/partner present","4,922",+/-436,49.1,+/-3.1
620L800US09001,"State House District 1 (2022), Connecticut",11,With children of the householder under 18 years,"1,235",+/-251,12.3,+/-2.5
620L800US09001,"State House District 1 (2022), Connecticut",12,Householder living alone,"2,330",+/-385,23.3,+/-3.1
620L800US09001,"State House District 1 (2022), Connecticut",13,65 years and over,755,+/-229,7.5,+/-2.2
620L800US09001,"State House District 1 (2022), Connecticut",13.3,,,,,
620L800US09001,"State House District 1 (2022), Connecticut",14,Households with one or more people under 18 years,"2,758",+/-326,27.5,+/-3.2
620L800US09001,"State House District 1 (2022), Connecticut",15,Households with one or more people 65 years and over,"2,101",+/-331,21.0,+/-3.1
620L800US09001,"State House District 1 (2022), Connecticut",15.3,,,,,
620L800US09001,"State House District 1 (2022), Connecticut",16,Average household size,2.19,+/-0.10,(X),(X)
620L800US09001,"State House District 1 (2022), Connecticut",17,Average family size,3.21,+/-0.17,(X),(X)
620L800US09001,"State House District 1 (2022), Connecticut",17.3,,,,,
620L800US09001,"State House District 1 (2022), Connecticut",17.5,RELATIONSHIP,,,,
620L800US09001,"State House District 1 (2022), Connecticut",18,Population in households,"21,895","+/-1,263","21,895",(X)
620L800US09001,"State House District 1 (2022), Connecticut",19,Householder,"10,018",+/-580,45.8,+/-2.1
620L800US09001,"State House District 1 (2022), Connecticut",20,Spouse,"1,466",+/-231,6.7,+/-1.0
620L800US09001,"State House District 1 (2022), Connecticut",21,Unmarried partner,804,+/-221,3.7,+/-1.0
620L800US09001,"State House District 1 (2022), Connecticut",22,Child,"6,661",+/-791,30.4,+/-2.7
620L800US09001,"State House District 1 (2022), Connecticut",23,Other relatives,"1,451",+/-356,6.6,+/-1.5
620L800US09001,"State House District 1 (2022), Connecticut",24,Other nonrelatives,"1,495",+/-482,6.8,+/-2.1
620L800US09001,"State House District 1 (2022), Connecticut",24.3,,,,,
620L800US09001,"State House District 1 (2022), Connecticut",24.5,MARITAL STATUS,,,,
620L800US09001,"State House District 1 (2022), Connecticut",25,Males 15 years and over,"7,652",+/-589,"7,652",(X)
620L800US09001,"State House District 1 (2022), Connecticut",26,Never married,"4,690",+/-602,61.3,+/-4.8
620L800US09001,"State House District 1 (2022), Connecticut",27,"Now married, except separated","1,712",+/-276,22.4,+/-3.6
620L800US09001,"State House District 1 (2022), Connecticut",28,Separated,170,+/-78,2.2,+/-1.0
620L800US09001,"State House District 1 (2022), Connecticut",29,Widowed,223,+/-107,2.9,+/-1.4
620L800US09001,"State House District 1 (2022), Connecticut",30,Divorced,857,+/-202,11.2,+/-2.7
620L800US09001,"State House District 1 (2022), Connecticut",30.3,,,,,
620L800US09001,"State House District 1 (2022), Connecticut",31,Females 15 years and over,"10,001",+/-731,"10,001",(X)
620L800US09001,"State House District 1 (2022), Connecticut",32,Never married,"5,891",+/-618,58.9,+/-4.2
620L800US09001,"State House District 1 (2022), Connecticut",33,"Now married, except separated","1,692",+/-251,16.9,+/-2.5
620L800US09001,"State House District 1 (2022), Connecticut",34,Separated,354,+/-148,3.5,+/-1.5
