"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US19001,"State House District 1 (2022), Iowa",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US19001,"State House District 1 (2022), Iowa",0.5,,,,,
620L800US19001,"State House District 1 (2022), Iowa",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US19001,"State House District 1 (2022), Iowa",1,Total households,"11,949",+/-614,"11,949",(X)
620L800US19001,"State House District 1 (2022), Iowa",2,Married-couple household,"4,323",+/-379,36.2,+/-2.9
620L800US19001,"State House District 1 (2022), Iowa",3,With children of the householder under 18 years,"1,926",+/-236,16.1,+/-1.9
620L800US19001,"State House District 1 (2022), Iowa",4,Cohabiting couple household,"1,318",+/-287,11.0,+/-2.2
620L800US19001,"State House District 1 (2022), Iowa",5,With children of the householder under 18 years,617,+/-188,5.2,+/-1.5
620L800US19001,"State House District 1 (2022), Iowa",6,"Male householder, no spouse/partner present","2,189",+/-378,18.3,+/-2.9
620L800US19001,"State House District 1 (2022), Iowa",7,With children of the householder under 18 years,286,+/-104,2.4,+/-0.9
620L800US19001,"State House District 1 (2022), Iowa",8,Householder living alone,"1,393",+/-319,11.7,+/-2.5
620L800US19001,"State House District 1 (2022), Iowa",9,65 years and over,317,+/-92,2.7,+/-0.8
620L800US19001,"State House District 1 (2022), Iowa",10,"Female householder, no spouse/partner present","4,119",+/-395,34.5,+/-2.9
620L800US19001,"State House District 1 (2022), Iowa",11,With children of the householder under 18 years,"1,205",+/-269,10.1,+/-2.2
620L800US19001,"State House District 1 (2022), Iowa",12,Householder living alone,"2,100",+/-298,17.6,+/-2.3
620L800US19001,"State House District 1 (2022), Iowa",13,65 years and over,"1,049",+/-230,8.8,+/-1.9
620L800US19001,"State House District 1 (2022), Iowa",13.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",14,Households with one or more people under 18 years,"4,537",+/-414,38.0,+/-3.0
620L800US19001,"State House District 1 (2022), Iowa",15,Households with one or more people 65 years and over,"3,215",+/-341,26.9,+/-2.7
620L800US19001,"State House District 1 (2022), Iowa",15.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",16,Average household size,2.62,+/-0.10,(X),(X)
620L800US19001,"State House District 1 (2022), Iowa",17,Average family size,3.26,+/-0.13,(X),(X)
620L800US19001,"State House District 1 (2022), Iowa",17.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",17.5,RELATIONSHIP,,,,
620L800US19001,"State House District 1 (2022), Iowa",18,Population in households,"31,325","+/-1,491","31,325",(X)
620L800US19001,"State House District 1 (2022), Iowa",19,Householder,"11,949",+/-614,38.1,+/-1.4
620L800US19001,"State House District 1 (2022), Iowa",20,Spouse,"4,326",+/-394,13.8,+/-1.2
620L800US19001,"State House District 1 (2022), Iowa",21,Unmarried partner,"1,156",+/-238,3.7,+/-0.7
620L800US19001,"State House District 1 (2022), Iowa",22,Child,"10,313",+/-717,32.9,+/-1.6
620L800US19001,"State House District 1 (2022), Iowa",23,Other relatives,"2,672",+/-578,8.5,+/-1.7
620L800US19001,"State House District 1 (2022), Iowa",24,Other nonrelatives,909,+/-218,2.9,+/-0.7
620L800US19001,"State House District 1 (2022), Iowa",24.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",24.5,MARITAL STATUS,,,,
620L800US19001,"State House District 1 (2022), Iowa",25,Males 15 years and over,"11,545",+/-691,"11,545",(X)
620L800US19001,"State House District 1 (2022), Iowa",26,Never married,"4,693",+/-581,40.6,+/-3.6
620L800US19001,"State House District 1 (2022), Iowa",27,"Now married, except separated","4,964",+/-418,43.0,+/-3.6
620L800US19001,"State House District 1 (2022), Iowa",28,Separated,301,+/-129,2.6,+/-1.1
620L800US19001,"State House District 1 (2022), Iowa",29,Widowed,202,+/-72,1.7,+/-0.6
620L800US19001,"State House District 1 (2022), Iowa",30,Divorced,"1,385",+/-237,12.0,+/-1.8
620L800US19001,"State House District 1 (2022), Iowa",30.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",31,Females 15 years and over,"13,028",+/-687,"13,028",(X)
620L800US19001,"State House District 1 (2022), Iowa",32,Never married,"4,683",+/-504,35.9,+/-2.9
620L800US19001,"State House District 1 (2022), Iowa",33,"Now married, except separated","4,891",+/-369,37.5,+/-2.7
620L800US19001,"State House District 1 (2022), Iowa",34,Separated,275,+/-121,2.1,+/-0.9
620L800US19001,"State House District 1 (2022), Iowa",35,Widowed,"1,146",+/-234,8.8,+/-1.8
620L800US19001,"State House District 1 (2022), Iowa",36,Divorced,"2,033",+/-321,15.6,+/-2.3
620L800US19001,"State House District 1 (2022), Iowa",36.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",36.5,FERTILITY,,,,
620L800US19001,"State House District 1 (2022), Iowa",37,Number of women 15 to 50 years old who had a birth in the past 12 months,581,+/-184,581,(X)
620L800US19001,"State House District 1 (2022), Iowa",38,"Unmarried women (widowed, divorced, and never married)",210,+/-111,36.1,+/-13.3
620L800US19001,"State House District 1 (2022), Iowa",39,"Per 1,000 unmarried women",44,+/-23,(X),(X)
620L800US19001,"State House District 1 (2022), Iowa",40,"Per 1,000 women 15 to 50 years old",72,+/-23,(X),(X)
620L800US19001,"State House District 1 (2022), Iowa",41,"Per 1,000 women 15 to 19 years old",15,+/-20,(X),(X)
620L800US19001,"State House District 1 (2022), Iowa",42,"Per 1,000 women 20 to 34 years old",139,+/-49,(X),(X)
620L800US19001,"State House District 1 (2022), Iowa",43,"Per 1,000 women 35 to 50 years old",22,+/-13,(X),(X)
620L800US19001,"State House District 1 (2022), Iowa",43.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",43.5,GRANDPARENTS,,,,
620L800US19001,"State House District 1 (2022), Iowa",44,Number of grandparents living with own grandchildren under 18 years,628,+/-163,628,(X)
620L800US19001,"State House District 1 (2022), Iowa",45,Grandparents responsible for grandchildren,154,+/-99,24.5,+/-14.0
620L800US19001,"State House District 1 (2022), Iowa",45.9,Years responsible for grandchildren,,,,
620L800US19001,"State House District 1 (2022), Iowa",46,Less than 1 year,8,+/-12,1.3,+/-2.0
620L800US19001,"State House District 1 (2022), Iowa",47,1 or 2 years,89,+/-88,14.2,+/-13.1
620L800US19001,"State House District 1 (2022), Iowa",48,3 or 4 years,5,+/-10,0.8,+/-1.5
620L800US19001,"State House District 1 (2022), Iowa",49,5 or more years,52,+/-46,8.3,+/-7.4
620L800US19001,"State House District 1 (2022), Iowa",49.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",50,Number of grandparents responsible for own grandchildren under 18 years,154,+/-99,154,(X)
620L800US19001,"State House District 1 (2022), Iowa",51,Who are female,88,+/-56,57.1,+/-13.1
620L800US19001,"State House District 1 (2022), Iowa",52,Who are married,49,+/-46,31.8,+/-27.3
620L800US19001,"State House District 1 (2022), Iowa",52.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",52.5,SCHOOL ENROLLMENT,,,,
620L800US19001,"State House District 1 (2022), Iowa",53,Population 3 years and over enrolled in school,"8,480",+/-745,"8,480",(X)
620L800US19001,"State House District 1 (2022), Iowa",54,"Nursery school, preschool",426,+/-166,5.0,+/-1.9
620L800US19001,"State House District 1 (2022), Iowa",55,Kindergarten,326,+/-130,3.8,+/-1.5
620L800US19001,"State House District 1 (2022), Iowa",56,Elementary school (grades 1-8),"4,364",+/-479,51.5,+/-3.4
620L800US19001,"State House District 1 (2022), Iowa",57,High school (grades 9-12),"1,822",+/-258,21.5,+/-2.5
620L800US19001,"State House District 1 (2022), Iowa",58,College or graduate school,"1,542",+/-260,18.2,+/-2.7
620L800US19001,"State House District 1 (2022), Iowa",58.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",58.5,EDUCATIONAL ATTAINMENT,,,,
620L800US19001,"State House District 1 (2022), Iowa",59,Population 25 years and over,"19,742",+/-969,"19,742",(X)
620L800US19001,"State House District 1 (2022), Iowa",60,Less than 9th grade,"2,785",+/-339,14.1,+/-1.7
620L800US19001,"State House District 1 (2022), Iowa",61,"9th to 12th grade, no diploma","1,807",+/-306,9.2,+/-1.6
620L800US19001,"State House District 1 (2022), Iowa",62,High school graduate (includes equivalency),"6,497",+/-708,32.9,+/-3.1
620L800US19001,"State House District 1 (2022), Iowa",63,"Some college, no degree","4,142",+/-497,21.0,+/-2.1
620L800US19001,"State House District 1 (2022), Iowa",64,Associate's degree,"1,583",+/-275,8.0,+/-1.3
620L800US19001,"State House District 1 (2022), Iowa",65,Bachelor's degree,"2,000",+/-347,10.1,+/-1.7
620L800US19001,"State House District 1 (2022), Iowa",66,Graduate or professional degree,928,+/-208,4.7,+/-1.0
620L800US19001,"State House District 1 (2022), Iowa",66.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",67,High school graduate or higher,"15,150","+/-1,003",76.7,+/-2.3
620L800US19001,"State House District 1 (2022), Iowa",68,Bachelor's degree or higher,"2,928",+/-441,14.8,+/-2.1
620L800US19001,"State House District 1 (2022), Iowa",68.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",68.5,VETERAN STATUS,,,,
620L800US19001,"State House District 1 (2022), Iowa",69,Civilian population 18 years and over,"23,068","+/-1,064","23,068",(X)
620L800US19001,"State House District 1 (2022), Iowa",70,Civilian veterans,"1,339",+/-226,5.8,+/-1.0
620L800US19001,"State House District 1 (2022), Iowa",70.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
620L800US19001,"State House District 1 (2022), Iowa",71,Total Civilian Noninstitutionalized Population,"31,940","+/-1,495","31,940",(X)
620L800US19001,"State House District 1 (2022), Iowa",72,With a disability,"4,583",+/-555,14.3,+/-1.6
620L800US19001,"State House District 1 (2022), Iowa",72.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",73,Under 18 years,"9,096",+/-729,"9,096",(X)
620L800US19001,"State House District 1 (2022), Iowa",74,With a disability,469,+/-166,5.2,+/-1.7
620L800US19001,"State House District 1 (2022), Iowa",74.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",75,18 to 64 years,"18,800",+/-989,"18,800",(X)
620L800US19001,"State House District 1 (2022), Iowa",76,With a disability,"2,757",+/-402,14.7,+/-2.0
620L800US19001,"State House District 1 (2022), Iowa",76.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",77,65 years and over,"4,044",+/-385,"4,044",(X)
620L800US19001,"State House District 1 (2022), Iowa",78,With a disability,"1,357",+/-258,33.6,+/-5.6
620L800US19001,"State House District 1 (2022), Iowa",78.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",78.5,RESIDENCE 1 YEAR AGO,,,,
620L800US19001,"State House District 1 (2022), Iowa",79,Population 1 year and over,"31,657","+/-1,532","31,657",(X)
620L800US19001,"State House District 1 (2022), Iowa",80,Same house,"28,390","+/-1,501",89.7,+/-1.6
620L800US19001,"State House District 1 (2022), Iowa",81,Different house (in the U.S. or abroad),"3,267",+/-504,10.3,+/-1.6
620L800US19001,"State House District 1 (2022), Iowa",82,Different house in the U.S.,"3,168",+/-492,10.0,+/-1.5
620L800US19001,"State House District 1 (2022), Iowa",83,Same county,"1,874",+/-380,5.9,+/-1.2
620L800US19001,"State House District 1 (2022), Iowa",84,Different county,"1,294",+/-366,4.1,+/-1.1
620L800US19001,"State House District 1 (2022), Iowa",85,Same state,543,+/-225,1.7,+/-0.7
620L800US19001,"State House District 1 (2022), Iowa",86,Different state,751,+/-258,2.4,+/-0.8
620L800US19001,"State House District 1 (2022), Iowa",87,Abroad,99,+/-89,0.3,+/-0.3
620L800US19001,"State House District 1 (2022), Iowa",87.3,,,,,
620L800US19001,"State House District 1 (2022), Iowa",87.5,PLACE OF BIRTH,,,,
620L800US19001,"State House District 1 (2022), Iowa",88,Total population,"32,225","+/-1,502","32,225",(X)
620L800US19001,"State House District 1 (2022), Iowa",89,Native,"26,834","+/-1,393",83.3,+/-1.6
620L800US19001,"State House District 1 (2022), Iowa",90,Born in United States,"26,286","+/-1,402",81.6,+/-1.7
620L800US19001,"State House District 1 (2022), Iowa",91,State of residence,"18,043","+/-1,198",56.0,+/-2.2
