"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US25001,"1st Barnstable District (2022), Massachusetts",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",0.5,,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",1,Total households,"19,315",+/-589,"19,315",(X)
620L800US25001,"1st Barnstable District (2022), Massachusetts",2,Married-couple household,"9,434",+/-541,48.8,+/-2.4
620L800US25001,"1st Barnstable District (2022), Massachusetts",3,With children of the householder under 18 years,"1,678",+/-248,8.7,+/-1.3
620L800US25001,"1st Barnstable District (2022), Massachusetts",4,Cohabiting couple household,"1,014",+/-215,5.2,+/-1.1
620L800US25001,"1st Barnstable District (2022), Massachusetts",5,With children of the householder under 18 years,261,+/-155,1.4,+/-0.8
620L800US25001,"1st Barnstable District (2022), Massachusetts",6,"Male householder, no spouse/partner present","3,249",+/-373,16.8,+/-1.8
620L800US25001,"1st Barnstable District (2022), Massachusetts",7,With children of the householder under 18 years,239,+/-155,1.2,+/-0.8
620L800US25001,"1st Barnstable District (2022), Massachusetts",8,Householder living alone,"2,217",+/-291,11.5,+/-1.4
620L800US25001,"1st Barnstable District (2022), Massachusetts",9,65 years and over,"1,134",+/-214,5.9,+/-1.1
620L800US25001,"1st Barnstable District (2022), Massachusetts",10,"Female householder, no spouse/partner present","5,618",+/-520,29.1,+/-2.4
620L800US25001,"1st Barnstable District (2022), Massachusetts",11,With children of the householder under 18 years,425,+/-138,2.2,+/-0.7
620L800US25001,"1st Barnstable District (2022), Massachusetts",12,Householder living alone,"4,126",+/-483,21.4,+/-2.2
620L800US25001,"1st Barnstable District (2022), Massachusetts",13,65 years and over,"2,940",+/-345,15.2,+/-1.6
620L800US25001,"1st Barnstable District (2022), Massachusetts",13.3,,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",14,Households with one or more people under 18 years,"2,996",+/-294,15.5,+/-1.5
620L800US25001,"1st Barnstable District (2022), Massachusetts",15,Households with one or more people 65 years and over,"10,207",+/-485,52.8,+/-2.1
620L800US25001,"1st Barnstable District (2022), Massachusetts",15.3,,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",16,Average household size,2.20,+/-0.07,(X),(X)
620L800US25001,"1st Barnstable District (2022), Massachusetts",17,Average family size,2.76,+/-0.10,(X),(X)
620L800US25001,"1st Barnstable District (2022), Massachusetts",17.3,,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",17.5,RELATIONSHIP,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",18,Population in households,"42,588",+/-868,"42,588",(X)
620L800US25001,"1st Barnstable District (2022), Massachusetts",19,Householder,"19,315",+/-589,45.4,+/-1.5
620L800US25001,"1st Barnstable District (2022), Massachusetts",20,Spouse,"9,427",+/-560,22.1,+/-1.2
620L800US25001,"1st Barnstable District (2022), Massachusetts",21,Unmarried partner,"1,028",+/-211,2.4,+/-0.5
620L800US25001,"1st Barnstable District (2022), Massachusetts",22,Child,"9,221",+/-779,21.7,+/-1.6
620L800US25001,"1st Barnstable District (2022), Massachusetts",23,Other relatives,"2,458",+/-614,5.8,+/-1.4
620L800US25001,"1st Barnstable District (2022), Massachusetts",24,Other nonrelatives,"1,139",+/-422,2.7,+/-1.0
620L800US25001,"1st Barnstable District (2022), Massachusetts",24.3,,,,,
620L800US25001,"1st Barnstable District (2022), Massachusetts",24.5,MARITAL STATUS,,,,
