"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US24003,"State Legislative District 3 (2022), Maryland",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",0.5,,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",1,Total households,"46,582",+/-819,"46,582",(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",2,Married-couple household,"21,771",+/-872,46.7,+/-1.7
620L800US24003,"State Legislative District 3 (2022), Maryland",3,With children of the householder under 18 years,"10,185",+/-622,21.9,+/-1.3
620L800US24003,"State Legislative District 3 (2022), Maryland",4,Cohabiting couple household,"3,742",+/-586,8.0,+/-1.2
620L800US24003,"State Legislative District 3 (2022), Maryland",5,With children of the householder under 18 years,"1,327",+/-394,2.8,+/-0.8
620L800US24003,"State Legislative District 3 (2022), Maryland",6,"Male householder, no spouse/partner present","8,122",+/-546,17.4,+/-1.1
620L800US24003,"State Legislative District 3 (2022), Maryland",7,With children of the householder under 18 years,621,+/-229,1.3,+/-0.5
620L800US24003,"State Legislative District 3 (2022), Maryland",8,Householder living alone,"6,006",+/-540,12.9,+/-1.1
620L800US24003,"State Legislative District 3 (2022), Maryland",9,65 years and over,"1,517",+/-246,3.3,+/-0.5
620L800US24003,"State Legislative District 3 (2022), Maryland",10,"Female householder, no spouse/partner present","12,947",+/-752,27.8,+/-1.5
620L800US24003,"State Legislative District 3 (2022), Maryland",11,With children of the householder under 18 years,"2,780",+/-499,6.0,+/-1.1
620L800US24003,"State Legislative District 3 (2022), Maryland",12,Householder living alone,"7,250",+/-529,15.6,+/-1.1
620L800US24003,"State Legislative District 3 (2022), Maryland",13,65 years and over,"3,250",+/-373,7.0,+/-0.8
620L800US24003,"State Legislative District 3 (2022), Maryland",13.3,,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",14,Households with one or more people under 18 years,"16,186",+/-764,34.7,+/-1.6
620L800US24003,"State Legislative District 3 (2022), Maryland",15,Households with one or more people 65 years and over,"11,653",+/-476,25.0,+/-1.0
620L800US24003,"State Legislative District 3 (2022), Maryland",15.3,,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",16,Average household size,2.54,+/-0.03,(X),(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",17,Average family size,3.14,+/-0.05,(X),(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",17.3,,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",17.5,RELATIONSHIP,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",18,Population in households,"118,150","+/-1,793","118,150",(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",19,Householder,"46,582",+/-819,39.4,+/-0.5
620L800US24003,"State Legislative District 3 (2022), Maryland",20,Spouse,"21,848",+/-806,18.5,+/-0.6
620L800US24003,"State Legislative District 3 (2022), Maryland",21,Unmarried partner,"3,629",+/-541,3.1,+/-0.4
620L800US24003,"State Legislative District 3 (2022), Maryland",22,Child,"35,182","+/-1,093",29.8,+/-0.8
620L800US24003,"State Legislative District 3 (2022), Maryland",23,Other relatives,"7,328",+/-899,6.2,+/-0.7
620L800US24003,"State Legislative District 3 (2022), Maryland",24,Other nonrelatives,"3,581",+/-563,3.0,+/-0.5
620L800US24003,"State Legislative District 3 (2022), Maryland",24.3,,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",24.5,MARITAL STATUS,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",25,Males 15 years and over,"46,650",+/-959,"46,650",(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",26,Never married,"17,364",+/-989,37.2,+/-1.8
620L800US24003,"State Legislative District 3 (2022), Maryland",27,"Now married, except separated","23,568",+/-846,50.5,+/-1.9
620L800US24003,"State Legislative District 3 (2022), Maryland",28,Separated,857,+/-220,1.8,+/-0.5
620L800US24003,"State Legislative District 3 (2022), Maryland",29,Widowed,974,+/-213,2.1,+/-0.4
620L800US24003,"State Legislative District 3 (2022), Maryland",30,Divorced,"3,887",+/-526,8.3,+/-1.1
620L800US24003,"State Legislative District 3 (2022), Maryland",30.3,,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",31,Females 15 years and over,"50,406",+/-985,"50,406",(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",32,Never married,"15,408",+/-854,30.6,+/-1.5
620L800US24003,"State Legislative District 3 (2022), Maryland",33,"Now married, except separated","23,158",+/-995,45.9,+/-1.9
620L800US24003,"State Legislative District 3 (2022), Maryland",34,Separated,970,+/-302,1.9,+/-0.6
620L800US24003,"State Legislative District 3 (2022), Maryland",35,Widowed,"3,871",+/-458,7.7,+/-0.9
620L800US24003,"State Legislative District 3 (2022), Maryland",36,Divorced,"6,999",+/-657,13.9,+/-1.2
620L800US24003,"State Legislative District 3 (2022), Maryland",36.3,,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",36.5,FERTILITY,,,,
620L800US24003,"State Legislative District 3 (2022), Maryland",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"1,627",+/-270,"1,627",(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",38,"Unmarried women (widowed, divorced, and never married)",416,+/-184,25.6,+/-9.2
620L800US24003,"State Legislative District 3 (2022), Maryland",39,"Per 1,000 unmarried women",25,+/-11,(X),(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",40,"Per 1,000 women 15 to 50 years old",53,+/-9,(X),(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",41,"Per 1,000 women 15 to 19 years old",11,+/-14,(X),(X)
620L800US24003,"State Legislative District 3 (2022), Maryland",42,"Per 1,000 women 20 to 34 years old",82,+/-16,(X),(X)
