"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US2701A,"State House District 1A (2022), Minnesota",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",0.5,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",1,Total households,"17,042",+/-262,"17,042",(X)
620L800US2701A,"State House District 1A (2022), Minnesota",2,Married-couple household,"8,771",+/-270,51.5,+/-1.5
620L800US2701A,"State House District 1A (2022), Minnesota",3,With children of the householder under 18 years,"2,941",+/-178,17.3,+/-1.0
620L800US2701A,"State House District 1A (2022), Minnesota",4,Cohabiting couple household,"1,048",+/-145,6.1,+/-0.8
620L800US2701A,"State House District 1A (2022), Minnesota",5,With children of the householder under 18 years,377,+/-82,2.2,+/-0.5
620L800US2701A,"State House District 1A (2022), Minnesota",6,"Male householder, no spouse/partner present","3,556",+/-223,20.9,+/-1.2
620L800US2701A,"State House District 1A (2022), Minnesota",7,With children of the householder under 18 years,219,+/-46,1.3,+/-0.3
620L800US2701A,"State House District 1A (2022), Minnesota",8,Householder living alone,"2,936",+/-211,17.2,+/-1.2
620L800US2701A,"State House District 1A (2022), Minnesota",9,65 years and over,789,+/-96,4.6,+/-0.6
620L800US2701A,"State House District 1A (2022), Minnesota",10,"Female householder, no spouse/partner present","3,667",+/-222,21.5,+/-1.2
620L800US2701A,"State House District 1A (2022), Minnesota",11,With children of the householder under 18 years,774,+/-140,4.5,+/-0.8
620L800US2701A,"State House District 1A (2022), Minnesota",12,Householder living alone,"2,430",+/-142,14.3,+/-0.8
620L800US2701A,"State House District 1A (2022), Minnesota",13,65 years and over,"1,519",+/-119,8.9,+/-0.7
620L800US2701A,"State House District 1A (2022), Minnesota",13.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",14,Households with one or more people under 18 years,"4,618",+/-210,27.1,+/-1.1
620L800US2701A,"State House District 1A (2022), Minnesota",15,Households with one or more people 65 years and over,"5,629",+/-130,33.0,+/-0.8
620L800US2701A,"State House District 1A (2022), Minnesota",15.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",16,Average household size,2.46,+/-0.04,(X),(X)
620L800US2701A,"State House District 1A (2022), Minnesota",17,Average family size,3.08,+/-0.07,(X),(X)
620L800US2701A,"State House District 1A (2022), Minnesota",17.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",17.5,RELATIONSHIP,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",18,Population in households,"41,883",+/-128,"41,883",(X)
620L800US2701A,"State House District 1A (2022), Minnesota",19,Householder,"17,042",+/-262,40.7,+/-0.6
620L800US2701A,"State House District 1A (2022), Minnesota",20,Spouse,"8,717",+/-280,20.8,+/-0.7
620L800US2701A,"State House District 1A (2022), Minnesota",21,Unmarried partner,"1,093",+/-149,2.6,+/-0.4
620L800US2701A,"State House District 1A (2022), Minnesota",22,Child,"12,349",+/-329,29.5,+/-0.8
620L800US2701A,"State House District 1A (2022), Minnesota",23,Other relatives,"1,357",+/-184,3.2,+/-0.4
620L800US2701A,"State House District 1A (2022), Minnesota",24,Other nonrelatives,"1,325",+/-241,3.2,+/-0.6
620L800US2701A,"State House District 1A (2022), Minnesota",24.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",24.5,MARITAL STATUS,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",25,Males 15 years and over,"17,575",+/-100,"17,575",(X)
620L800US2701A,"State House District 1A (2022), Minnesota",26,Never married,"5,940",+/-265,33.8,+/-1.4
620L800US2701A,"State House District 1A (2022), Minnesota",27,"Now married, except separated","9,256",+/-265,52.7,+/-1.6
620L800US2701A,"State House District 1A (2022), Minnesota",28,Separated,76,+/-44,0.4,+/-0.3
620L800US2701A,"State House District 1A (2022), Minnesota",29,Widowed,502,+/-101,2.9,+/-0.6
620L800US2701A,"State House District 1A (2022), Minnesota",30,Divorced,"1,801",+/-196,10.2,+/-1.1
620L800US2701A,"State House District 1A (2022), Minnesota",30.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",31,Females 15 years and over,"16,859",+/-76,"16,859",(X)
620L800US2701A,"State House District 1A (2022), Minnesota",32,Never married,"4,109",+/-216,24.4,+/-1.3
620L800US2701A,"State House District 1A (2022), Minnesota",33,"Now married, except separated","9,126",+/-301,54.1,+/-1.7
620L800US2701A,"State House District 1A (2022), Minnesota",34,Separated,68,+/-29,0.4,+/-0.2
620L800US2701A,"State House District 1A (2022), Minnesota",35,Widowed,"1,594",+/-147,9.5,+/-0.9
620L800US2701A,"State House District 1A (2022), Minnesota",36,Divorced,"1,962",+/-210,11.6,+/-1.2
620L800US2701A,"State House District 1A (2022), Minnesota",36.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",36.5,FERTILITY,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",37,Number of women 15 to 50 years old who had a birth in the past 12 months,495,+/-98,495,(X)
620L800US2701A,"State House District 1A (2022), Minnesota",38,"Unmarried women (widowed, divorced, and never married)",163,+/-75,32.9,+/-11.5
620L800US2701A,"State House District 1A (2022), Minnesota",39,"Per 1,000 unmarried women",37,+/-17,(X),(X)
620L800US2701A,"State House District 1A (2022), Minnesota",40,"Per 1,000 women 15 to 50 years old",59,+/-12,(X),(X)
620L800US2701A,"State House District 1A (2022), Minnesota",41,"Per 1,000 women 15 to 19 years old",18,+/-20,(X),(X)
620L800US2701A,"State House District 1A (2022), Minnesota",42,"Per 1,000 women 20 to 34 years old",110,+/-23,(X),(X)
620L800US2701A,"State House District 1A (2022), Minnesota",43,"Per 1,000 women 35 to 50 years old",30,+/-15,(X),(X)
620L800US2701A,"State House District 1A (2022), Minnesota",43.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",43.5,GRANDPARENTS,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",44,Number of grandparents living with own grandchildren under 18 years,363,+/-90,363,(X)
620L800US2701A,"State House District 1A (2022), Minnesota",45,Grandparents responsible for grandchildren,151,+/-76,41.6,+/-18.0
620L800US2701A,"State House District 1A (2022), Minnesota",45.9,Years responsible for grandchildren,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",46,Less than 1 year,68,+/-66,18.7,+/-16.4
620L800US2701A,"State House District 1A (2022), Minnesota",47,1 or 2 years,22,+/-18,6.1,+/-5.1
620L800US2701A,"State House District 1A (2022), Minnesota",48,3 or 4 years,29,+/-15,8.0,+/-4.4
620L800US2701A,"State House District 1A (2022), Minnesota",49,5 or more years,32,+/-22,8.8,+/-5.9
620L800US2701A,"State House District 1A (2022), Minnesota",49.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",50,Number of grandparents responsible for own grandchildren under 18 years,151,+/-76,151,(X)
620L800US2701A,"State House District 1A (2022), Minnesota",51,Who are female,97,+/-47,64.2,+/-12.3
620L800US2701A,"State House District 1A (2022), Minnesota",52,Who are married,90,+/-68,59.6,+/-22.9
620L800US2701A,"State House District 1A (2022), Minnesota",52.3,,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",52.5,SCHOOL ENROLLMENT,,,,
620L800US2701A,"State House District 1A (2022), Minnesota",53,Population 3 years and over enrolled in school,"9,387",+/-220,"9,387",(X)
620L800US2701A,"State House District 1A (2022), Minnesota",54,"Nursery school, preschool",609,+/-79,6.5,+/-0.8
