"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US32001,"State Assembly District 1 (2022), Nevada",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",0.5,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",1,Total households,"23,518",+/-688,"23,518",(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",2,Married-couple household,"14,227",+/-766,60.5,+/-2.6
620L800US32001,"State Assembly District 1 (2022), Nevada",3,With children of the householder under 18 years,"5,911",+/-586,25.1,+/-2.4
620L800US32001,"State Assembly District 1 (2022), Nevada",4,Cohabiting couple household,"1,317",+/-255,5.6,+/-1.1
620L800US32001,"State Assembly District 1 (2022), Nevada",5,With children of the householder under 18 years,545,+/-165,2.3,+/-0.7
620L800US32001,"State Assembly District 1 (2022), Nevada",6,"Male householder, no spouse/partner present","2,771",+/-434,11.8,+/-1.8
620L800US32001,"State Assembly District 1 (2022), Nevada",7,With children of the householder under 18 years,251,+/-128,1.1,+/-0.5
620L800US32001,"State Assembly District 1 (2022), Nevada",8,Householder living alone,"1,623",+/-261,6.9,+/-1.1
620L800US32001,"State Assembly District 1 (2022), Nevada",9,65 years and over,361,+/-103,1.5,+/-0.4
620L800US32001,"State Assembly District 1 (2022), Nevada",10,"Female householder, no spouse/partner present","5,203",+/-541,22.1,+/-2.1
620L800US32001,"State Assembly District 1 (2022), Nevada",11,With children of the householder under 18 years,"1,248",+/-330,5.3,+/-1.4
620L800US32001,"State Assembly District 1 (2022), Nevada",12,Householder living alone,"2,083",+/-324,8.9,+/-1.4
620L800US32001,"State Assembly District 1 (2022), Nevada",13,65 years and over,811,+/-166,3.4,+/-0.7
620L800US32001,"State Assembly District 1 (2022), Nevada",13.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",14,Households with one or more people under 18 years,"9,489",+/-655,40.3,+/-2.6
620L800US32001,"State Assembly District 1 (2022), Nevada",15,Households with one or more people 65 years and over,"6,814",+/-586,29.0,+/-2.2
620L800US32001,"State Assembly District 1 (2022), Nevada",15.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",16,Average household size,3.16,+/-0.10,(X),(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",17,Average family size,3.54,+/-0.11,(X),(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",17.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",17.5,RELATIONSHIP,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",18,Population in households,"74,393","+/-3,082","74,393",(X)
