"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US39001,"State House District 1 (2022), Ohio",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US39001,"State House District 1 (2022), Ohio",0.5,,,,,
620L800US39001,"State House District 1 (2022), Ohio",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US39001,"State House District 1 (2022), Ohio",1,Total households,"52,744","+/-1,123","52,744",(X)
620L800US39001,"State House District 1 (2022), Ohio",2,Married-couple household,"13,659",+/-883,25.9,+/-1.5
620L800US39001,"State House District 1 (2022), Ohio",3,With children of the householder under 18 years,"4,461",+/-382,8.5,+/-0.7
620L800US39001,"State House District 1 (2022), Ohio",4,Cohabiting couple household,"5,500",+/-538,10.4,+/-1.0
620L800US39001,"State House District 1 (2022), Ohio",5,With children of the householder under 18 years,"1,381",+/-258,2.6,+/-0.5
620L800US39001,"State House District 1 (2022), Ohio",6,"Male householder, no spouse/partner present","12,577",+/-688,23.8,+/-1.2
620L800US39001,"State House District 1 (2022), Ohio",7,With children of the householder under 18 years,694,+/-264,1.3,+/-0.5
620L800US39001,"State House District 1 (2022), Ohio",8,Householder living alone,"9,646",+/-650,18.3,+/-1.2
620L800US39001,"State House District 1 (2022), Ohio",9,65 years and over,"1,902",+/-314,3.6,+/-0.6
620L800US39001,"State House District 1 (2022), Ohio",10,"Female householder, no spouse/partner present","21,008",+/-948,39.8,+/-1.7
620L800US39001,"State House District 1 (2022), Ohio",11,With children of the householder under 18 years,"5,315",+/-498,10.1,+/-1.0
620L800US39001,"State House District 1 (2022), Ohio",12,Householder living alone,"11,273",+/-876,21.4,+/-1.6
620L800US39001,"State House District 1 (2022), Ohio",13,65 years and over,"3,802",+/-438,7.2,+/-0.8
620L800US39001,"State House District 1 (2022), Ohio",13.3,,,,,
620L800US39001,"State House District 1 (2022), Ohio",14,Households with one or more people under 18 years,"13,523",+/-713,25.6,+/-1.3
620L800US39001,"State House District 1 (2022), Ohio",15,Households with one or more people 65 years and over,"11,366",+/-597,21.5,+/-1.1
620L800US39001,"State House District 1 (2022), Ohio",15.3,,,,,
620L800US39001,"State House District 1 (2022), Ohio",16,Average household size,2.18,+/-0.04,(X),(X)
620L800US39001,"State House District 1 (2022), Ohio",17,Average family size,2.99,+/-0.08,(X),(X)
620L800US39001,"State House District 1 (2022), Ohio",17.3,,,,,
620L800US39001,"State House District 1 (2022), Ohio",17.5,RELATIONSHIP,,,,
620L800US39001,"State House District 1 (2022), Ohio",18,Population in households,"115,201","+/-2,919","115,201",(X)
620L800US39001,"State House District 1 (2022), Ohio",19,Householder,"52,744","+/-1,123",45.8,+/-0.9
620L800US39001,"State House District 1 (2022), Ohio",20,Spouse,"13,425",+/-785,11.7,+/-0.6
620L800US39001,"State House District 1 (2022), Ohio",21,Unmarried partner,"5,735",+/-556,5.0,+/-0.5
620L800US39001,"State House District 1 (2022), Ohio",22,Child,"31,115","+/-1,789",27.0,+/-1.1
620L800US39001,"State House District 1 (2022), Ohio",23,Other relatives,"6,419",+/-660,5.6,+/-0.5
620L800US39001,"State House District 1 (2022), Ohio",24,Other nonrelatives,"5,763",+/-726,5.0,+/-0.6
620L800US39001,"State House District 1 (2022), Ohio",24.3,,,,,
620L800US39001,"State House District 1 (2022), Ohio",24.5,MARITAL STATUS,,,,
620L800US39001,"State House District 1 (2022), Ohio",25,Males 15 years and over,"45,525","+/-1,453","45,525",(X)
620L800US39001,"State House District 1 (2022), Ohio",26,Never married,"23,078","+/-1,159",50.7,+/-1.7
620L800US39001,"State House District 1 (2022), Ohio",27,"Now married, except separated","14,505",+/-876,31.9,+/-1.7
620L800US39001,"State House District 1 (2022), Ohio",28,Separated,"1,004",+/-218,2.2,+/-0.5
