"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US45001,"State House District 1 (2022), South Carolina",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US45001,"State House District 1 (2022), South Carolina",0.5,,,,,
620L800US45001,"State House District 1 (2022), South Carolina",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US45001,"State House District 1 (2022), South Carolina",1,Total households,"17,423",+/-770,"17,423",(X)
620L800US45001,"State House District 1 (2022), South Carolina",2,Married-couple household,"10,080",+/-791,57.9,+/-3.6
620L800US45001,"State House District 1 (2022), South Carolina",3,With children of the householder under 18 years,"2,550",+/-388,14.6,+/-2.1
620L800US45001,"State House District 1 (2022), South Carolina",4,Cohabiting couple household,675,+/-208,3.9,+/-1.2
620L800US45001,"State House District 1 (2022), South Carolina",5,With children of the householder under 18 years,302,+/-145,1.7,+/-0.8
620L800US45001,"State House District 1 (2022), South Carolina",6,"Male householder, no spouse/partner present","2,608",+/-373,15.0,+/-2.1
620L800US45001,"State House District 1 (2022), South Carolina",7,With children of the householder under 18 years,200,+/-106,1.1,+/-0.6
620L800US45001,"State House District 1 (2022), South Carolina",8,Householder living alone,"1,816",+/-311,10.4,+/-1.7
620L800US45001,"State House District 1 (2022), South Carolina",9,65 years and over,547,+/-145,3.1,+/-0.8
620L800US45001,"State House District 1 (2022), South Carolina",10,"Female householder, no spouse/partner present","4,060",+/-518,23.3,+/-2.8
620L800US45001,"State House District 1 (2022), South Carolina",11,With children of the householder under 18 years,617,+/-236,3.5,+/-1.3
620L800US45001,"State House District 1 (2022), South Carolina",12,Householder living alone,"2,332",+/-410,13.4,+/-2.2
620L800US45001,"State House District 1 (2022), South Carolina",13,65 years and over,"1,195",+/-212,6.9,+/-1.2
620L800US45001,"State House District 1 (2022), South Carolina",13.3,,,,,
620L800US45001,"State House District 1 (2022), South Carolina",14,Households with one or more people under 18 years,"4,182",+/-407,24.0,+/-2.1
620L800US45001,"State House District 1 (2022), South Carolina",15,Households with one or more people 65 years and over,"6,807",+/-400,39.1,+/-1.8
620L800US45001,"State House District 1 (2022), South Carolina",15.3,,,,,
620L800US45001,"State House District 1 (2022), South Carolina",16,Average household size,2.45,+/-0.08,(X),(X)
620L800US45001,"State House District 1 (2022), South Carolina",17,Average family size,2.87,+/-0.09,(X),(X)
620L800US45001,"State House District 1 (2022), South Carolina",17.3,,,,,
620L800US45001,"State House District 1 (2022), South Carolina",17.5,RELATIONSHIP,,,,
620L800US45001,"State House District 1 (2022), South Carolina",18,Population in households,"42,698","+/-1,656","42,698",(X)
620L800US45001,"State House District 1 (2022), South Carolina",19,Householder,"17,423",+/-770,40.8,+/-1.4
620L800US45001,"State House District 1 (2022), South Carolina",20,Spouse,"10,189",+/-722,23.9,+/-1.3
620L800US45001,"State House District 1 (2022), South Carolina",21,Unmarried partner,638,+/-187,1.5,+/-0.4
