"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US46001,"State House District 1 (2022), South Dakota",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US46001,"State House District 1 (2022), South Dakota",0.5,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US46001,"State House District 1 (2022), South Dakota",1,Total households,"10,337",+/-256,"10,337",(X)
620L800US46001,"State House District 1 (2022), South Dakota",2,Married-couple household,"5,460",+/-222,52.8,+/-2.3
620L800US46001,"State House District 1 (2022), South Dakota",3,With children of the householder under 18 years,"1,834",+/-188,17.7,+/-1.9
620L800US46001,"State House District 1 (2022), South Dakota",4,Cohabiting couple household,591,+/-99,5.7,+/-0.9
620L800US46001,"State House District 1 (2022), South Dakota",5,With children of the householder under 18 years,271,+/-67,2.6,+/-0.6
620L800US46001,"State House District 1 (2022), South Dakota",6,"Male householder, no spouse/partner present","2,069",+/-169,20.0,+/-1.5
620L800US46001,"State House District 1 (2022), South Dakota",7,With children of the householder under 18 years,172,+/-55,1.7,+/-0.5
620L800US46001,"State House District 1 (2022), South Dakota",8,Householder living alone,"1,625",+/-173,15.7,+/-1.6
620L800US46001,"State House District 1 (2022), South Dakota",9,65 years and over,550,+/-107,5.3,+/-1.0
620L800US46001,"State House District 1 (2022), South Dakota",10,"Female householder, no spouse/partner present","2,217",+/-205,21.4,+/-1.7
620L800US46001,"State House District 1 (2022), South Dakota",11,With children of the householder under 18 years,400,+/-91,3.9,+/-0.9
620L800US46001,"State House District 1 (2022), South Dakota",12,Householder living alone,"1,468",+/-176,14.2,+/-1.5
620L800US46001,"State House District 1 (2022), South Dakota",13,65 years and over,986,+/-153,9.5,+/-1.4
620L800US46001,"State House District 1 (2022), South Dakota",13.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",14,Households with one or more people under 18 years,"3,062",+/-181,29.6,+/-1.7
620L800US46001,"State House District 1 (2022), South Dakota",15,Households with one or more people 65 years and over,"3,873",+/-216,37.5,+/-1.6
620L800US46001,"State House District 1 (2022), South Dakota",15.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",16,Average household size,2.56,+/-0.06,(X),(X)
620L800US46001,"State House District 1 (2022), South Dakota",17,Average family size,3.21,+/-0.09,(X),(X)
620L800US46001,"State House District 1 (2022), South Dakota",17.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",17.5,RELATIONSHIP,,,,
620L800US46001,"State House District 1 (2022), South Dakota",18,Population in households,"26,507",+/-410,"26,507",(X)
620L800US46001,"State House District 1 (2022), South Dakota",19,Householder,"10,337",+/-256,39.0,+/-0.9
620L800US46001,"State House District 1 (2022), South Dakota",20,Spouse,"5,389",+/-229,20.3,+/-0.8
620L800US46001,"State House District 1 (2022), South Dakota",21,Unmarried partner,629,+/-108,2.4,+/-0.4
620L800US46001,"State House District 1 (2022), South Dakota",22,Child,"7,900",+/-405,29.8,+/-1.3
620L800US46001,"State House District 1 (2022), South Dakota",23,Other relatives,"1,800",+/-206,6.8,+/-0.8
620L800US46001,"State House District 1 (2022), South Dakota",24,Other nonrelatives,452,+/-116,1.7,+/-0.4
620L800US46001,"State House District 1 (2022), South Dakota",24.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",24.5,MARITAL STATUS,,,,
620L800US46001,"State House District 1 (2022), South Dakota",25,Males 15 years and over,"10,774",+/-247,"10,774",(X)
620L800US46001,"State House District 1 (2022), South Dakota",26,Never married,"3,133",+/-231,29.1,+/-1.9
620L800US46001,"State House District 1 (2022), South Dakota",27,"Now married, except separated","5,967",+/-263,55.4,+/-2.2
620L800US46001,"State House District 1 (2022), South Dakota",28,Separated,48,+/-27,0.4,+/-0.2
620L800US46001,"State House District 1 (2022), South Dakota",29,Widowed,381,+/-73,3.5,+/-0.7
620L800US46001,"State House District 1 (2022), South Dakota",30,Divorced,"1,245",+/-152,11.6,+/-1.4
620L800US46001,"State House District 1 (2022), South Dakota",30.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",31,Females 15 years and over,"10,369",+/-251,"10,369",(X)
620L800US46001,"State House District 1 (2022), South Dakota",32,Never married,"2,393",+/-192,23.1,+/-1.7
620L800US46001,"State House District 1 (2022), South Dakota",33,"Now married, except separated","5,633",+/-240,54.3,+/-2.1
620L800US46001,"State House District 1 (2022), South Dakota",34,Separated,80,+/-38,0.8,+/-0.4
620L800US46001,"State House District 1 (2022), South Dakota",35,Widowed,"1,191",+/-146,11.5,+/-1.4
620L800US46001,"State House District 1 (2022), South Dakota",36,Divorced,"1,072",+/-147,10.3,+/-1.3
620L800US46001,"State House District 1 (2022), South Dakota",36.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",36.5,FERTILITY,,,,
620L800US46001,"State House District 1 (2022), South Dakota",37,Number of women 15 to 50 years old who had a birth in the past 12 months,432,+/-95,432,(X)
620L800US46001,"State House District 1 (2022), South Dakota",38,"Unmarried women (widowed, divorced, and never married)",167,+/-71,38.7,+/-12.5
620L800US46001,"State House District 1 (2022), South Dakota",39,"Per 1,000 unmarried women",64,+/-27,(X),(X)
620L800US46001,"State House District 1 (2022), South Dakota",40,"Per 1,000 women 15 to 50 years old",85,+/-19,(X),(X)
620L800US46001,"State House District 1 (2022), South Dakota",41,"Per 1,000 women 15 to 19 years old",27,+/-25,(X),(X)
620L800US46001,"State House District 1 (2022), South Dakota",42,"Per 1,000 women 20 to 34 years old",159,+/-38,(X),(X)
620L800US46001,"State House District 1 (2022), South Dakota",43,"Per 1,000 women 35 to 50 years old",45,+/-26,(X),(X)
620L800US46001,"State House District 1 (2022), South Dakota",43.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",43.5,GRANDPARENTS,,,,
620L800US46001,"State House District 1 (2022), South Dakota",44,Number of grandparents living with own grandchildren under 18 years,565,+/-97,565,(X)
620L800US46001,"State House District 1 (2022), South Dakota",45,Grandparents responsible for grandchildren,391,+/-78,69.2,+/-8.2
620L800US46001,"State House District 1 (2022), South Dakota",45.9,Years responsible for grandchildren,,,,
620L800US46001,"State House District 1 (2022), South Dakota",46,Less than 1 year,15,+/-14,2.7,+/-2.4
620L800US46001,"State House District 1 (2022), South Dakota",47,1 or 2 years,45,+/-30,8.0,+/-5.5
620L800US46001,"State House District 1 (2022), South Dakota",48,3 or 4 years,45,+/-36,8.0,+/-5.9
620L800US46001,"State House District 1 (2022), South Dakota",49,5 or more years,286,+/-69,50.6,+/-9.4
620L800US46001,"State House District 1 (2022), South Dakota",49.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",50,Number of grandparents responsible for own grandchildren under 18 years,391,+/-78,391,(X)
620L800US46001,"State House District 1 (2022), South Dakota",51,Who are female,244,+/-52,62.4,+/-7.2
620L800US46001,"State House District 1 (2022), South Dakota",52,Who are married,200,+/-76,51.2,+/-14.9
620L800US46001,"State House District 1 (2022), South Dakota",52.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",52.5,SCHOOL ENROLLMENT,,,,
620L800US46001,"State House District 1 (2022), South Dakota",53,Population 3 years and over enrolled in school,"6,119",+/-322,"6,119",(X)
620L800US46001,"State House District 1 (2022), South Dakota",54,"Nursery school, preschool",362,+/-88,5.9,+/-1.3
620L800US46001,"State House District 1 (2022), South Dakota",55,Kindergarten,269,+/-60,4.4,+/-1.0
620L800US46001,"State House District 1 (2022), South Dakota",56,Elementary school (grades 1-8),"3,133",+/-216,51.2,+/-2.8
620L800US46001,"State House District 1 (2022), South Dakota",57,High school (grades 9-12),"1,651",+/-181,27.0,+/-2.3
620L800US46001,"State House District 1 (2022), South Dakota",58,College or graduate school,704,+/-110,11.5,+/-1.8
620L800US46001,"State House District 1 (2022), South Dakota",58.3,,,,,
620L800US46001,"State House District 1 (2022), South Dakota",58.5,EDUCATIONAL ATTAINMENT,,,,
620L800US46001,"State House District 1 (2022), South Dakota",59,Population 25 years and over,"18,050",+/-314,"18,050",(X)
620L800US46001,"State House District 1 (2022), South Dakota",60,Less than 9th grade,616,+/-154,3.4,+/-0.8
620L800US46001,"State House District 1 (2022), South Dakota",61,"9th to 12th grade, no diploma",843,+/-114,4.7,+/-0.6
620L800US46001,"State House District 1 (2022), South Dakota",62,High school graduate (includes equivalency),"6,042",+/-322,33.5,+/-1.6
620L800US46001,"State House District 1 (2022), South Dakota",63,"Some college, no degree","3,656",+/-272,20.3,+/-1.5
620L800US46001,"State House District 1 (2022), South Dakota",64,Associate's degree,"2,678",+/-237,14.8,+/-1.3
