"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US49001,"State House District 1 (2022), Utah",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US49001,"State House District 1 (2022), Utah",0.5,,,,,
620L800US49001,"State House District 1 (2022), Utah",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US49001,"State House District 1 (2022), Utah",1,Total households,"13,583",+/-300,"13,583",(X)
620L800US49001,"State House District 1 (2022), Utah",2,Married-couple household,"8,592",+/-426,63.3,+/-2.8
620L800US49001,"State House District 1 (2022), Utah",3,With children of the householder under 18 years,"4,368",+/-353,32.2,+/-2.5
620L800US49001,"State House District 1 (2022), Utah",4,Cohabiting couple household,486,+/-133,3.6,+/-1.0
620L800US49001,"State House District 1 (2022), Utah",5,With children of the householder under 18 years,197,+/-87,1.5,+/-0.6
620L800US49001,"State House District 1 (2022), Utah",6,"Male householder, no spouse/partner present","2,132",+/-266,15.7,+/-1.9
620L800US49001,"State House District 1 (2022), Utah",7,With children of the householder under 18 years,342,+/-145,2.5,+/-1.1
620L800US49001,"State House District 1 (2022), Utah",8,Householder living alone,"1,365",+/-230,10.0,+/-1.6
620L800US49001,"State House District 1 (2022), Utah",9,65 years and over,337,+/-150,2.5,+/-1.1
620L800US49001,"State House District 1 (2022), Utah",10,"Female householder, no spouse/partner present","2,373",+/-331,17.5,+/-2.4
620L800US49001,"State House District 1 (2022), Utah",11,With children of the householder under 18 years,336,+/-118,2.5,+/-0.9
620L800US49001,"State House District 1 (2022), Utah",12,Householder living alone,"1,454",+/-272,10.7,+/-2.0
620L800US49001,"State House District 1 (2022), Utah",13,65 years and over,686,+/-121,5.1,+/-0.9
620L800US49001,"State House District 1 (2022), Utah",13.3,,,,,
620L800US49001,"State House District 1 (2022), Utah",14,Households with one or more people under 18 years,"5,711",+/-300,42.0,+/-2.1
620L800US49001,"State House District 1 (2022), Utah",15,Households with one or more people 65 years and over,"3,676",+/-182,27.1,+/-1.4
620L800US49001,"State House District 1 (2022), Utah",15.3,,,,,
620L800US49001,"State House District 1 (2022), Utah",16,Average household size,3.14,+/-0.06,(X),(X)
620L800US49001,"State House District 1 (2022), Utah",17,Average family size,3.70,+/-0.09,(X),(X)
620L800US49001,"State House District 1 (2022), Utah",17.3,,,,,
620L800US49001,"State House District 1 (2022), Utah",17.5,RELATIONSHIP,,,,
