"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US51001,"State House District 1 (2022), Virginia",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US51001,"State House District 1 (2022), Virginia",0.5,,,,,
620L800US51001,"State House District 1 (2022), Virginia",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US51001,"State House District 1 (2022), Virginia",1,Total households,"35,236",+/-928,"35,236",(X)
620L800US51001,"State House District 1 (2022), Virginia",2,Married-couple household,"17,257",+/-746,49.0,+/-1.7
620L800US51001,"State House District 1 (2022), Virginia",3,With children of the householder under 18 years,"8,249",+/-504,23.4,+/-1.4
620L800US51001,"State House District 1 (2022), Virginia",4,Cohabiting couple household,"2,001",+/-393,5.7,+/-1.1
620L800US51001,"State House District 1 (2022), Virginia",5,With children of the householder under 18 years,131,+/-76,0.4,+/-0.2
620L800US51001,"State House District 1 (2022), Virginia",6,"Male householder, no spouse/partner present","7,452",+/-611,21.1,+/-1.6
620L800US51001,"State House District 1 (2022), Virginia",7,With children of the householder under 18 years,373,+/-143,1.1,+/-0.4
620L800US51001,"State House District 1 (2022), Virginia",8,Householder living alone,"5,185",+/-563,14.7,+/-1.5
620L800US51001,"State House District 1 (2022), Virginia",9,65 years and over,"1,064",+/-268,3.0,+/-0.8
620L800US51001,"State House District 1 (2022), Virginia",10,"Female householder, no spouse/partner present","8,526",+/-491,24.2,+/-1.4
620L800US51001,"State House District 1 (2022), Virginia",11,With children of the householder under 18 years,875,+/-201,2.5,+/-0.6
620L800US51001,"State House District 1 (2022), Virginia",12,Householder living alone,"5,798",+/-480,16.5,+/-1.4
620L800US51001,"State House District 1 (2022), Virginia",13,65 years and over,"2,190",+/-321,6.2,+/-0.9
620L800US51001,"State House District 1 (2022), Virginia",13.3,,,,,
620L800US51001,"State House District 1 (2022), Virginia",14,Households with one or more people under 18 years,"9,976",+/-492,28.3,+/-1.4
620L800US51001,"State House District 1 (2022), Virginia",15,Households with one or more people 65 years and over,"8,597",+/-451,24.4,+/-1.2
620L800US51001,"State House District 1 (2022), Virginia",15.3,,,,,
620L800US51001,"State House District 1 (2022), Virginia",16,Average household size,2.37,+/-0.04,(X),(X)
620L800US51001,"State House District 1 (2022), Virginia",17,Average family size,3.06,+/-0.07,(X),(X)
620L800US51001,"State House District 1 (2022), Virginia",17.3,,,,,
620L800US51001,"State House District 1 (2022), Virginia",17.5,RELATIONSHIP,,,,
620L800US51001,"State House District 1 (2022), Virginia",18,Population in households,"83,571","+/-2,142","83,571",(X)
620L800US51001,"State House District 1 (2022), Virginia",19,Householder,"35,236",+/-928,42.2,+/-0.8
620L800US51001,"State House District 1 (2022), Virginia",20,Spouse,"17,115",+/-765,20.5,+/-0.7
620L800US51001,"State House District 1 (2022), Virginia",21,Unmarried partner,"1,991",+/-299,2.4,+/-0.3
620L800US51001,"State House District 1 (2022), Virginia",22,Child,"22,258",+/-942,26.6,+/-0.8
620L800US51001,"State House District 1 (2022), Virginia",23,Other relatives,"2,464",+/-517,2.9,+/-0.6
620L800US51001,"State House District 1 (2022), Virginia",24,Other nonrelatives,"4,507",+/-591,5.4,+/-0.7
620L800US51001,"State House District 1 (2022), Virginia",24.3,,,,,
620L800US51001,"State House District 1 (2022), Virginia",24.5,MARITAL STATUS,,,,
620L800US51001,"State House District 1 (2022), Virginia",25,Males 15 years and over,"34,546","+/-1,086","34,546",(X)
620L800US51001,"State House District 1 (2022), Virginia",26,Never married,"13,437",+/-812,38.9,+/-1.8
