"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US50A-1,"Addison-1 State House District (2022), Vermont",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US50A-1,"Addison-1 State House District (2022), Vermont",0.5,,,,,
620L800US50A-1,"Addison-1 State House District (2022), Vermont",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US50A-1,"Addison-1 State House District (2022), Vermont",1,Total households,"2,456",+/-208,"2,456",(X)
620L800US50A-1,"Addison-1 State House District (2022), Vermont",2,Married-couple household,"1,197",+/-127,48.7,+/-5.5
620L800US50A-1,"Addison-1 State House District (2022), Vermont",3,With children of the householder under 18 years,389,+/-116,15.8,+/-4.9
620L800US50A-1,"Addison-1 State House District (2022), Vermont",4,Cohabiting couple household,88,+/-42,3.6,+/-1.7
620L800US50A-1,"Addison-1 State House District (2022), Vermont",5,With children of the householder under 18 years,18,+/-21,0.7,+/-0.9
620L800US50A-1,"Addison-1 State House District (2022), Vermont",6,"Male householder, no spouse/partner present",445,+/-147,18.1,+/-5.3
620L800US50A-1,"Addison-1 State House District (2022), Vermont",7,With children of the householder under 18 years,6,+/-11,0.2,+/-0.4
620L800US50A-1,"Addison-1 State House District (2022), Vermont",8,Householder living alone,430,+/-147,17.5,+/-5.4
620L800US50A-1,"Addison-1 State House District (2022), Vermont",9,65 years and over,191,+/-109,7.8,+/-4.3
620L800US50A-1,"Addison-1 State House District (2022), Vermont",10,"Female householder, no spouse/partner present",726,+/-147,29.6,+/-5.0
620L800US50A-1,"Addison-1 State House District (2022), Vermont",11,With children of the householder under 18 years,94,+/-59,3.8,+/-2.3
620L800US50A-1,"Addison-1 State House District (2022), Vermont",12,Householder living alone,514,+/-120,20.9,+/-4.3
620L800US50A-1,"Addison-1 State House District (2022), Vermont",13,65 years and over,273,+/-80,11.1,+/-3.1
620L800US50A-1,"Addison-1 State House District (2022), Vermont",13.3,,,,,
620L800US50A-1,"Addison-1 State House District (2022), Vermont",14,Households with one or more people under 18 years,518,+/-120,21.1,+/-4.9
620L800US50A-1,"Addison-1 State House District (2022), Vermont",15,Households with one or more people 65 years and over,"1,083",+/-150,44.1,+/-4.8
620L800US50A-1,"Addison-1 State House District (2022), Vermont",15.3,,,,,
620L800US50A-1,"Addison-1 State House District (2022), Vermont",16,Average household size,2.10,+/-0.13,(X),(X)
620L800US50A-1,"Addison-1 State House District (2022), Vermont",17,Average family size,2.78,+/-0.18,(X),(X)
620L800US50A-1,"Addison-1 State House District (2022), Vermont",17.3,,,,,
