"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US54001,"Delegate District 1 (2022), West Virginia",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
620L800US54001,"Delegate District 1 (2022), West Virginia",0.5,,,,,
620L800US54001,"Delegate District 1 (2022), West Virginia",0.8,HOUSEHOLDS BY TYPE,,,,
620L800US54001,"Delegate District 1 (2022), West Virginia",1,Total households,"8,570",+/-353,"8,570",(X)
620L800US54001,"Delegate District 1 (2022), West Virginia",2,Married-couple household,"4,251",+/-351,49.6,+/-3.6
620L800US54001,"Delegate District 1 (2022), West Virginia",3,With children of the householder under 18 years,"1,242",+/-291,14.5,+/-3.3
620L800US54001,"Delegate District 1 (2022), West Virginia",4,Cohabiting couple household,500,+/-177,5.8,+/-2.0
620L800US54001,"Delegate District 1 (2022), West Virginia",5,With children of the householder under 18 years,110,+/-78,1.3,+/-0.9
620L800US54001,"Delegate District 1 (2022), West Virginia",6,"Male householder, no spouse/partner present","1,649",+/-248,19.2,+/-2.8
620L800US54001,"Delegate District 1 (2022), West Virginia",7,With children of the householder under 18 years,54,+/-43,0.6,+/-0.5
620L800US54001,"Delegate District 1 (2022), West Virginia",8,Householder living alone,"1,401",+/-252,16.3,+/-2.8
620L800US54001,"Delegate District 1 (2022), West Virginia",9,65 years and over,511,+/-146,6.0,+/-1.7
620L800US54001,"Delegate District 1 (2022), West Virginia",10,"Female householder, no spouse/partner present","2,170",+/-293,25.3,+/-3.4
620L800US54001,"Delegate District 1 (2022), West Virginia",11,With children of the householder under 18 years,315,+/-164,3.7,+/-1.9
620L800US54001,"Delegate District 1 (2022), West Virginia",12,Householder living alone,"1,561",+/-276,18.2,+/-3.1
620L800US54001,"Delegate District 1 (2022), West Virginia",13,65 years and over,954,+/-206,11.1,+/-2.4
620L800US54001,"Delegate District 1 (2022), West Virginia",13.3,,,,,
620L800US54001,"Delegate District 1 (2022), West Virginia",14,Households with one or more people under 18 years,"1,929",+/-274,22.5,+/-3.0
620L800US54001,"Delegate District 1 (2022), West Virginia",15,Households with one or more people 65 years and over,"3,515",+/-254,41.0,+/-2.8
620L800US54001,"Delegate District 1 (2022), West Virginia",15.3,,,,,
620L800US54001,"Delegate District 1 (2022), West Virginia",16,Average household size,2.21,+/-0.07,(X),(X)
620L800US54001,"Delegate District 1 (2022), West Virginia",17,Average family size,2.82,+/-0.13,(X),(X)
620L800US54001,"Delegate District 1 (2022), West Virginia",17.3,,,,,
620L800US54001,"Delegate District 1 (2022), West Virginia",17.5,RELATIONSHIP,,,,
620L800US54001,"Delegate District 1 (2022), West Virginia",18,Population in households,"18,931",+/-624,"18,931",(X)
620L800US54001,"Delegate District 1 (2022), West Virginia",19,Householder,"8,570",+/-353,45.3,+/-1.5
