"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US06001,"Assembly District 1 (2022), California",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
620L800US06001,"Assembly District 1 (2022), California",0.5,,,,,
620L800US06001,"Assembly District 1 (2022), California",0.8,EMPLOYMENT STATUS,,,,
620L800US06001,"Assembly District 1 (2022), California",1,Population 16 years and over,"422,556","+/-1,981","422,556",(X)
620L800US06001,"Assembly District 1 (2022), California",2,In labor force,"227,522","+/-2,544",53.8,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",3,Civilian labor force,"227,129","+/-2,555",53.8,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",4,Employed,"213,838","+/-2,502",50.6,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",5,Unemployed,"13,291",+/-920,3.1,+/-0.2
620L800US06001,"Assembly District 1 (2022), California",6,Armed Forces,393,+/-136,0.1,+/-0.1
620L800US06001,"Assembly District 1 (2022), California",7,Not in labor force,"195,034","+/-2,277",46.2,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",7.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",8,Civilian labor force,"227,129","+/-2,555","227,129",(X)
620L800US06001,"Assembly District 1 (2022), California",9,Unemployment Rate,(X),(X),5.9,+/-0.4
620L800US06001,"Assembly District 1 (2022), California",9.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",10,Females 16 years and over,"206,584","+/-1,154","206,584",(X)
620L800US06001,"Assembly District 1 (2022), California",11,In labor force,"106,725","+/-1,689",51.7,+/-0.7
620L800US06001,"Assembly District 1 (2022), California",12,Civilian labor force,"106,630","+/-1,686",51.6,+/-0.7
620L800US06001,"Assembly District 1 (2022), California",13,Employed,"101,075","+/-1,580",48.9,+/-0.7
620L800US06001,"Assembly District 1 (2022), California",13.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",14,Own children of the householder under 6 years,"27,474",+/-892,"27,474",(X)
620L800US06001,"Assembly District 1 (2022), California",15,All parents in family in labor force,"17,330",+/-839,63.1,+/-2.8
620L800US06001,"Assembly District 1 (2022), California",15.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",16,Own children of the householder 6 to 17 years,"62,477","+/-1,105","62,477",(X)
620L800US06001,"Assembly District 1 (2022), California",17,All parents in family in labor force,"44,663","+/-1,279",71.5,+/-1.8
620L800US06001,"Assembly District 1 (2022), California",17.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",17.5,COMMUTING TO WORK,,,,
620L800US06001,"Assembly District 1 (2022), California",18,Workers 16 years and over,"208,666","+/-2,538","208,666",(X)
620L800US06001,"Assembly District 1 (2022), California",19,"Car, truck, or van -- drove alone","157,303","+/-2,768",75.4,+/-0.9
620L800US06001,"Assembly District 1 (2022), California",20,"Car, truck, or van -- carpooled","16,879","+/-1,049",8.1,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",21,Public transportation (excluding taxicab),"1,015",+/-261,0.5,+/-0.1
620L800US06001,"Assembly District 1 (2022), California",22,Walked,"5,568",+/-633,2.7,+/-0.3
620L800US06001,"Assembly District 1 (2022), California",23,Other means,"3,439",+/-495,1.6,+/-0.2
620L800US06001,"Assembly District 1 (2022), California",24,Worked from home,"24,462","+/-1,392",11.7,+/-0.6
620L800US06001,"Assembly District 1 (2022), California",24.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",25,Mean travel time to work (minutes),23.0,+/-0.4,(X),(X)
620L800US06001,"Assembly District 1 (2022), California",25.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",25.5,OCCUPATION,,,,
620L800US06001,"Assembly District 1 (2022), California",26,Civilian employed population 16 years and over,"213,838","+/-2,502","213,838",(X)
620L800US06001,"Assembly District 1 (2022), California",27,"Management, business, science, and arts occupations","79,439","+/-2,167",37.1,+/-0.9
620L800US06001,"Assembly District 1 (2022), California",28,Service occupations,"46,120","+/-1,631",21.6,+/-0.7
620L800US06001,"Assembly District 1 (2022), California",29,Sales and office occupations,"44,814","+/-1,605",21.0,+/-0.8
620L800US06001,"Assembly District 1 (2022), California",30,"Natural resources, construction, and maintenance occupations","23,197","+/-1,177",10.8,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",31,"Production, transportation, and material moving occupations","20,268","+/-1,087",9.5,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",31.3,,,,,
620L800US06001,"Assembly District 1 (2022), California",31.5,INDUSTRY,,,,
620L800US06001,"Assembly District 1 (2022), California",32,Civilian employed population 16 years and over,"213,838","+/-2,502","213,838",(X)
620L800US06001,"Assembly District 1 (2022), California",33,"Agriculture, forestry, fishing and hunting, and mining","6,754",+/-530,3.2,+/-0.2
620L800US06001,"Assembly District 1 (2022), California",34,Construction,"19,036","+/-1,058",8.9,+/-0.5
620L800US06001,"Assembly District 1 (2022), California",35,Manufacturing,"10,523",+/-675,4.9,+/-0.3
620L800US06001,"Assembly District 1 (2022), California",36,Wholesale trade,"3,715",+/-432,1.7,+/-0.2
