"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US20001,"State House District 1 (2022), Kansas",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
620L800US20001,"State House District 1 (2022), Kansas",0.5,,,,,
620L800US20001,"State House District 1 (2022), Kansas",0.8,EMPLOYMENT STATUS,,,,
620L800US20001,"State House District 1 (2022), Kansas",1,Population 16 years and over,"18,887",+/-339,"18,887",(X)
620L800US20001,"State House District 1 (2022), Kansas",2,In labor force,"10,850",+/-341,57.4,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",3,Civilian labor force,"10,843",+/-342,57.4,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",4,Employed,"10,621",+/-345,56.2,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",5,Unemployed,222,+/-69,1.2,+/-0.4
620L800US20001,"State House District 1 (2022), Kansas",6,Armed Forces,7,+/-12,0.0,+/-0.1
620L800US20001,"State House District 1 (2022), Kansas",7,Not in labor force,"8,037",+/-415,42.6,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",7.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",8,Civilian labor force,"10,843",+/-342,"10,843",(X)
620L800US20001,"State House District 1 (2022), Kansas",9,Unemployment Rate,(X),(X),2.0,+/-0.6
620L800US20001,"State House District 1 (2022), Kansas",9.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",10,Females 16 years and over,"9,663",+/-228,"9,663",(X)
620L800US20001,"State House District 1 (2022), Kansas",11,In labor force,"5,341",+/-245,55.3,+/-2.5
620L800US20001,"State House District 1 (2022), Kansas",12,Civilian labor force,"5,334",+/-245,55.2,+/-2.5
620L800US20001,"State House District 1 (2022), Kansas",13,Employed,"5,215",+/-244,54.0,+/-2.5
620L800US20001,"State House District 1 (2022), Kansas",13.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",14,Own children of the householder under 6 years,"1,894",+/-200,"1,894",(X)
620L800US20001,"State House District 1 (2022), Kansas",15,All parents in family in labor force,"1,350",+/-217,71.3,+/-8.1
620L800US20001,"State House District 1 (2022), Kansas",15.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",16,Own children of the householder 6 to 17 years,"3,327",+/-162,"3,327",(X)
620L800US20001,"State House District 1 (2022), Kansas",17,All parents in family in labor force,"2,326",+/-275,69.9,+/-7.1
620L800US20001,"State House District 1 (2022), Kansas",17.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",17.5,COMMUTING TO WORK,,,,
620L800US20001,"State House District 1 (2022), Kansas",18,Workers 16 years and over,"10,516",+/-340,"10,516",(X)
620L800US20001,"State House District 1 (2022), Kansas",19,"Car, truck, or van -- drove alone","8,835",+/-363,84.0,+/-2.5
620L800US20001,"State House District 1 (2022), Kansas",20,"Car, truck, or van -- carpooled",797,+/-207,7.6,+/-1.9
620L800US20001,"State House District 1 (2022), Kansas",21,Public transportation (excluding taxicab),4,+/-5,0.0,+/-0.1
620L800US20001,"State House District 1 (2022), Kansas",22,Walked,291,+/-136,2.8,+/-1.3
620L800US20001,"State House District 1 (2022), Kansas",23,Other means,65,+/-37,0.6,+/-0.3
620L800US20001,"State House District 1 (2022), Kansas",24,Worked from home,524,+/-148,5.0,+/-1.4
620L800US20001,"State House District 1 (2022), Kansas",24.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",25,Mean travel time to work (minutes),19.5,+/-0.8,(X),(X)
620L800US20001,"State House District 1 (2022), Kansas",25.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",25.5,OCCUPATION,,,,
620L800US20001,"State House District 1 (2022), Kansas",26,Civilian employed population 16 years and over,"10,621",+/-345,"10,621",(X)
620L800US20001,"State House District 1 (2022), Kansas",27,"Management, business, science, and arts occupations","3,215",+/-309,30.3,+/-2.8
620L800US20001,"State House District 1 (2022), Kansas",28,Service occupations,"1,986",+/-247,18.7,+/-2.2
620L800US20001,"State House District 1 (2022), Kansas",29,Sales and office occupations,"2,031",+/-271,19.1,+/-2.5
620L800US20001,"State House District 1 (2022), Kansas",30,"Natural resources, construction, and maintenance occupations","1,122",+/-196,10.6,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",31,"Production, transportation, and material moving occupations","2,267",+/-257,21.3,+/-2.3
620L800US20001,"State House District 1 (2022), Kansas",31.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",31.5,INDUSTRY,,,,
620L800US20001,"State House District 1 (2022), Kansas",32,Civilian employed population 16 years and over,"10,621",+/-345,"10,621",(X)
620L800US20001,"State House District 1 (2022), Kansas",33,"Agriculture, forestry, fishing and hunting, and mining",300,+/-85,2.8,+/-0.8
620L800US20001,"State House District 1 (2022), Kansas",34,Construction,750,+/-186,7.1,+/-1.7
620L800US20001,"State House District 1 (2022), Kansas",35,Manufacturing,"2,068",+/-270,19.5,+/-2.4
620L800US20001,"State House District 1 (2022), Kansas",36,Wholesale trade,214,+/-98,2.0,+/-0.9
620L800US20001,"State House District 1 (2022), Kansas",37,Retail trade,"1,052",+/-191,9.9,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",38,"Transportation and warehousing, and utilities",452,+/-157,4.3,+/-1.5
620L800US20001,"State House District 1 (2022), Kansas",39,Information,112,+/-59,1.1,+/-0.5
620L800US20001,"State House District 1 (2022), Kansas",40,"Finance and insurance, and real estate and rental and leasing",396,+/-115,3.7,+/-1.1
620L800US20001,"State House District 1 (2022), Kansas",41,"Professional, scientific, and management, and administrative and waste management services",454,+/-129,4.3,+/-1.2
620L800US20001,"State House District 1 (2022), Kansas",42,"Educational services, and health care and social assistance","2,967",+/-305,27.9,+/-2.8
620L800US20001,"State House District 1 (2022), Kansas",43,"Arts, entertainment, and recreation, and accommodation and food services",852,+/-196,8.0,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",44,"Other services, except public administration",588,+/-154,5.5,+/-1.4
620L800US20001,"State House District 1 (2022), Kansas",45,Public administration,416,+/-117,3.9,+/-1.1
620L800US20001,"State House District 1 (2022), Kansas",45.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",45.5,CLASS OF WORKER,,,,
620L800US20001,"State House District 1 (2022), Kansas",46,Civilian employed population 16 years and over,"10,621",+/-345,"10,621",(X)
620L800US20001,"State House District 1 (2022), Kansas",47,Private wage and salary workers,"8,206",+/-342,77.3,+/-2.3
620L800US20001,"State House District 1 (2022), Kansas",48,Government workers,"1,684",+/-215,15.9,+/-1.9
620L800US20001,"State House District 1 (2022), Kansas",49,Self-employed in own not incorporated business workers,675,+/-150,6.4,+/-1.4
620L800US20001,"State House District 1 (2022), Kansas",50,Unpaid family workers,56,+/-55,0.5,+/-0.5
620L800US20001,"State House District 1 (2022), Kansas",50.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
620L800US20001,"State House District 1 (2022), Kansas",51,Total households,"9,278",+/-296,"9,278",(X)
620L800US20001,"State House District 1 (2022), Kansas",52,"Less than $10,000",583,+/-161,6.3,+/-1.7
620L800US20001,"State House District 1 (2022), Kansas",53,"$10,000 to $14,999",535,+/-152,5.8,+/-1.6
620L800US20001,"State House District 1 (2022), Kansas",54,"$15,000 to $24,999","1,175",+/-216,12.7,+/-2.2
620L800US20001,"State House District 1 (2022), Kansas",55,"$25,000 to $34,999","1,278",+/-210,13.8,+/-2.2
620L800US20001,"State House District 1 (2022), Kansas",56,"$35,000 to $49,999","1,245",+/-169,13.4,+/-1.8
620L800US20001,"State House District 1 (2022), Kansas",57,"$50,000 to $74,999","1,827",+/-293,19.7,+/-3.2
620L800US20001,"State House District 1 (2022), Kansas",58,"$75,000 to $99,999","1,218",+/-201,13.1,+/-2.2
620L800US20001,"State House District 1 (2022), Kansas",59,"$100,000 to $149,999","1,028",+/-148,11.1,+/-1.5
620L800US20001,"State House District 1 (2022), Kansas",60,"$150,000 to $199,999",244,+/-98,2.6,+/-1.1
620L800US20001,"State House District 1 (2022), Kansas",61,"$200,000 or more",145,+/-69,1.6,+/-0.8
620L800US20001,"State House District 1 (2022), Kansas",62,Median household income (dollars),"46,527","+/-4,331",(X),(X)
620L800US20001,"State House District 1 (2022), Kansas",63,Mean household income (dollars),"58,473","+/-2,792",(X),(X)
620L800US20001,"State House District 1 (2022), Kansas",63.3,,,,,
620L800US20001,"State House District 1 (2022), Kansas",64,With earnings,"6,192",+/-347,66.7,+/-3.2
