"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US22001,"State House District 1 (2022), Louisiana",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
620L800US22001,"State House District 1 (2022), Louisiana",0.5,,,,,
620L800US22001,"State House District 1 (2022), Louisiana",0.8,EMPLOYMENT STATUS,,,,
620L800US22001,"State House District 1 (2022), Louisiana",1,Population 16 years and over,"36,221","+/-1,546","36,221",(X)
620L800US22001,"State House District 1 (2022), Louisiana",2,In labor force,"20,079","+/-1,138",55.4,+/-2.6
620L800US22001,"State House District 1 (2022), Louisiana",3,Civilian labor force,"20,028","+/-1,132",55.3,+/-2.6
620L800US22001,"State House District 1 (2022), Louisiana",4,Employed,"18,834","+/-1,094",52.0,+/-2.7
620L800US22001,"State House District 1 (2022), Louisiana",5,Unemployed,"1,194",+/-308,3.3,+/-0.8
620L800US22001,"State House District 1 (2022), Louisiana",6,Armed Forces,51,+/-71,0.1,+/-0.2
620L800US22001,"State House District 1 (2022), Louisiana",7,Not in labor force,"16,142","+/-1,297",44.6,+/-2.6
620L800US22001,"State House District 1 (2022), Louisiana",7.3,,,,,
620L800US22001,"State House District 1 (2022), Louisiana",8,Civilian labor force,"20,028","+/-1,132","20,028",(X)
620L800US22001,"State House District 1 (2022), Louisiana",9,Unemployment Rate,(X),(X),6.0,+/-1.5
620L800US22001,"State House District 1 (2022), Louisiana",9.3,,,,,
620L800US22001,"State House District 1 (2022), Louisiana",10,Females 16 years and over,"18,990","+/-1,067","18,990",(X)
620L800US22001,"State House District 1 (2022), Louisiana",11,In labor force,"9,857",+/-759,51.9,+/-3.2
620L800US22001,"State House District 1 (2022), Louisiana",12,Civilian labor force,"9,857",+/-759,51.9,+/-3.2
620L800US22001,"State House District 1 (2022), Louisiana",13,Employed,"9,263",+/-724,48.8,+/-3.3
620L800US22001,"State House District 1 (2022), Louisiana",13.3,,,,,
620L800US22001,"State House District 1 (2022), Louisiana",14,Own children of the householder under 6 years,"2,991",+/-446,"2,991",(X)
620L800US22001,"State House District 1 (2022), Louisiana",15,All parents in family in labor force,"2,240",+/-432,74.9,+/-7.9
620L800US22001,"State House District 1 (2022), Louisiana",15.3,,,,,
620L800US22001,"State House District 1 (2022), Louisiana",16,Own children of the householder 6 to 17 years,"6,617",+/-644,"6,617",(X)
620L800US22001,"State House District 1 (2022), Louisiana",17,All parents in family in labor force,"4,624",+/-583,69.9,+/-7.2
620L800US22001,"State House District 1 (2022), Louisiana",17.3,,,,,
620L800US22001,"State House District 1 (2022), Louisiana",17.5,COMMUTING TO WORK,,,,
620L800US22001,"State House District 1 (2022), Louisiana",18,Workers 16 years and over,"18,247","+/-1,128","18,247",(X)
620L800US22001,"State House District 1 (2022), Louisiana",19,"Car, truck, or van -- drove alone","15,239","+/-1,066",83.5,+/-2.9
620L800US22001,"State House District 1 (2022), Louisiana",20,"Car, truck, or van -- carpooled","1,820",+/-482,10.0,+/-2.5
620L800US22001,"State House District 1 (2022), Louisiana",21,Public transportation (excluding taxicab),40,+/-32,0.2,+/-0.2
620L800US22001,"State House District 1 (2022), Louisiana",22,Walked,158,+/-100,0.9,+/-0.5
620L800US22001,"State House District 1 (2022), Louisiana",23,Other means,244,+/-119,1.3,+/-0.7
620L800US22001,"State House District 1 (2022), Louisiana",24,Worked from home,746,+/-238,4.1,+/-1.3
620L800US22001,"State House District 1 (2022), Louisiana",24.3,,,,,
