"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US55001,"Assembly District 1 (2022), Wisconsin",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",0.5,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",0.8,EMPLOYMENT STATUS,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",1,Population 16 years and over,"49,338",+/-449,"49,338",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",2,In labor force,"31,337",+/-627,63.5,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",3,Civilian labor force,"31,316",+/-629,63.5,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",4,Employed,"30,478",+/-640,61.8,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",5,Unemployed,838,+/-171,1.7,+/-0.3
620L800US55001,"Assembly District 1 (2022), Wisconsin",6,Armed Forces,21,+/-23,0.0,+/-0.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",7,Not in labor force,"18,001",+/-499,36.5,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",7.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",8,Civilian labor force,"31,316",+/-629,"31,316",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",9,Unemployment Rate,(X),(X),2.7,+/-0.5
620L800US55001,"Assembly District 1 (2022), Wisconsin",9.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",10,Females 16 years and over,"24,628",+/-314,"24,628",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",11,In labor force,"14,421",+/-402,58.6,+/-1.4
620L800US55001,"Assembly District 1 (2022), Wisconsin",12,Civilian labor force,"14,420",+/-401,58.6,+/-1.4
620L800US55001,"Assembly District 1 (2022), Wisconsin",13,Employed,"14,060",+/-418,57.1,+/-1.4
620L800US55001,"Assembly District 1 (2022), Wisconsin",13.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",14,Own children of the householder under 6 years,"3,083",+/-240,"3,083",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",15,All parents in family in labor force,"2,239",+/-258,72.6,+/-5.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",15.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",16,Own children of the householder 6 to 17 years,"7,677",+/-324,"7,677",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",17,All parents in family in labor force,"6,400",+/-447,83.4,+/-3.3
620L800US55001,"Assembly District 1 (2022), Wisconsin",17.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",17.5,COMMUTING TO WORK,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",18,Workers 16 years and over,"30,127",+/-636,"30,127",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",19,"Car, truck, or van -- drove alone","23,939",+/-562,79.5,+/-1.5
620L800US55001,"Assembly District 1 (2022), Wisconsin",20,"Car, truck, or van -- carpooled","2,328",+/-292,7.7,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",21,Public transportation (excluding taxicab),62,+/-28,0.2,+/-0.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",22,Walked,850,+/-186,2.8,+/-0.6
620L800US55001,"Assembly District 1 (2022), Wisconsin",23,Other means,167,+/-55,0.6,+/-0.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",24,Worked from home,"2,781",+/-352,9.2,+/-1.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",24.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",25,Mean travel time to work (minutes),20.8,+/-0.6,(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",25.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",25.5,OCCUPATION,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",26,Civilian employed population 16 years and over,"30,478",+/-640,"30,478",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",27,"Management, business, science, and arts occupations","10,009",+/-483,32.8,+/-1.5
620L800US55001,"Assembly District 1 (2022), Wisconsin",28,Service occupations,"4,962",+/-330,16.3,+/-1.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",29,Sales and office occupations,"5,648",+/-343,18.5,+/-1.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",30,"Natural resources, construction, and maintenance occupations","4,407",+/-379,14.5,+/-1.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",31,"Production, transportation, and material moving occupations","5,452",+/-433,17.9,+/-1.3
620L800US55001,"Assembly District 1 (2022), Wisconsin",31.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",31.5,INDUSTRY,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",32,Civilian employed population 16 years and over,"30,478",+/-640,"30,478",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",33,"Agriculture, forestry, fishing and hunting, and mining","1,506",+/-344,4.9,+/-1.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",34,Construction,"2,625",+/-247,8.6,+/-0.8
620L800US55001,"Assembly District 1 (2022), Wisconsin",35,Manufacturing,"5,535",+/-369,18.2,+/-1.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",36,Wholesale trade,691,+/-130,2.3,+/-0.4
620L800US55001,"Assembly District 1 (2022), Wisconsin",37,Retail trade,"3,086",+/-324,10.1,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",38,"Transportation and warehousing, and utilities","1,726",+/-224,5.7,+/-0.7
620L800US55001,"Assembly District 1 (2022), Wisconsin",39,Information,285,+/-97,0.9,+/-0.3
620L800US55001,"Assembly District 1 (2022), Wisconsin",40,"Finance and insurance, and real estate and rental and leasing","1,437",+/-212,4.7,+/-0.7
620L800US55001,"Assembly District 1 (2022), Wisconsin",41,"Professional, scientific, and management, and administrative and waste management services","2,319",+/-303,7.6,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",42,"Educational services, and health care and social assistance","5,949",+/-370,19.5,+/-1.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",43,"Arts, entertainment, and recreation, and accommodation and food services","2,702",+/-257,8.9,+/-0.8
620L800US55001,"Assembly District 1 (2022), Wisconsin",44,"Other services, except public administration","1,861",+/-250,6.1,+/-0.8
620L800US55001,"Assembly District 1 (2022), Wisconsin",45,Public administration,756,+/-130,2.5,+/-0.4
620L800US55001,"Assembly District 1 (2022), Wisconsin",45.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",45.5,CLASS OF WORKER,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",46,Civilian employed population 16 years and over,"30,478",+/-640,"30,478",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",47,Private wage and salary workers,"24,295",+/-570,79.7,+/-1.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",48,Government workers,"3,384",+/-298,11.1,+/-1.0
620L800US55001,"Assembly District 1 (2022), Wisconsin",49,Self-employed in own not incorporated business workers,"2,544",+/-252,8.3,+/-0.8
620L800US55001,"Assembly District 1 (2022), Wisconsin",50,Unpaid family workers,255,+/-178,0.8,+/-0.6
620L800US55001,"Assembly District 1 (2022), Wisconsin",50.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",51,Total households,"25,294",+/-476,"25,294",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",52,"Less than $10,000",977,+/-203,3.9,+/-0.8
620L800US55001,"Assembly District 1 (2022), Wisconsin",53,"$10,000 to $14,999",868,+/-185,3.4,+/-0.7
620L800US55001,"Assembly District 1 (2022), Wisconsin",54,"$15,000 to $24,999","1,573",+/-238,6.2,+/-0.9
620L800US55001,"Assembly District 1 (2022), Wisconsin",55,"$25,000 to $34,999","2,077",+/-293,8.2,+/-1.1
620L800US55001,"Assembly District 1 (2022), Wisconsin",56,"$35,000 to $49,999","3,312",+/-234,13.1,+/-0.9
620L800US55001,"Assembly District 1 (2022), Wisconsin",57,"$50,000 to $74,999","5,085",+/-306,20.1,+/-1.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",58,"$75,000 to $99,999","3,848",+/-312,15.2,+/-1.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",59,"$100,000 to $149,999","4,775",+/-343,18.9,+/-1.3
620L800US55001,"Assembly District 1 (2022), Wisconsin",60,"$150,000 to $199,999","1,510",+/-192,6.0,+/-0.8
620L800US55001,"Assembly District 1 (2022), Wisconsin",61,"$200,000 or more","1,269",+/-139,5.0,+/-0.5
620L800US55001,"Assembly District 1 (2022), Wisconsin",62,Median household income (dollars),"68,900","+/-2,127",(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",63,Mean household income (dollars),"86,360","+/-2,459",(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",63.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",64,With earnings,"18,480",+/-487,73.1,+/-1.3
620L800US55001,"Assembly District 1 (2022), Wisconsin",65,Mean earnings (dollars),"80,348","+/-2,800",(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",66,With Social Security,"10,350",+/-309,40.9,+/-1.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",67,Mean Social Security income (dollars),"23,080",+/-526,(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",68,With retirement income,"7,635",+/-372,30.2,+/-1.4
620L800US55001,"Assembly District 1 (2022), Wisconsin",69,Mean retirement income (dollars),"30,079","+/-2,399",(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",69.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",70,With Supplemental Security Income,"1,127",+/-218,4.5,+/-0.9
620L800US55001,"Assembly District 1 (2022), Wisconsin",71,Mean Supplemental Security Income (dollars),"12,006","+/-1,142",(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",72,With cash public assistance income,315,+/-85,1.2,+/-0.3
620L800US55001,"Assembly District 1 (2022), Wisconsin",73,Mean cash public assistance income (dollars),"3,129","+/-1,152",(X),(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",74,With Food Stamp/SNAP benefits in the past 12 months,"1,628",+/-243,6.4,+/-0.9
620L800US55001,"Assembly District 1 (2022), Wisconsin",74.3,,,,,
620L800US55001,"Assembly District 1 (2022), Wisconsin",75,Families,"17,115",+/-473,"17,115",(X)
620L800US55001,"Assembly District 1 (2022), Wisconsin",76,"Less than $10,000",268,+/-100,1.6,+/-0.6
620L800US55001,"Assembly District 1 (2022), Wisconsin",77,"$10,000 to $14,999",270,+/-92,1.6,+/-0.5
620L800US55001,"Assembly District 1 (2022), Wisconsin",78,"$15,000 to $24,999",443,+/-105,2.6,+/-0.6
620L800US55001,"Assembly District 1 (2022), Wisconsin",79,"$25,000 to $34,999",957,+/-205,5.6,+/-1.2
620L800US55001,"Assembly District 1 (2022), Wisconsin",80,"$35,000 to $49,999","1,850",+/-216,10.8,+/-1.2
