"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US02001,"State House District 1 (2022), Alaska",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US02001,"State House District 1 (2022), Alaska",0.5,,,,,
620L800US02001,"State House District 1 (2022), Alaska",0.8,HOUSING OCCUPANCY,,,,
620L800US02001,"State House District 1 (2022), Alaska",1,Total housing units,"8,722",+/-101,"8,722",(X)
620L800US02001,"State House District 1 (2022), Alaska",2,Occupied housing units,"6,929",+/-158,79.4,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",3,Vacant housing units,"1,793",+/-130,20.6,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",3.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",4,Homeowner vacancy rate,1.1,+/-0.5,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",5,Rental vacancy rate,8.1,+/-2.0,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",5.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",5.5,UNITS IN STRUCTURE,,,,
620L800US02001,"State House District 1 (2022), Alaska",6,Total housing units,"8,722",+/-101,"8,722",(X)
620L800US02001,"State House District 1 (2022), Alaska",7,"1-unit, detached","5,080",+/-155,58.2,+/-1.7
620L800US02001,"State House District 1 (2022), Alaska",8,"1-unit, attached",372,+/-74,4.3,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",9,2 units,978,+/-112,11.2,+/-1.3
620L800US02001,"State House District 1 (2022), Alaska",10,3 or 4 units,548,+/-79,6.3,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",11,5 to 9 units,444,+/-87,5.1,+/-1.0
620L800US02001,"State House District 1 (2022), Alaska",12,10 to 19 units,236,+/-57,2.7,+/-0.7
620L800US02001,"State House District 1 (2022), Alaska",13,20 or more units,607,+/-74,7.0,+/-0.8
620L800US02001,"State House District 1 (2022), Alaska",14,Mobile home,452,+/-74,5.2,+/-0.8
620L800US02001,"State House District 1 (2022), Alaska",15,"Boat, RV, van, etc.",5,+/-8,0.1,+/-0.1
620L800US02001,"State House District 1 (2022), Alaska",15.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",15.5,YEAR STRUCTURE BUILT,,,,
620L800US02001,"State House District 1 (2022), Alaska",16,Total housing units,"8,722",+/-101,"8,722",(X)
620L800US02001,"State House District 1 (2022), Alaska",17,Built 2020 or later,5,+/-8,0.1,+/-0.1
620L800US02001,"State House District 1 (2022), Alaska",18,Built 2010 to 2019,487,+/-99,5.6,+/-1.1
620L800US02001,"State House District 1 (2022), Alaska",19,Built 2000 to 2009,653,+/-129,7.5,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",20,Built 1990 to 1999,"1,164",+/-125,13.3,+/-1.4
620L800US02001,"State House District 1 (2022), Alaska",21,Built 1980 to 1989,"1,500",+/-126,17.2,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",22,Built 1970 to 1979,"1,955",+/-155,22.4,+/-1.7
620L800US02001,"State House District 1 (2022), Alaska",23,Built 1960 to 1969,676,+/-109,7.8,+/-1.3
620L800US02001,"State House District 1 (2022), Alaska",24,Built 1950 to 1959,893,+/-107,10.2,+/-1.2
620L800US02001,"State House District 1 (2022), Alaska",25,Built 1940 to 1949,433,+/-77,5.0,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",26,Built 1939 or earlier,956,+/-106,11.0,+/-1.2
620L800US02001,"State House District 1 (2022), Alaska",26.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",26.5,ROOMS,,,,
620L800US02001,"State House District 1 (2022), Alaska",27,Total housing units,"8,722",+/-101,"8,722",(X)
620L800US02001,"State House District 1 (2022), Alaska",28,1 room,485,+/-95,5.6,+/-1.1
620L800US02001,"State House District 1 (2022), Alaska",29,2 rooms,593,+/-116,6.8,+/-1.3
620L800US02001,"State House District 1 (2022), Alaska",30,3 rooms,"1,140",+/-97,13.1,+/-1.1
620L800US02001,"State House District 1 (2022), Alaska",31,4 rooms,"1,880",+/-166,21.6,+/-1.9
620L800US02001,"State House District 1 (2022), Alaska",32,5 rooms,"1,512",+/-146,17.3,+/-1.6
620L800US02001,"State House District 1 (2022), Alaska",33,6 rooms,"1,267",+/-136,14.5,+/-1.6
620L800US02001,"State House District 1 (2022), Alaska",34,7 rooms,754,+/-107,8.6,+/-1.2
620L800US02001,"State House District 1 (2022), Alaska",35,8 rooms,436,+/-76,5.0,+/-0.9
620L800US02001,"State House District 1 (2022), Alaska",36,9 rooms or more,655,+/-91,7.5,+/-1.1
620L800US02001,"State House District 1 (2022), Alaska",37,Median rooms,4.7,+/-0.2,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",37.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",37.5,BEDROOMS,,,,
620L800US02001,"State House District 1 (2022), Alaska",38,Total housing units,"8,722",+/-101,"8,722",(X)
620L800US02001,"State House District 1 (2022), Alaska",39,No bedroom,501,+/-95,5.7,+/-1.1
620L800US02001,"State House District 1 (2022), Alaska",40,1 bedroom,"1,301",+/-153,14.9,+/-1.7
620L800US02001,"State House District 1 (2022), Alaska",41,2 bedrooms,"2,601",+/-157,29.8,+/-1.8
620L800US02001,"State House District 1 (2022), Alaska",42,3 bedrooms,"2,817",+/-183,32.3,+/-2.1
620L800US02001,"State House District 1 (2022), Alaska",43,4 bedrooms,"1,137",+/-128,13.0,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",44,5 or more bedrooms,365,+/-67,4.2,+/-0.8
620L800US02001,"State House District 1 (2022), Alaska",44.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",44.5,HOUSING TENURE,,,,
620L800US02001,"State House District 1 (2022), Alaska",45,Occupied housing units,"6,929",+/-158,"6,929",(X)
620L800US02001,"State House District 1 (2022), Alaska",46,Owner-occupied,"4,626",+/-155,66.8,+/-2.0
620L800US02001,"State House District 1 (2022), Alaska",47,Renter-occupied,"2,303",+/-156,33.2,+/-2.0
620L800US02001,"State House District 1 (2022), Alaska",47.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",48,Average household size of owner-occupied unit,2.60,+/-0.09,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",49,Average household size of renter-occupied unit,2.40,+/-0.12,(X),(X)
620L800US02001,"State House District 1 (2022), Alaska",49.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
620L800US02001,"State House District 1 (2022), Alaska",50,Occupied housing units,"6,929",+/-158,"6,929",(X)
620L800US02001,"State House District 1 (2022), Alaska",51,Moved in 2019 or later,541,+/-90,7.8,+/-1.3
620L800US02001,"State House District 1 (2022), Alaska",52,Moved in 2015 to 2018,"1,878",+/-160,27.1,+/-2.1
620L800US02001,"State House District 1 (2022), Alaska",53,Moved in 2010 to 2014,"1,138",+/-119,16.4,+/-1.7
620L800US02001,"State House District 1 (2022), Alaska",54,Moved in 2000 to 2009,"1,437",+/-155,20.7,+/-2.2
620L800US02001,"State House District 1 (2022), Alaska",55,Moved in 1990 to 1999,"1,004",+/-117,14.5,+/-1.7
620L800US02001,"State House District 1 (2022), Alaska",56,Moved in 1989 and earlier,931,+/-110,13.4,+/-1.5
620L800US02001,"State House District 1 (2022), Alaska",56.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",56.5,VEHICLES AVAILABLE,,,,
620L800US02001,"State House District 1 (2022), Alaska",57,Occupied housing units,"6,929",+/-158,"6,929",(X)
620L800US02001,"State House District 1 (2022), Alaska",58,No vehicles available,766,+/-88,11.1,+/-1.3
620L800US02001,"State House District 1 (2022), Alaska",59,1 vehicle available,"2,338",+/-182,33.7,+/-2.5
620L800US02001,"State House District 1 (2022), Alaska",60,2 vehicles available,"2,483",+/-174,35.8,+/-2.3
620L800US02001,"State House District 1 (2022), Alaska",61,3 or more vehicles available,"1,342",+/-120,19.4,+/-1.8
620L800US02001,"State House District 1 (2022), Alaska",61.3,,,,,
620L800US02001,"State House District 1 (2022), Alaska",61.5,HOUSE HEATING FUEL,,,,
620L800US02001,"State House District 1 (2022), Alaska",62,Occupied housing units,"6,929",+/-158,"6,929",(X)
620L800US02001,"State House District 1 (2022), Alaska",63,Utility gas,140,+/-43,2.0,+/-0.6
620L800US02001,"State House District 1 (2022), Alaska",64,"Bottled, tank, or LP gas",241,+/-58,3.5,+/-0.8
620L800US02001,"State House District 1 (2022), Alaska",65,Electricity,"2,822",+/-181,40.7,+/-2.4
620L800US02001,"State House District 1 (2022), Alaska",66,"Fuel oil, kerosene, etc.","2,980",+/-176,43.0,+/-2.5
620L800US02001,"State House District 1 (2022), Alaska",67,Coal or coke,18,+/-17,0.3,+/-0.2
