"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US04001,"State House District 1 (2022), Arizona",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US04001,"State House District 1 (2022), Arizona",0.5,,,,,
620L800US04001,"State House District 1 (2022), Arizona",0.8,HOUSING OCCUPANCY,,,,
620L800US04001,"State House District 1 (2022), Arizona",1,Total housing units,"121,368",+/-437,"121,368",(X)
620L800US04001,"State House District 1 (2022), Arizona",2,Occupied housing units,"104,929","+/-1,010",86.5,+/-0.8
620L800US04001,"State House District 1 (2022), Arizona",3,Vacant housing units,"16,439",+/-941,13.5,+/-0.8
620L800US04001,"State House District 1 (2022), Arizona",3.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",4,Homeowner vacancy rate,0.9,+/-0.3,(X),(X)
620L800US04001,"State House District 1 (2022), Arizona",5,Rental vacancy rate,3.9,+/-1.1,(X),(X)
620L800US04001,"State House District 1 (2022), Arizona",5.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",5.5,UNITS IN STRUCTURE,,,,
620L800US04001,"State House District 1 (2022), Arizona",6,Total housing units,"121,368",+/-437,"121,368",(X)
620L800US04001,"State House District 1 (2022), Arizona",7,"1-unit, detached","80,034","+/-1,453",65.9,+/-1.2
620L800US04001,"State House District 1 (2022), Arizona",8,"1-unit, attached","4,206",+/-605,3.5,+/-0.5
620L800US04001,"State House District 1 (2022), Arizona",9,2 units,"3,077",+/-547,2.5,+/-0.4
620L800US04001,"State House District 1 (2022), Arizona",10,3 or 4 units,"3,794",+/-600,3.1,+/-0.5
620L800US04001,"State House District 1 (2022), Arizona",11,5 to 9 units,"2,998",+/-538,2.5,+/-0.4
620L800US04001,"State House District 1 (2022), Arizona",12,10 to 19 units,"1,094",+/-269,0.9,+/-0.2
620L800US04001,"State House District 1 (2022), Arizona",13,20 or more units,"3,476",+/-498,2.9,+/-0.4
620L800US04001,"State House District 1 (2022), Arizona",14,Mobile home,"21,524","+/-1,155",17.7,+/-1.0
620L800US04001,"State House District 1 (2022), Arizona",15,"Boat, RV, van, etc.","1,165",+/-396,1.0,+/-0.3
620L800US04001,"State House District 1 (2022), Arizona",15.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",15.5,YEAR STRUCTURE BUILT,,,,
620L800US04001,"State House District 1 (2022), Arizona",16,Total housing units,"121,368",+/-437,"121,368",(X)
620L800US04001,"State House District 1 (2022), Arizona",17,Built 2020 or later,359,+/-152,0.3,+/-0.1
620L800US04001,"State House District 1 (2022), Arizona",18,Built 2010 to 2019,"10,214",+/-979,8.4,+/-0.8
620L800US04001,"State House District 1 (2022), Arizona",19,Built 2000 to 2009,"28,547","+/-1,271",23.5,+/-1.0
620L800US04001,"State House District 1 (2022), Arizona",20,Built 1990 to 1999,"28,881","+/-1,110",23.8,+/-0.9
620L800US04001,"State House District 1 (2022), Arizona",21,Built 1980 to 1989,"22,590","+/-1,276",18.6,+/-1.1
620L800US04001,"State House District 1 (2022), Arizona",22,Built 1970 to 1979,"18,136","+/-1,108",14.9,+/-0.9
620L800US04001,"State House District 1 (2022), Arizona",23,Built 1960 to 1969,"6,007",+/-752,4.9,+/-0.6
620L800US04001,"State House District 1 (2022), Arizona",24,Built 1950 to 1959,"2,864",+/-451,2.4,+/-0.4
620L800US04001,"State House District 1 (2022), Arizona",25,Built 1940 to 1949,"1,228",+/-261,1.0,+/-0.2
620L800US04001,"State House District 1 (2022), Arizona",26,Built 1939 or earlier,"2,542",+/-399,2.1,+/-0.3
620L800US04001,"State House District 1 (2022), Arizona",26.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",26.5,ROOMS,,,,
620L800US04001,"State House District 1 (2022), Arizona",27,Total housing units,"121,368",+/-437,"121,368",(X)
620L800US04001,"State House District 1 (2022), Arizona",28,1 room,"2,697",+/-569,2.2,+/-0.5
620L800US04001,"State House District 1 (2022), Arizona",29,2 rooms,"3,643",+/-593,3.0,+/-0.5
620L800US04001,"State House District 1 (2022), Arizona",30,3 rooms,"10,649",+/-851,8.8,+/-0.7
620L800US04001,"State House District 1 (2022), Arizona",31,4 rooms,"20,444","+/-1,288",16.8,+/-1.1
620L800US04001,"State House District 1 (2022), Arizona",32,5 rooms,"26,557","+/-1,490",21.9,+/-1.2
620L800US04001,"State House District 1 (2022), Arizona",33,6 rooms,"25,938","+/-1,232",21.4,+/-1.0
620L800US04001,"State House District 1 (2022), Arizona",34,7 rooms,"14,883","+/-1,109",12.3,+/-0.9
620L800US04001,"State House District 1 (2022), Arizona",35,8 rooms,"7,983",+/-717,6.6,+/-0.6
620L800US04001,"State House District 1 (2022), Arizona",36,9 rooms or more,"8,574",+/-722,7.1,+/-0.6
620L800US04001,"State House District 1 (2022), Arizona",37,Median rooms,5.4,+/-0.1,(X),(X)
620L800US04001,"State House District 1 (2022), Arizona",37.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",37.5,BEDROOMS,,,,
620L800US04001,"State House District 1 (2022), Arizona",38,Total housing units,"121,368",+/-437,"121,368",(X)
620L800US04001,"State House District 1 (2022), Arizona",39,No bedroom,"2,917",+/-577,2.4,+/-0.5
620L800US04001,"State House District 1 (2022), Arizona",40,1 bedroom,"10,201",+/-773,8.4,+/-0.6
620L800US04001,"State House District 1 (2022), Arizona",41,2 bedrooms,"35,450","+/-1,397",29.2,+/-1.1
620L800US04001,"State House District 1 (2022), Arizona",42,3 bedrooms,"57,285","+/-1,452",47.2,+/-1.2
620L800US04001,"State House District 1 (2022), Arizona",43,4 bedrooms,"13,315","+/-1,012",11.0,+/-0.8
620L800US04001,"State House District 1 (2022), Arizona",44,5 or more bedrooms,"2,200",+/-387,1.8,+/-0.3
620L800US04001,"State House District 1 (2022), Arizona",44.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",44.5,HOUSING TENURE,,,,
620L800US04001,"State House District 1 (2022), Arizona",45,Occupied housing units,"104,929","+/-1,010","104,929",(X)
620L800US04001,"State House District 1 (2022), Arizona",46,Owner-occupied,"75,740","+/-1,509",72.2,+/-1.4
620L800US04001,"State House District 1 (2022), Arizona",47,Renter-occupied,"29,189","+/-1,581",27.8,+/-1.4
620L800US04001,"State House District 1 (2022), Arizona",47.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",48,Average household size of owner-occupied unit,2.20,+/-0.03,(X),(X)
620L800US04001,"State House District 1 (2022), Arizona",49,Average household size of renter-occupied unit,2.21,+/-0.07,(X),(X)
620L800US04001,"State House District 1 (2022), Arizona",49.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
620L800US04001,"State House District 1 (2022), Arizona",50,Occupied housing units,"104,929","+/-1,010","104,929",(X)
620L800US04001,"State House District 1 (2022), Arizona",51,Moved in 2019 or later,"11,304","+/-1,053",10.8,+/-1.0
620L800US04001,"State House District 1 (2022), Arizona",52,Moved in 2015 to 2018,"33,858","+/-1,484",32.3,+/-1.3
620L800US04001,"State House District 1 (2022), Arizona",53,Moved in 2010 to 2014,"21,331","+/-1,211",20.3,+/-1.1
620L800US04001,"State House District 1 (2022), Arizona",54,Moved in 2000 to 2009,"22,977","+/-1,109",21.9,+/-1.1
620L800US04001,"State House District 1 (2022), Arizona",55,Moved in 1990 to 1999,"10,531",+/-810,10.0,+/-0.8
620L800US04001,"State House District 1 (2022), Arizona",56,Moved in 1989 and earlier,"4,928",+/-590,4.7,+/-0.6
620L800US04001,"State House District 1 (2022), Arizona",56.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",56.5,VEHICLES AVAILABLE,,,,
620L800US04001,"State House District 1 (2022), Arizona",57,Occupied housing units,"104,929","+/-1,010","104,929",(X)
620L800US04001,"State House District 1 (2022), Arizona",58,No vehicles available,"4,046",+/-552,3.9,+/-0.5
620L800US04001,"State House District 1 (2022), Arizona",59,1 vehicle available,"33,986","+/-1,364",32.4,+/-1.2
620L800US04001,"State House District 1 (2022), Arizona",60,2 vehicles available,"41,152","+/-1,403",39.2,+/-1.3
620L800US04001,"State House District 1 (2022), Arizona",61,3 or more vehicles available,"25,745","+/-1,034",24.5,+/-1.0
620L800US04001,"State House District 1 (2022), Arizona",61.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",61.5,HOUSE HEATING FUEL,,,,
620L800US04001,"State House District 1 (2022), Arizona",62,Occupied housing units,"104,929","+/-1,010","104,929",(X)
620L800US04001,"State House District 1 (2022), Arizona",63,Utility gas,"53,379","+/-1,522",50.9,+/-1.4
620L800US04001,"State House District 1 (2022), Arizona",64,"Bottled, tank, or LP gas","14,042",+/-924,13.4,+/-0.8
620L800US04001,"State House District 1 (2022), Arizona",65,Electricity,"31,652","+/-1,530",30.2,+/-1.4
620L800US04001,"State House District 1 (2022), Arizona",66,"Fuel oil, kerosene, etc.",194,+/-110,0.2,+/-0.1
620L800US04001,"State House District 1 (2022), Arizona",67,Coal or coke,0,+/-31,0.0,+/-0.1
620L800US04001,"State House District 1 (2022), Arizona",68,Wood,"4,055",+/-572,3.9,+/-0.5
620L800US04001,"State House District 1 (2022), Arizona",69,Solar energy,739,+/-188,0.7,+/-0.2
620L800US04001,"State House District 1 (2022), Arizona",70,Other fuel,650,+/-204,0.6,+/-0.2
620L800US04001,"State House District 1 (2022), Arizona",71,No fuel used,218,+/-80,0.2,+/-0.1
620L800US04001,"State House District 1 (2022), Arizona",71.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",71.5,SELECTED CHARACTERISTICS,,,,
620L800US04001,"State House District 1 (2022), Arizona",72,Occupied housing units,"104,929","+/-1,010","104,929",(X)
620L800US04001,"State House District 1 (2022), Arizona",73,Lacking complete plumbing facilities,275,+/-121,0.3,+/-0.1
620L800US04001,"State House District 1 (2022), Arizona",74,Lacking complete kitchen facilities,674,+/-198,0.6,+/-0.2
620L800US04001,"State House District 1 (2022), Arizona",75,No telephone service available,"1,216",+/-262,1.2,+/-0.2
620L800US04001,"State House District 1 (2022), Arizona",75.3,,,,,
620L800US04001,"State House District 1 (2022), Arizona",75.5,OCCUPANTS PER ROOM,,,,
