"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US08001,"State House District 1 (2022), Colorado",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US08001,"State House District 1 (2022), Colorado",0.5,,,,,
620L800US08001,"State House District 1 (2022), Colorado",0.8,HOUSING OCCUPANCY,,,,
620L800US08001,"State House District 1 (2022), Colorado",1,Total housing units,"35,440",+/-989,"35,440",(X)
620L800US08001,"State House District 1 (2022), Colorado",2,Occupied housing units,"34,224",+/-988,96.6,+/-1.0
620L800US08001,"State House District 1 (2022), Colorado",3,Vacant housing units,"1,216",+/-343,3.4,+/-1.0
620L800US08001,"State House District 1 (2022), Colorado",3.3,,,,,
620L800US08001,"State House District 1 (2022), Colorado",4,Homeowner vacancy rate,0.3,+/-0.3,(X),(X)
620L800US08001,"State House District 1 (2022), Colorado",5,Rental vacancy rate,3.4,+/-1.4,(X),(X)
620L800US08001,"State House District 1 (2022), Colorado",5.3,,,,,
620L800US08001,"State House District 1 (2022), Colorado",5.5,UNITS IN STRUCTURE,,,,
620L800US08001,"State House District 1 (2022), Colorado",6,Total housing units,"35,440",+/-989,"35,440",(X)
620L800US08001,"State House District 1 (2022), Colorado",7,"1-unit, detached","21,702",+/-866,61.2,+/-1.9
620L800US08001,"State House District 1 (2022), Colorado",8,"1-unit, attached","1,531",+/-235,4.3,+/-0.7
620L800US08001,"State House District 1 (2022), Colorado",9,2 units,570,+/-213,1.6,+/-0.6
620L800US08001,"State House District 1 (2022), Colorado",10,3 or 4 units,894,+/-254,2.5,+/-0.7
620L800US08001,"State House District 1 (2022), Colorado",11,5 to 9 units,"1,747",+/-342,4.9,+/-1.0
620L800US08001,"State House District 1 (2022), Colorado",12,10 to 19 units,"3,630",+/-586,10.2,+/-1.5
620L800US08001,"State House District 1 (2022), Colorado",13,20 or more units,"5,023",+/-407,14.2,+/-1.1
620L800US08001,"State House District 1 (2022), Colorado",14,Mobile home,325,+/-144,0.9,+/-0.4
620L800US08001,"State House District 1 (2022), Colorado",15,"Boat, RV, van, etc.",18,+/-24,0.1,+/-0.1
620L800US08001,"State House District 1 (2022), Colorado",15.3,,,,,
620L800US08001,"State House District 1 (2022), Colorado",15.5,YEAR STRUCTURE BUILT,,,,
620L800US08001,"State House District 1 (2022), Colorado",16,Total housing units,"35,440",+/-989,"35,440",(X)
620L800US08001,"State House District 1 (2022), Colorado",17,Built 2020 or later,97,+/-58,0.3,+/-0.2
620L800US08001,"State House District 1 (2022), Colorado",18,Built 2010 to 2019,"1,017",+/-239,2.9,+/-0.7
620L800US08001,"State House District 1 (2022), Colorado",19,Built 2000 to 2009,"2,219",+/-487,6.3,+/-1.3
620L800US08001,"State House District 1 (2022), Colorado",20,Built 1990 to 1999,"2,975",+/-411,8.4,+/-1.2
620L800US08001,"State House District 1 (2022), Colorado",21,Built 1980 to 1989,"3,928",+/-476,11.1,+/-1.4
620L800US08001,"State House District 1 (2022), Colorado",22,Built 1970 to 1979,"6,753",+/-663,19.1,+/-1.7
620L800US08001,"State House District 1 (2022), Colorado",23,Built 1960 to 1969,"4,244",+/-459,12.0,+/-1.2
620L800US08001,"State House District 1 (2022), Colorado",24,Built 1950 to 1959,"11,415",+/-622,32.2,+/-1.6
620L800US08001,"State House District 1 (2022), Colorado",25,Built 1940 to 1949,"1,558",+/-340,4.4,+/-0.9
620L800US08001,"State House District 1 (2022), Colorado",26,Built 1939 or earlier,"1,234",+/-255,3.5,+/-0.7
620L800US08001,"State House District 1 (2022), Colorado",26.3,,,,,
620L800US08001,"State House District 1 (2022), Colorado",26.5,ROOMS,,,,
620L800US08001,"State House District 1 (2022), Colorado",27,Total housing units,"35,440",+/-989,"35,440",(X)
620L800US08001,"State House District 1 (2022), Colorado",28,1 room,581,+/-208,1.6,+/-0.6
620L800US08001,"State House District 1 (2022), Colorado",29,2 rooms,"1,209",+/-268,3.4,+/-0.7
620L800US08001,"State House District 1 (2022), Colorado",30,3 rooms,"4,381",+/-482,12.4,+/-1.4
620L800US08001,"State House District 1 (2022), Colorado",31,4 rooms,"6,923",+/-785,19.5,+/-2.1
620L800US08001,"State House District 1 (2022), Colorado",32,5 rooms,"5,109",+/-587,14.4,+/-1.6
620L800US08001,"State House District 1 (2022), Colorado",33,6 rooms,"5,151",+/-585,14.5,+/-1.6
620L800US08001,"State House District 1 (2022), Colorado",34,7 rooms,"3,407",+/-554,9.6,+/-1.5
620L800US08001,"State House District 1 (2022), Colorado",35,8 rooms,"3,772",+/-554,10.6,+/-1.5
620L800US08001,"State House District 1 (2022), Colorado",36,9 rooms or more,"4,907",+/-468,13.8,+/-1.3
620L800US08001,"State House District 1 (2022), Colorado",37,Median rooms,5.4,+/-0.2,(X),(X)
620L800US08001,"State House District 1 (2022), Colorado",37.3,,,,,
620L800US08001,"State House District 1 (2022), Colorado",37.5,BEDROOMS,,,,
620L800US08001,"State House District 1 (2022), Colorado",38,Total housing units,"35,440",+/-989,"35,440",(X)
620L800US08001,"State House District 1 (2022), Colorado",39,No bedroom,684,+/-227,1.9,+/-0.6
620L800US08001,"State House District 1 (2022), Colorado",40,1 bedroom,"5,162",+/-489,14.6,+/-1.3
620L800US08001,"State House District 1 (2022), Colorado",41,2 bedrooms,"10,304",+/-856,29.1,+/-2.3
620L800US08001,"State House District 1 (2022), Colorado",42,3 bedrooms,"10,465",+/-757,29.5,+/-2.0
620L800US08001,"State House District 1 (2022), Colorado",43,4 bedrooms,"6,122",+/-565,17.3,+/-1.6
620L800US08001,"State House District 1 (2022), Colorado",44,5 or more bedrooms,"2,703",+/-517,7.6,+/-1.4
