"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US12001,"State House District 1 (2022), Florida",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US12001,"State House District 1 (2022), Florida",0.5,,,,,
620L800US12001,"State House District 1 (2022), Florida",0.8,HOUSING OCCUPANCY,,,,
620L800US12001,"State House District 1 (2022), Florida",1,Total housing units,"72,200","+/-1,203","72,200",(X)
620L800US12001,"State House District 1 (2022), Florida",2,Occupied housing units,"65,409","+/-1,417",90.6,+/-1.1
620L800US12001,"State House District 1 (2022), Florida",3,Vacant housing units,"6,791",+/-753,9.4,+/-1.1
620L800US12001,"State House District 1 (2022), Florida",3.3,,,,,
620L800US12001,"State House District 1 (2022), Florida",4,Homeowner vacancy rate,1.9,+/-0.7,(X),(X)
620L800US12001,"State House District 1 (2022), Florida",5,Rental vacancy rate,6.8,+/-1.6,(X),(X)
620L800US12001,"State House District 1 (2022), Florida",5.3,,,,,
620L800US12001,"State House District 1 (2022), Florida",5.5,UNITS IN STRUCTURE,,,,
620L800US12001,"State House District 1 (2022), Florida",6,Total housing units,"72,200","+/-1,203","72,200",(X)
620L800US12001,"State House District 1 (2022), Florida",7,"1-unit, detached","52,121","+/-1,310",72.2,+/-1.4
620L800US12001,"State House District 1 (2022), Florida",8,"1-unit, attached","1,564",+/-357,2.2,+/-0.5
620L800US12001,"State House District 1 (2022), Florida",9,2 units,"1,627",+/-333,2.3,+/-0.4
620L800US12001,"State House District 1 (2022), Florida",10,3 or 4 units,"2,613",+/-501,3.6,+/-0.7
620L800US12001,"State House District 1 (2022), Florida",11,5 to 9 units,"2,569",+/-416,3.6,+/-0.6
620L800US12001,"State House District 1 (2022), Florida",12,10 to 19 units,"2,247",+/-411,3.1,+/-0.6
620L800US12001,"State House District 1 (2022), Florida",13,20 or more units,"3,313",+/-624,4.6,+/-0.9
620L800US12001,"State House District 1 (2022), Florida",14,Mobile home,"5,748",+/-673,8.0,+/-0.9
620L800US12001,"State House District 1 (2022), Florida",15,"Boat, RV, van, etc.",398,+/-249,0.6,+/-0.3
620L800US12001,"State House District 1 (2022), Florida",15.3,,,,,
