"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US15001,"State House District 1 (2022), Hawaii",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US15001,"State House District 1 (2022), Hawaii",0.5,,,,,
620L800US15001,"State House District 1 (2022), Hawaii",0.8,HOUSING OCCUPANCY,,,,
620L800US15001,"State House District 1 (2022), Hawaii",1,Total housing units,"9,833",+/-400,"9,833",(X)
620L800US15001,"State House District 1 (2022), Hawaii",2,Occupied housing units,"8,505",+/-393,86.5,+/-1.8
620L800US15001,"State House District 1 (2022), Hawaii",3,Vacant housing units,"1,328",+/-189,13.5,+/-1.8
620L800US15001,"State House District 1 (2022), Hawaii",3.3,,,,,
620L800US15001,"State House District 1 (2022), Hawaii",4,Homeowner vacancy rate,1.9,+/-1.2,(X),(X)
620L800US15001,"State House District 1 (2022), Hawaii",5,Rental vacancy rate,2.4,+/-2.4,(X),(X)
620L800US15001,"State House District 1 (2022), Hawaii",5.3,,,,,
620L800US15001,"State House District 1 (2022), Hawaii",5.5,UNITS IN STRUCTURE,,,,
620L800US15001,"State House District 1 (2022), Hawaii",6,Total housing units,"9,833",+/-400,"9,833",(X)
620L800US15001,"State House District 1 (2022), Hawaii",7,"1-unit, detached","8,367",+/-383,85.1,+/-2.4
620L800US15001,"State House District 1 (2022), Hawaii",8,"1-unit, attached",206,+/-95,2.1,+/-0.9
620L800US15001,"State House District 1 (2022), Hawaii",9,2 units,252,+/-120,2.6,+/-1.2
620L800US15001,"State House District 1 (2022), Hawaii",10,3 or 4 units,198,+/-73,2.0,+/-0.7
620L800US15001,"State House District 1 (2022), Hawaii",11,5 to 9 units,151,+/-59,1.5,+/-0.6
620L800US15001,"State House District 1 (2022), Hawaii",12,10 to 19 units,161,+/-96,1.6,+/-1.0
620L800US15001,"State House District 1 (2022), Hawaii",13,20 or more units,460,+/-143,4.7,+/-1.4
620L800US15001,"State House District 1 (2022), Hawaii",14,Mobile home,38,+/-28,0.4,+/-0.3
