"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US26001,"State House District 1 (2022), Michigan",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US26001,"State House District 1 (2022), Michigan",0.5,,,,,
620L800US26001,"State House District 1 (2022), Michigan",0.8,HOUSING OCCUPANCY,,,,
620L800US26001,"State House District 1 (2022), Michigan",1,Total housing units,"44,988","+/-1,012","44,988",(X)
620L800US26001,"State House District 1 (2022), Michigan",2,Occupied housing units,"33,262","+/-1,007",73.9,+/-1.2
620L800US26001,"State House District 1 (2022), Michigan",3,Vacant housing units,"11,726",+/-528,26.1,+/-1.2
620L800US26001,"State House District 1 (2022), Michigan",3.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",4,Homeowner vacancy rate,1.8,+/-0.6,(X),(X)
620L800US26001,"State House District 1 (2022), Michigan",5,Rental vacancy rate,4.2,+/-0.9,(X),(X)
620L800US26001,"State House District 1 (2022), Michigan",5.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",5.5,UNITS IN STRUCTURE,,,,
620L800US26001,"State House District 1 (2022), Michigan",6,Total housing units,"44,988","+/-1,012","44,988",(X)
620L800US26001,"State House District 1 (2022), Michigan",7,"1-unit, detached","27,828",+/-967,61.9,+/-1.6
620L800US26001,"State House District 1 (2022), Michigan",8,"1-unit, attached","3,491",+/-467,7.8,+/-1.0
620L800US26001,"State House District 1 (2022), Michigan",9,2 units,"5,277",+/-614,11.7,+/-1.3
620L800US26001,"State House District 1 (2022), Michigan",10,3 or 4 units,"2,132",+/-322,4.7,+/-0.7
620L800US26001,"State House District 1 (2022), Michigan",11,5 to 9 units,"1,069",+/-177,2.4,+/-0.4
620L800US26001,"State House District 1 (2022), Michigan",12,10 to 19 units,840,+/-180,1.9,+/-0.4
620L800US26001,"State House District 1 (2022), Michigan",13,20 or more units,"4,038",+/-354,9.0,+/-0.7
620L800US26001,"State House District 1 (2022), Michigan",14,Mobile home,313,+/-87,0.7,+/-0.2
620L800US26001,"State House District 1 (2022), Michigan",15,"Boat, RV, van, etc.",0,+/-26,0.0,+/-0.1
620L800US26001,"State House District 1 (2022), Michigan",15.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",15.5,YEAR STRUCTURE BUILT,,,,
620L800US26001,"State House District 1 (2022), Michigan",16,Total housing units,"44,988","+/-1,012","44,988",(X)
620L800US26001,"State House District 1 (2022), Michigan",17,Built 2020 or later,0,+/-26,0.0,+/-0.1
620L800US26001,"State House District 1 (2022), Michigan",18,Built 2010 to 2019,314,+/-103,0.7,+/-0.2
620L800US26001,"State House District 1 (2022), Michigan",19,Built 2000 to 2009,"1,887",+/-292,4.2,+/-0.6
620L800US26001,"State House District 1 (2022), Michigan",20,Built 1990 to 1999,"1,201",+/-225,2.7,+/-0.5
620L800US26001,"State House District 1 (2022), Michigan",21,Built 1980 to 1989,"1,408",+/-320,3.1,+/-0.7
620L800US26001,"State House District 1 (2022), Michigan",22,Built 1970 to 1979,"2,114",+/-408,4.7,+/-0.9
620L800US26001,"State House District 1 (2022), Michigan",23,Built 1960 to 1969,"2,426",+/-473,5.4,+/-1.0
620L800US26001,"State House District 1 (2022), Michigan",24,Built 1950 to 1959,"4,851",+/-436,10.8,+/-0.9
620L800US26001,"State House District 1 (2022), Michigan",25,Built 1940 to 1949,"5,403",+/-486,12.0,+/-1.1
620L800US26001,"State House District 1 (2022), Michigan",26,Built 1939 or earlier,"25,384",+/-792,56.4,+/-1.5
620L800US26001,"State House District 1 (2022), Michigan",26.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",26.5,ROOMS,,,,
620L800US26001,"State House District 1 (2022), Michigan",27,Total housing units,"44,988","+/-1,012","44,988",(X)
620L800US26001,"State House District 1 (2022), Michigan",28,1 room,"1,237",+/-217,2.7,+/-0.5
620L800US26001,"State House District 1 (2022), Michigan",29,2 rooms,433,+/-98,1.0,+/-0.2
620L800US26001,"State House District 1 (2022), Michigan",30,3 rooms,"3,365",+/-371,7.5,+/-0.8
620L800US26001,"State House District 1 (2022), Michigan",31,4 rooms,"5,213",+/-632,11.6,+/-1.3
620L800US26001,"State House District 1 (2022), Michigan",32,5 rooms,"9,487",+/-701,21.1,+/-1.5
620L800US26001,"State House District 1 (2022), Michigan",33,6 rooms,"11,549",+/-626,25.7,+/-1.3
620L800US26001,"State House District 1 (2022), Michigan",34,7 rooms,"5,812",+/-509,12.9,+/-1.1
620L800US26001,"State House District 1 (2022), Michigan",35,8 rooms,"3,614",+/-372,8.0,+/-0.9
620L800US26001,"State House District 1 (2022), Michigan",36,9 rooms or more,"4,278",+/-403,9.5,+/-0.9
620L800US26001,"State House District 1 (2022), Michigan",37,Median rooms,5.7,+/-0.2,(X),(X)
620L800US26001,"State House District 1 (2022), Michigan",37.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",37.5,BEDROOMS,,,,
620L800US26001,"State House District 1 (2022), Michigan",38,Total housing units,"44,988","+/-1,012","44,988",(X)
620L800US26001,"State House District 1 (2022), Michigan",39,No bedroom,"1,306",+/-229,2.9,+/-0.5
620L800US26001,"State House District 1 (2022), Michigan",40,1 bedroom,"5,143",+/-573,11.4,+/-1.2
620L800US26001,"State House District 1 (2022), Michigan",41,2 bedrooms,"12,241",+/-775,27.2,+/-1.6
620L800US26001,"State House District 1 (2022), Michigan",42,3 bedrooms,"16,897",+/-857,37.6,+/-1.8
620L800US26001,"State House District 1 (2022), Michigan",43,4 bedrooms,"6,810",+/-541,15.1,+/-1.1
620L800US26001,"State House District 1 (2022), Michigan",44,5 or more bedrooms,"2,591",+/-288,5.8,+/-0.6
620L800US26001,"State House District 1 (2022), Michigan",44.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",44.5,HOUSING TENURE,,,,
620L800US26001,"State House District 1 (2022), Michigan",45,Occupied housing units,"33,262","+/-1,007","33,262",(X)
620L800US26001,"State House District 1 (2022), Michigan",46,Owner-occupied,"16,644",+/-784,50.0,+/-2.0
620L800US26001,"State House District 1 (2022), Michigan",47,Renter-occupied,"16,618",+/-897,50.0,+/-2.0
620L800US26001,"State House District 1 (2022), Michigan",47.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",48,Average household size of owner-occupied unit,3.12,+/-0.13,(X),(X)
620L800US26001,"State House District 1 (2022), Michigan",49,Average household size of renter-occupied unit,2.44,+/-0.12,(X),(X)
620L800US26001,"State House District 1 (2022), Michigan",49.3,,,,,
620L800US26001,"State House District 1 (2022), Michigan",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
620L800US26001,"State House District 1 (2022), Michigan",50,Occupied housing units,"33,262","+/-1,007","33,262",(X)
