"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US29001,"Missouri State House District 1 (2022), Missouri",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",0.5,,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",0.8,HOUSING OCCUPANCY,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",1,Total housing units,"17,646",+/-197,"17,646",(X)
620L800US29001,"Missouri State House District 1 (2022), Missouri",2,Occupied housing units,"14,827",+/-293,84.0,+/-1.4
620L800US29001,"Missouri State House District 1 (2022), Missouri",3,Vacant housing units,"2,819",+/-253,16.0,+/-1.4
620L800US29001,"Missouri State House District 1 (2022), Missouri",3.3,,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",4,Homeowner vacancy rate,1.7,+/-0.8,(X),(X)
620L800US29001,"Missouri State House District 1 (2022), Missouri",5,Rental vacancy rate,5.6,+/-1.8,(X),(X)
620L800US29001,"Missouri State House District 1 (2022), Missouri",5.3,,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",5.5,UNITS IN STRUCTURE,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",6,Total housing units,"17,646",+/-197,"17,646",(X)
620L800US29001,"Missouri State House District 1 (2022), Missouri",7,"1-unit, detached","13,257",+/-334,75.1,+/-1.7
620L800US29001,"Missouri State House District 1 (2022), Missouri",8,"1-unit, attached",246,+/-91,1.4,+/-0.5
620L800US29001,"Missouri State House District 1 (2022), Missouri",9,2 units,538,+/-175,3.0,+/-1.0
620L800US29001,"Missouri State House District 1 (2022), Missouri",10,3 or 4 units,"1,224",+/-262,6.9,+/-1.5
620L800US29001,"Missouri State House District 1 (2022), Missouri",11,5 to 9 units,587,+/-197,3.3,+/-1.1
620L800US29001,"Missouri State House District 1 (2022), Missouri",12,10 to 19 units,462,+/-183,2.6,+/-1.0
620L800US29001,"Missouri State House District 1 (2022), Missouri",13,20 or more units,279,+/-100,1.6,+/-0.6
620L800US29001,"Missouri State House District 1 (2022), Missouri",14,Mobile home,"1,046",+/-130,5.9,+/-0.7
620L800US29001,"Missouri State House District 1 (2022), Missouri",15,"Boat, RV, van, etc.",7,+/-8,0.0,+/-0.1
620L800US29001,"Missouri State House District 1 (2022), Missouri",15.3,,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",15.5,YEAR STRUCTURE BUILT,,,,
620L800US29001,"Missouri State House District 1 (2022), Missouri",16,Total housing units,"17,646",+/-197,"17,646",(X)
620L800US29001,"Missouri State House District 1 (2022), Missouri",17,Built 2020 or later,2,+/-3,0.0,+/-0.1
620L800US29001,"Missouri State House District 1 (2022), Missouri",18,Built 2010 to 2019,"1,126",+/-230,6.4,+/-1.3
620L800US29001,"Missouri State House District 1 (2022), Missouri",19,Built 2000 to 2009,"1,719",+/-218,9.7,+/-1.2
620L800US29001,"Missouri State House District 1 (2022), Missouri",20,Built 1990 to 1999,"1,564",+/-249,8.9,+/-1.4
620L800US29001,"Missouri State House District 1 (2022), Missouri",21,Built 1980 to 1989,"1,632",+/-256,9.2,+/-1.4
620L800US29001,"Missouri State House District 1 (2022), Missouri",22,Built 1970 to 1979,"2,974",+/-288,16.9,+/-1.7
620L800US29001,"Missouri State House District 1 (2022), Missouri",23,Built 1960 to 1969,"1,730",+/-181,9.8,+/-1.0
