"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US28001,"State House District 1 (2022), Mississippi",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US28001,"State House District 1 (2022), Mississippi",0.5,,,,,
620L800US28001,"State House District 1 (2022), Mississippi",0.8,HOUSING OCCUPANCY,,,,
620L800US28001,"State House District 1 (2022), Mississippi",1,Total housing units,"12,063",+/-338,"12,063",(X)
620L800US28001,"State House District 1 (2022), Mississippi",2,Occupied housing units,"9,408",+/-434,78.0,+/-2.6
620L800US28001,"State House District 1 (2022), Mississippi",3,Vacant housing units,"2,655",+/-319,22.0,+/-2.6
620L800US28001,"State House District 1 (2022), Mississippi",3.3,,,,,
620L800US28001,"State House District 1 (2022), Mississippi",4,Homeowner vacancy rate,2.5,+/-1.7,(X),(X)
620L800US28001,"State House District 1 (2022), Mississippi",5,Rental vacancy rate,8.2,+/-4.7,(X),(X)
620L800US28001,"State House District 1 (2022), Mississippi",5.3,,,,,
620L800US28001,"State House District 1 (2022), Mississippi",5.5,UNITS IN STRUCTURE,,,,
620L800US28001,"State House District 1 (2022), Mississippi",6,Total housing units,"12,063",+/-338,"12,063",(X)
620L800US28001,"State House District 1 (2022), Mississippi",7,"1-unit, detached","9,056",+/-438,75.1,+/-2.8
620L800US28001,"State House District 1 (2022), Mississippi",8,"1-unit, attached",148,+/-101,1.2,+/-0.8
620L800US28001,"State House District 1 (2022), Mississippi",9,2 units,338,+/-144,2.8,+/-1.2
620L800US28001,"State House District 1 (2022), Mississippi",10,3 or 4 units,213,+/-90,1.8,+/-0.7
620L800US28001,"State House District 1 (2022), Mississippi",11,5 to 9 units,107,+/-63,0.9,+/-0.5
620L800US28001,"State House District 1 (2022), Mississippi",12,10 to 19 units,10,+/-13,0.1,+/-0.1
620L800US28001,"State House District 1 (2022), Mississippi",13,20 or more units,271,+/-108,2.2,+/-0.9
620L800US28001,"State House District 1 (2022), Mississippi",14,Mobile home,"1,890",+/-299,15.7,+/-2.5
620L800US28001,"State House District 1 (2022), Mississippi",15,"Boat, RV, van, etc.",30,+/-32,0.2,+/-0.3
620L800US28001,"State House District 1 (2022), Mississippi",15.3,,,,,
620L800US28001,"State House District 1 (2022), Mississippi",15.5,YEAR STRUCTURE BUILT,,,,
620L800US28001,"State House District 1 (2022), Mississippi",16,Total housing units,"12,063",+/-338,"12,063",(X)
620L800US28001,"State House District 1 (2022), Mississippi",17,Built 2020 or later,24,+/-31,0.2,+/-0.3
620L800US28001,"State House District 1 (2022), Mississippi",18,Built 2010 to 2019,608,+/-197,5.0,+/-1.6
620L800US28001,"State House District 1 (2022), Mississippi",19,Built 2000 to 2009,"1,750",+/-281,14.5,+/-2.3
620L800US28001,"State House District 1 (2022), Mississippi",20,Built 1990 to 1999,"2,095",+/-357,17.4,+/-2.9
620L800US28001,"State House District 1 (2022), Mississippi",21,Built 1980 to 1989,"1,817",+/-259,15.1,+/-2.1
620L800US28001,"State House District 1 (2022), Mississippi",22,Built 1970 to 1979,"2,247",+/-244,18.6,+/-2.1
620L800US28001,"State House District 1 (2022), Mississippi",23,Built 1960 to 1969,"1,633",+/-258,13.5,+/-2.0
620L800US28001,"State House District 1 (2022), Mississippi",24,Built 1950 to 1959,841,+/-218,7.0,+/-1.8
620L800US28001,"State House District 1 (2022), Mississippi",25,Built 1940 to 1949,601,+/-210,5.0,+/-1.7
620L800US28001,"State House District 1 (2022), Mississippi",26,Built 1939 or earlier,447,+/-151,3.7,+/-1.3
620L800US28001,"State House District 1 (2022), Mississippi",26.3,,,,,
620L800US28001,"State House District 1 (2022), Mississippi",26.5,ROOMS,,,,
620L800US28001,"State House District 1 (2022), Mississippi",27,Total housing units,"12,063",+/-338,"12,063",(X)
620L800US28001,"State House District 1 (2022), Mississippi",28,1 room,98,+/-58,0.8,+/-0.5
620L800US28001,"State House District 1 (2022), Mississippi",29,2 rooms,181,+/-101,1.5,+/-0.8
620L800US28001,"State House District 1 (2022), Mississippi",30,3 rooms,617,+/-184,5.1,+/-1.5
620L800US28001,"State House District 1 (2022), Mississippi",31,4 rooms,"1,699",+/-276,14.1,+/-2.3
620L800US28001,"State House District 1 (2022), Mississippi",32,5 rooms,"2,779",+/-368,23.0,+/-3.0
620L800US28001,"State House District 1 (2022), Mississippi",33,6 rooms,"2,274",+/-345,18.9,+/-2.8
620L800US28001,"State House District 1 (2022), Mississippi",34,7 rooms,"1,773",+/-259,14.7,+/-2.1
620L800US28001,"State House District 1 (2022), Mississippi",35,8 rooms,"1,232",+/-284,10.2,+/-2.3
620L800US28001,"State House District 1 (2022), Mississippi",36,9 rooms or more,"1,410",+/-235,11.7,+/-1.9
