"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US37001,"State House District 1 (2022), North Carolina",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US37001,"State House District 1 (2022), North Carolina",0.5,,,,,
620L800US37001,"State House District 1 (2022), North Carolina",0.8,HOUSING OCCUPANCY,,,,
620L800US37001,"State House District 1 (2022), North Carolina",1,Total housing units,"53,609",+/-520,"53,609",(X)
620L800US37001,"State House District 1 (2022), North Carolina",2,Occupied housing units,"35,604",+/-759,66.4,+/-1.4
620L800US37001,"State House District 1 (2022), North Carolina",3,Vacant housing units,"18,005",+/-795,33.6,+/-1.4
620L800US37001,"State House District 1 (2022), North Carolina",3.3,,,,,
620L800US37001,"State House District 1 (2022), North Carolina",4,Homeowner vacancy rate,1.6,+/-0.7,(X),(X)
620L800US37001,"State House District 1 (2022), North Carolina",5,Rental vacancy rate,32.8,+/-2.9,(X),(X)
620L800US37001,"State House District 1 (2022), North Carolina",5.3,,,,,
620L800US37001,"State House District 1 (2022), North Carolina",5.5,UNITS IN STRUCTURE,,,,
620L800US37001,"State House District 1 (2022), North Carolina",6,Total housing units,"53,609",+/-520,"53,609",(X)
620L800US37001,"State House District 1 (2022), North Carolina",7,"1-unit, detached","41,165",+/-788,76.8,+/-1.4
620L800US37001,"State House District 1 (2022), North Carolina",8,"1-unit, attached",282,+/-99,0.5,+/-0.2
620L800US37001,"State House District 1 (2022), North Carolina",9,2 units,"1,148",+/-308,2.1,+/-0.6
620L800US37001,"State House District 1 (2022), North Carolina",10,3 or 4 units,"1,055",+/-268,2.0,+/-0.5
620L800US37001,"State House District 1 (2022), North Carolina",11,5 to 9 units,"1,656",+/-356,3.1,+/-0.7
620L800US37001,"State House District 1 (2022), North Carolina",12,10 to 19 units,546,+/-224,1.0,+/-0.4
620L800US37001,"State House District 1 (2022), North Carolina",13,20 or more units,727,+/-273,1.4,+/-0.5
620L800US37001,"State House District 1 (2022), North Carolina",14,Mobile home,"6,911",+/-607,12.9,+/-1.1
620L800US37001,"State House District 1 (2022), North Carolina",15,"Boat, RV, van, etc.",119,+/-85,0.2,+/-0.2
620L800US37001,"State House District 1 (2022), North Carolina",15.3,,,,,
620L800US37001,"State House District 1 (2022), North Carolina",15.5,YEAR STRUCTURE BUILT,,,,
620L800US37001,"State House District 1 (2022), North Carolina",16,Total housing units,"53,609",+/-520,"53,609",(X)
620L800US37001,"State House District 1 (2022), North Carolina",17,Built 2020 or later,31,+/-48,0.1,+/-0.1
620L800US37001,"State House District 1 (2022), North Carolina",18,Built 2010 to 2019,"3,852",+/-402,7.2,+/-0.7
620L800US37001,"State House District 1 (2022), North Carolina",19,Built 2000 to 2009,"9,954",+/-604,18.6,+/-1.1
620L800US37001,"State House District 1 (2022), North Carolina",20,Built 1990 to 1999,"10,337",+/-755,19.3,+/-1.4
620L800US37001,"State House District 1 (2022), North Carolina",21,Built 1980 to 1989,"12,265",+/-824,22.9,+/-1.5
620L800US37001,"State House District 1 (2022), North Carolina",22,Built 1970 to 1979,"7,288",+/-646,13.6,+/-1.2
620L800US37001,"State House District 1 (2022), North Carolina",23,Built 1960 to 1969,"3,080",+/-401,5.7,+/-0.8
620L800US37001,"State House District 1 (2022), North Carolina",24,Built 1950 to 1959,"2,283",+/-385,4.3,+/-0.7
620L800US37001,"State House District 1 (2022), North Carolina",25,Built 1940 to 1949,"1,571",+/-320,2.9,+/-0.6
620L800US37001,"State House District 1 (2022), North Carolina",26,Built 1939 or earlier,"2,948",+/-399,5.5,+/-0.7
620L800US37001,"State House District 1 (2022), North Carolina",26.3,,,,,
620L800US37001,"State House District 1 (2022), North Carolina",26.5,ROOMS,,,,
620L800US37001,"State House District 1 (2022), North Carolina",27,Total housing units,"53,609",+/-520,"53,609",(X)
620L800US37001,"State House District 1 (2022), North Carolina",28,1 room,574,+/-208,1.1,+/-0.4
620L800US37001,"State House District 1 (2022), North Carolina",29,2 rooms,608,+/-196,1.1,+/-0.4
620L800US37001,"State House District 1 (2022), North Carolina",30,3 rooms,"3,622",+/-434,6.8,+/-0.8
620L800US37001,"State House District 1 (2022), North Carolina",31,4 rooms,"7,786",+/-728,14.5,+/-1.4
620L800US37001,"State House District 1 (2022), North Carolina",32,5 rooms,"10,666",+/-762,19.9,+/-1.4
620L800US37001,"State House District 1 (2022), North Carolina",33,6 rooms,"9,960",+/-718,18.6,+/-1.3
620L800US37001,"State House District 1 (2022), North Carolina",34,7 rooms,"8,137",+/-642,15.2,+/-1.2
620L800US37001,"State House District 1 (2022), North Carolina",35,8 rooms,"4,894",+/-461,9.1,+/-0.9
