"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",0.5,,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",0.8,HOUSING OCCUPANCY,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",1,Total housing units,"1,814",+/-174,"1,814",(X)
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",2,Occupied housing units,"1,325",+/-152,73.0,+/-3.7
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",3,Vacant housing units,489,+/-77,27.0,+/-3.7
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",3.3,,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",4,Homeowner vacancy rate,0.0,+/-2.8,(X),(X)
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",5,Rental vacancy rate,5.1,+/-7.0,(X),(X)
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",5.3,,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",5.5,UNITS IN STRUCTURE,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",6,Total housing units,"1,814",+/-174,"1,814",(X)
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",7,"1-unit, detached","1,639",+/-153,90.4,+/-3.1
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",8,"1-unit, attached",26,+/-19,1.4,+/-1.0
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",9,2 units,39,+/-31,2.1,+/-1.7
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",10,3 or 4 units,3,+/-5,0.2,+/-0.3
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",11,5 to 9 units,7,+/-12,0.4,+/-0.7
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",12,10 to 19 units,0,+/-12,0.0,+/-1.8
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",13,20 or more units,0,+/-12,0.0,+/-1.8
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",14,Mobile home,100,+/-45,5.5,+/-2.3
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",15,"Boat, RV, van, etc.",0,+/-12,0.0,+/-1.8
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",15.3,,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",15.5,YEAR STRUCTURE BUILT,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",16,Total housing units,"1,814",+/-174,"1,814",(X)
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",17,Built 2020 or later,0,+/-12,0.0,+/-1.8
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",18,Built 2010 to 2019,98,+/-58,5.4,+/-3.1
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",19,Built 2000 to 2009,282,+/-85,15.5,+/-4.5
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",20,Built 1990 to 1999,283,+/-79,15.6,+/-4.5
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",21,Built 1980 to 1989,342,+/-92,18.9,+/-4.4
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",22,Built 1970 to 1979,196,+/-61,10.8,+/-3.1
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",23,Built 1960 to 1969,154,+/-58,8.5,+/-3.0
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",24,Built 1950 to 1959,106,+/-43,5.8,+/-2.4
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",25,Built 1940 to 1949,65,+/-45,3.6,+/-2.5
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",26,Built 1939 or earlier,288,+/-72,15.9,+/-3.5
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",26.3,,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",26.5,ROOMS,,,,
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",27,Total housing units,"1,814",+/-174,"1,814",(X)
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",28,1 room,25,+/-26,1.4,+/-1.4
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",29,2 rooms,44,+/-34,2.4,+/-1.8
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",30,3 rooms,137,+/-72,7.6,+/-3.7
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",31,4 rooms,293,+/-93,16.2,+/-4.9
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",32,5 rooms,283,+/-74,15.6,+/-3.8
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",33,6 rooms,364,+/-94,20.1,+/-4.9
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",34,7 rooms,262,+/-85,14.4,+/-4.5
620L800US33001,"State House District Belknap 01 (2022), New Hampshire",35,8 rooms,162,+/-59,8.9,+/-3.2
