"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US35001,"State House District 001 (2022), New Mexico",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US35001,"State House District 001 (2022), New Mexico",0.5,,,,,
620L800US35001,"State House District 001 (2022), New Mexico",0.8,HOUSING OCCUPANCY,,,,
620L800US35001,"State House District 001 (2022), New Mexico",1,Total housing units,"11,073",+/-624,"11,073",(X)
620L800US35001,"State House District 001 (2022), New Mexico",2,Occupied housing units,"9,941",+/-635,89.8,+/-2.6
620L800US35001,"State House District 001 (2022), New Mexico",3,Vacant housing units,"1,132",+/-294,10.2,+/-2.6
620L800US35001,"State House District 001 (2022), New Mexico",3.3,,,,,
620L800US35001,"State House District 001 (2022), New Mexico",4,Homeowner vacancy rate,1.5,+/-1.2,(X),(X)
620L800US35001,"State House District 001 (2022), New Mexico",5,Rental vacancy rate,15.4,+/-7.0,(X),(X)
620L800US35001,"State House District 001 (2022), New Mexico",5.3,,,,,
620L800US35001,"State House District 001 (2022), New Mexico",5.5,UNITS IN STRUCTURE,,,,
620L800US35001,"State House District 001 (2022), New Mexico",6,Total housing units,"11,073",+/-624,"11,073",(X)
620L800US35001,"State House District 001 (2022), New Mexico",7,"1-unit, detached","7,325",+/-516,66.2,+/-4.6
620L800US35001,"State House District 001 (2022), New Mexico",8,"1-unit, attached",488,+/-340,4.4,+/-3.0
620L800US35001,"State House District 001 (2022), New Mexico",9,2 units,149,+/-171,1.3,+/-1.5
620L800US35001,"State House District 001 (2022), New Mexico",10,3 or 4 units,593,+/-228,5.4,+/-2.0
620L800US35001,"State House District 001 (2022), New Mexico",11,5 to 9 units,318,+/-209,2.9,+/-1.8
620L800US35001,"State House District 001 (2022), New Mexico",12,10 to 19 units,19,+/-14,0.2,+/-0.1
620L800US35001,"State House District 001 (2022), New Mexico",13,20 or more units,78,+/-56,0.7,+/-0.5
620L800US35001,"State House District 001 (2022), New Mexico",14,Mobile home,"2,005",+/-354,18.1,+/-2.9
620L800US35001,"State House District 001 (2022), New Mexico",15,"Boat, RV, van, etc.",98,+/-91,0.9,+/-0.8
620L800US35001,"State House District 001 (2022), New Mexico",15.3,,,,,
620L800US35001,"State House District 001 (2022), New Mexico",15.5,YEAR STRUCTURE BUILT,,,,
620L800US35001,"State House District 001 (2022), New Mexico",16,Total housing units,"11,073",+/-624,"11,073",(X)
620L800US35001,"State House District 001 (2022), New Mexico",17,Built 2020 or later,0,+/-25,0.0,+/-0.4
620L800US35001,"State House District 001 (2022), New Mexico",18,Built 2010 to 2019,488,+/-123,4.4,+/-1.1
