"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US32001,"State Assembly District 1 (2022), Nevada",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",0.5,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",0.8,HOUSING OCCUPANCY,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",1,Total housing units,"24,562",+/-695,"24,562",(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",2,Occupied housing units,"23,518",+/-688,95.7,+/-1.0
620L800US32001,"State Assembly District 1 (2022), Nevada",3,Vacant housing units,"1,044",+/-255,4.3,+/-1.0
620L800US32001,"State Assembly District 1 (2022), Nevada",3.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",4,Homeowner vacancy rate,0.2,+/-0.3,(X),(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",5,Rental vacancy rate,1.9,+/-1.5,(X),(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",5.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",5.5,UNITS IN STRUCTURE,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",6,Total housing units,"24,562",+/-695,"24,562",(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",7,"1-unit, detached","23,113",+/-707,94.1,+/-0.8
620L800US32001,"State Assembly District 1 (2022), Nevada",8,"1-unit, attached",568,+/-153,2.3,+/-0.6
620L800US32001,"State Assembly District 1 (2022), Nevada",9,2 units,50,+/-47,0.2,+/-0.2
620L800US32001,"State Assembly District 1 (2022), Nevada",10,3 or 4 units,191,+/-95,0.8,+/-0.4
620L800US32001,"State Assembly District 1 (2022), Nevada",11,5 to 9 units,171,+/-117,0.7,+/-0.5
620L800US32001,"State Assembly District 1 (2022), Nevada",12,10 to 19 units,168,+/-92,0.7,+/-0.4
620L800US32001,"State Assembly District 1 (2022), Nevada",13,20 or more units,106,+/-54,0.4,+/-0.2
620L800US32001,"State Assembly District 1 (2022), Nevada",14,Mobile home,195,+/-109,0.8,+/-0.4
620L800US32001,"State Assembly District 1 (2022), Nevada",15,"Boat, RV, van, etc.",0,+/-31,0.0,+/-0.2
620L800US32001,"State Assembly District 1 (2022), Nevada",15.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",15.5,YEAR STRUCTURE BUILT,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",16,Total housing units,"24,562",+/-695,"24,562",(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",17,Built 2020 or later,204,+/-131,0.8,+/-0.5
620L800US32001,"State Assembly District 1 (2022), Nevada",18,Built 2010 to 2019,"2,711",+/-434,11.0,+/-1.7
620L800US32001,"State Assembly District 1 (2022), Nevada",19,Built 2000 to 2009,"14,158",+/-652,57.6,+/-2.4
620L800US32001,"State Assembly District 1 (2022), Nevada",20,Built 1990 to 1999,"6,272",+/-502,25.5,+/-1.8
620L800US32001,"State Assembly District 1 (2022), Nevada",21,Built 1980 to 1989,740,+/-220,3.0,+/-0.9
620L800US32001,"State Assembly District 1 (2022), Nevada",22,Built 1970 to 1979,223,+/-119,0.9,+/-0.5
620L800US32001,"State Assembly District 1 (2022), Nevada",23,Built 1960 to 1969,99,+/-77,0.4,+/-0.3
620L800US32001,"State Assembly District 1 (2022), Nevada",24,Built 1950 to 1959,61,+/-46,0.2,+/-0.2
620L800US32001,"State Assembly District 1 (2022), Nevada",25,Built 1940 to 1949,0,+/-31,0.0,+/-0.2
620L800US32001,"State Assembly District 1 (2022), Nevada",26,Built 1939 or earlier,94,+/-97,0.4,+/-0.4
620L800US32001,"State Assembly District 1 (2022), Nevada",26.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",26.5,ROOMS,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",27,Total housing units,"24,562",+/-695,"24,562",(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",28,1 room,57,+/-61,0.2,+/-0.2
620L800US32001,"State Assembly District 1 (2022), Nevada",29,2 rooms,42,+/-46,0.2,+/-0.2
620L800US32001,"State Assembly District 1 (2022), Nevada",30,3 rooms,483,+/-165,2.0,+/-0.7
620L800US32001,"State Assembly District 1 (2022), Nevada",31,4 rooms,"2,416",+/-331,9.8,+/-1.3
620L800US32001,"State Assembly District 1 (2022), Nevada",32,5 rooms,"4,678",+/-483,19.0,+/-2.0
620L800US32001,"State Assembly District 1 (2022), Nevada",33,6 rooms,"5,514",+/-555,22.4,+/-2.2
620L800US32001,"State Assembly District 1 (2022), Nevada",34,7 rooms,"3,836",+/-402,15.6,+/-1.5
620L800US32001,"State Assembly District 1 (2022), Nevada",35,8 rooms,"2,941",+/-400,12.0,+/-1.6
620L800US32001,"State Assembly District 1 (2022), Nevada",36,9 rooms or more,"4,595",+/-514,18.7,+/-2.0
620L800US32001,"State Assembly District 1 (2022), Nevada",37,Median rooms,6.3,+/-0.2,(X),(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",37.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",37.5,BEDROOMS,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",38,Total housing units,"24,562",+/-695,"24,562",(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",39,No bedroom,95,+/-72,0.4,+/-0.3
620L800US32001,"State Assembly District 1 (2022), Nevada",40,1 bedroom,130,+/-98,0.5,+/-0.4
620L800US32001,"State Assembly District 1 (2022), Nevada",41,2 bedrooms,"2,656",+/-360,10.8,+/-1.4
620L800US32001,"State Assembly District 1 (2022), Nevada",42,3 bedrooms,"10,694",+/-705,43.5,+/-2.5
620L800US32001,"State Assembly District 1 (2022), Nevada",43,4 bedrooms,"8,311",+/-667,33.8,+/-2.5
620L800US32001,"State Assembly District 1 (2022), Nevada",44,5 or more bedrooms,"2,676",+/-408,10.9,+/-1.7
620L800US32001,"State Assembly District 1 (2022), Nevada",44.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",44.5,HOUSING TENURE,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",45,Occupied housing units,"23,518",+/-688,"23,518",(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",46,Owner-occupied,"17,592",+/-718,74.8,+/-2.1
620L800US32001,"State Assembly District 1 (2022), Nevada",47,Renter-occupied,"5,926",+/-509,25.2,+/-2.1
620L800US32001,"State Assembly District 1 (2022), Nevada",47.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",48,Average household size of owner-occupied unit,3.14,+/-0.10,(X),(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",49,Average household size of renter-occupied unit,3.23,+/-0.28,(X),(X)
620L800US32001,"State Assembly District 1 (2022), Nevada",49.3,,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
620L800US32001,"State Assembly District 1 (2022), Nevada",50,Occupied housing units,"23,518",+/-688,"23,518",(X)
