"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US36001,"Assembly District 1 (2022), New York",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US36001,"Assembly District 1 (2022), New York",0.5,,,,,
620L800US36001,"Assembly District 1 (2022), New York",0.8,HOUSING OCCUPANCY,,,,
620L800US36001,"Assembly District 1 (2022), New York",1,Total housing units,"89,972",+/-759,"89,972",(X)
620L800US36001,"Assembly District 1 (2022), New York",2,Occupied housing units,"50,641",+/-992,56.3,+/-0.8
620L800US36001,"Assembly District 1 (2022), New York",3,Vacant housing units,"39,331",+/-634,43.7,+/-0.8
620L800US36001,"Assembly District 1 (2022), New York",3.3,,,,,
620L800US36001,"Assembly District 1 (2022), New York",4,Homeowner vacancy rate,1.7,+/-0.5,(X),(X)
620L800US36001,"Assembly District 1 (2022), New York",5,Rental vacancy rate,3.4,+/-1.3,(X),(X)
620L800US36001,"Assembly District 1 (2022), New York",5.3,,,,,
620L800US36001,"Assembly District 1 (2022), New York",5.5,UNITS IN STRUCTURE,,,,
620L800US36001,"Assembly District 1 (2022), New York",6,Total housing units,"89,972",+/-759,"89,972",(X)
620L800US36001,"Assembly District 1 (2022), New York",7,"1-unit, detached","80,446",+/-904,89.4,+/-0.9
620L800US36001,"Assembly District 1 (2022), New York",8,"1-unit, attached","1,538",+/-374,1.7,+/-0.4
620L800US36001,"Assembly District 1 (2022), New York",9,2 units,"1,938",+/-365,2.2,+/-0.4
620L800US36001,"Assembly District 1 (2022), New York",10,3 or 4 units,"1,247",+/-390,1.4,+/-0.4
620L800US36001,"Assembly District 1 (2022), New York",11,5 to 9 units,"1,050",+/-239,1.2,+/-0.3
620L800US36001,"Assembly District 1 (2022), New York",12,10 to 19 units,"1,085",+/-217,1.2,+/-0.2
620L800US36001,"Assembly District 1 (2022), New York",13,20 or more units,"1,591",+/-272,1.8,+/-0.3
620L800US36001,"Assembly District 1 (2022), New York",14,Mobile home,"1,077",+/-304,1.2,+/-0.3
620L800US36001,"Assembly District 1 (2022), New York",15,"Boat, RV, van, etc.",0,+/-30,0.0,+/-0.1
620L800US36001,"Assembly District 1 (2022), New York",15.3,,,,,
620L800US36001,"Assembly District 1 (2022), New York",15.5,YEAR STRUCTURE BUILT,,,,
620L800US36001,"Assembly District 1 (2022), New York",16,Total housing units,"89,972",+/-759,"89,972",(X)
620L800US36001,"Assembly District 1 (2022), New York",17,Built 2020 or later,109,+/-94,0.1,+/-0.1
620L800US36001,"Assembly District 1 (2022), New York",18,Built 2010 to 2019,"4,178",+/-496,4.6,+/-0.6
620L800US36001,"Assembly District 1 (2022), New York",19,Built 2000 to 2009,"9,757",+/-773,10.8,+/-0.8
620L800US36001,"Assembly District 1 (2022), New York",20,Built 1990 to 1999,"12,368",+/-872,13.7,+/-1.0
620L800US36001,"Assembly District 1 (2022), New York",21,Built 1980 to 1989,"13,213",+/-881,14.7,+/-1.0
620L800US36001,"Assembly District 1 (2022), New York",22,Built 1970 to 1979,"14,954","+/-1,087",16.6,+/-1.2
620L800US36001,"Assembly District 1 (2022), New York",23,Built 1960 to 1969,"10,151",+/-797,11.3,+/-0.9
620L800US36001,"Assembly District 1 (2022), New York",24,Built 1950 to 1959,"8,648",+/-713,9.6,+/-0.8
620L800US36001,"Assembly District 1 (2022), New York",25,Built 1940 to 1949,"3,530",+/-511,3.9,+/-0.6
620L800US36001,"Assembly District 1 (2022), New York",26,Built 1939 or earlier,"13,064",+/-795,14.5,+/-0.9
620L800US36001,"Assembly District 1 (2022), New York",26.3,,,,,
620L800US36001,"Assembly District 1 (2022), New York",26.5,ROOMS,,,,
620L800US36001,"Assembly District 1 (2022), New York",27,Total housing units,"89,972",+/-759,"89,972",(X)
620L800US36001,"Assembly District 1 (2022), New York",28,1 room,"1,319",+/-273,1.5,+/-0.3
620L800US36001,"Assembly District 1 (2022), New York",29,2 rooms,"1,360",+/-314,1.5,+/-0.3
620L800US36001,"Assembly District 1 (2022), New York",30,3 rooms,"4,366",+/-484,4.9,+/-0.5
620L800US36001,"Assembly District 1 (2022), New York",31,4 rooms,"8,680",+/-823,9.6,+/-0.9
620L800US36001,"Assembly District 1 (2022), New York",32,5 rooms,"15,315",+/-965,17.0,+/-1.1
620L800US36001,"Assembly District 1 (2022), New York",33,6 rooms,"17,652","+/-1,122",19.6,+/-1.2
620L800US36001,"Assembly District 1 (2022), New York",34,7 rooms,"14,776",+/-754,16.4,+/-0.9
620L800US36001,"Assembly District 1 (2022), New York",35,8 rooms,"11,226",+/-831,12.5,+/-0.9
620L800US36001,"Assembly District 1 (2022), New York",36,9 rooms or more,"15,278",+/-858,17.0,+/-1.0
620L800US36001,"Assembly District 1 (2022), New York",37,Median rooms,6.3,+/-0.1,(X),(X)
620L800US36001,"Assembly District 1 (2022), New York",37.3,,,,,
620L800US36001,"Assembly District 1 (2022), New York",37.5,BEDROOMS,,,,
620L800US36001,"Assembly District 1 (2022), New York",38,Total housing units,"89,972",+/-759,"89,972",(X)
620L800US36001,"Assembly District 1 (2022), New York",39,No bedroom,"1,337",+/-279,1.5,+/-0.3
620L800US36001,"Assembly District 1 (2022), New York",40,1 bedroom,"4,722",+/-438,5.2,+/-0.5
620L800US36001,"Assembly District 1 (2022), New York",41,2 bedrooms,"15,435",+/-975,17.2,+/-1.1
620L800US36001,"Assembly District 1 (2022), New York",42,3 bedrooms,"35,683","+/-1,256",39.7,+/-1.3
620L800US36001,"Assembly District 1 (2022), New York",43,4 bedrooms,"22,502","+/-1,013",25.0,+/-1.1
