"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US42001,"House District 1 (2022), Pennsylvania",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",0.5,,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",0.8,HOUSING OCCUPANCY,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",1,Total housing units,"30,552",+/-681,"30,552",(X)
620L800US42001,"House District 1 (2022), Pennsylvania",2,Occupied housing units,"26,973",+/-623,88.3,+/-1.3
620L800US42001,"House District 1 (2022), Pennsylvania",3,Vacant housing units,"3,579",+/-430,11.7,+/-1.3
620L800US42001,"House District 1 (2022), Pennsylvania",3.3,,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",4,Homeowner vacancy rate,1.9,+/-0.9,(X),(X)
620L800US42001,"House District 1 (2022), Pennsylvania",5,Rental vacancy rate,8.5,+/-1.9,(X),(X)
620L800US42001,"House District 1 (2022), Pennsylvania",5.3,,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",5.5,UNITS IN STRUCTURE,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",6,Total housing units,"30,552",+/-681,"30,552",(X)
620L800US42001,"House District 1 (2022), Pennsylvania",7,"1-unit, detached","15,345",+/-722,50.2,+/-2.1
620L800US42001,"House District 1 (2022), Pennsylvania",8,"1-unit, attached","1,889",+/-336,6.2,+/-1.1
620L800US42001,"House District 1 (2022), Pennsylvania",9,2 units,"5,069",+/-597,16.6,+/-1.9
620L800US42001,"House District 1 (2022), Pennsylvania",10,3 or 4 units,"3,093",+/-450,10.1,+/-1.4
620L800US42001,"House District 1 (2022), Pennsylvania",11,5 to 9 units,"1,864",+/-334,6.1,+/-1.1
620L800US42001,"House District 1 (2022), Pennsylvania",12,10 to 19 units,617,+/-234,2.0,+/-0.8
620L800US42001,"House District 1 (2022), Pennsylvania",13,20 or more units,"2,362",+/-301,7.7,+/-1.0
620L800US42001,"House District 1 (2022), Pennsylvania",14,Mobile home,306,+/-135,1.0,+/-0.4
620L800US42001,"House District 1 (2022), Pennsylvania",15,"Boat, RV, van, etc.",7,+/-10,0.0,+/-0.1
620L800US42001,"House District 1 (2022), Pennsylvania",15.3,,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",15.5,YEAR STRUCTURE BUILT,,,,
620L800US42001,"House District 1 (2022), Pennsylvania",16,Total housing units,"30,552",+/-681,"30,552",(X)
620L800US42001,"House District 1 (2022), Pennsylvania",17,Built 2020 or later,0,+/-27,0.0,+/-0.1
620L800US42001,"House District 1 (2022), Pennsylvania",18,Built 2010 to 2019,238,+/-112,0.8,+/-0.4
620L800US42001,"House District 1 (2022), Pennsylvania",19,Built 2000 to 2009,634,+/-214,2.1,+/-0.7
620L800US42001,"House District 1 (2022), Pennsylvania",20,Built 1990 to 1999,997,+/-285,3.3,+/-0.9
620L800US42001,"House District 1 (2022), Pennsylvania",21,Built 1980 to 1989,"1,318",+/-254,4.3,+/-0.8
620L800US42001,"House District 1 (2022), Pennsylvania",22,Built 1970 to 1979,"2,958",+/-361,9.7,+/-1.1
620L800US42001,"House District 1 (2022), Pennsylvania",23,Built 1960 to 1969,"2,423",+/-316,7.9,+/-1.0
620L800US42001,"House District 1 (2022), Pennsylvania",24,Built 1950 to 1959,"4,901",+/-443,16.0,+/-1.5
620L800US42001,"House District 1 (2022), Pennsylvania",25,Built 1940 to 1949,"3,137",+/-415,10.3,+/-1.3
620L800US42001,"House District 1 (2022), Pennsylvania",26,Built 1939 or earlier,"13,946",+/-699,45.6,+/-2.1
