"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US47001,"State House District 1 (2022), Tennessee",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US47001,"State House District 1 (2022), Tennessee",0.5,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",0.8,HOUSING OCCUPANCY,,,,
620L800US47001,"State House District 1 (2022), Tennessee",1,Total housing units,"32,684",+/-733,"32,684",(X)
620L800US47001,"State House District 1 (2022), Tennessee",2,Occupied housing units,"28,823",+/-743,88.2,+/-1.5
620L800US47001,"State House District 1 (2022), Tennessee",3,Vacant housing units,"3,861",+/-506,11.8,+/-1.5
620L800US47001,"State House District 1 (2022), Tennessee",3.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",4,Homeowner vacancy rate,1.8,+/-1.0,(X),(X)
620L800US47001,"State House District 1 (2022), Tennessee",5,Rental vacancy rate,3.6,+/-1.6,(X),(X)
620L800US47001,"State House District 1 (2022), Tennessee",5.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",5.5,UNITS IN STRUCTURE,,,,
620L800US47001,"State House District 1 (2022), Tennessee",6,Total housing units,"32,684",+/-733,"32,684",(X)
620L800US47001,"State House District 1 (2022), Tennessee",7,"1-unit, detached","21,437",+/-765,65.6,+/-2.0
620L800US47001,"State House District 1 (2022), Tennessee",8,"1-unit, attached",835,+/-172,2.6,+/-0.5
620L800US47001,"State House District 1 (2022), Tennessee",9,2 units,"1,444",+/-389,4.4,+/-1.2
620L800US47001,"State House District 1 (2022), Tennessee",10,3 or 4 units,"1,387",+/-385,4.2,+/-1.2
620L800US47001,"State House District 1 (2022), Tennessee",11,5 to 9 units,"1,506",+/-265,4.6,+/-0.8
620L800US47001,"State House District 1 (2022), Tennessee",12,10 to 19 units,"1,354",+/-284,4.1,+/-0.9
620L800US47001,"State House District 1 (2022), Tennessee",13,20 or more units,847,+/-207,2.6,+/-0.6
620L800US47001,"State House District 1 (2022), Tennessee",14,Mobile home,"3,867",+/-468,11.8,+/-1.3
620L800US47001,"State House District 1 (2022), Tennessee",15,"Boat, RV, van, etc.",7,+/-11,0.0,+/-0.1
620L800US47001,"State House District 1 (2022), Tennessee",15.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",15.5,YEAR STRUCTURE BUILT,,,,
620L800US47001,"State House District 1 (2022), Tennessee",16,Total housing units,"32,684",+/-733,"32,684",(X)
620L800US47001,"State House District 1 (2022), Tennessee",17,Built 2020 or later,0,+/-31,0.0,+/-0.1
620L800US47001,"State House District 1 (2022), Tennessee",18,Built 2010 to 2019,"1,041",+/-208,3.2,+/-0.6
620L800US47001,"State House District 1 (2022), Tennessee",19,Built 2000 to 2009,"3,247",+/-453,9.9,+/-1.3
620L800US47001,"State House District 1 (2022), Tennessee",20,Built 1990 to 1999,"4,465",+/-491,13.7,+/-1.5
620L800US47001,"State House District 1 (2022), Tennessee",21,Built 1980 to 1989,"3,577",+/-391,10.9,+/-1.2
620L800US47001,"State House District 1 (2022), Tennessee",22,Built 1970 to 1979,"5,485",+/-506,16.8,+/-1.6
620L800US47001,"State House District 1 (2022), Tennessee",23,Built 1960 to 1969,"4,412",+/-451,13.5,+/-1.4
620L800US47001,"State House District 1 (2022), Tennessee",24,Built 1950 to 1959,"5,115",+/-460,15.6,+/-1.3
620L800US47001,"State House District 1 (2022), Tennessee",25,Built 1940 to 1949,"2,979",+/-406,9.1,+/-1.2
620L800US47001,"State House District 1 (2022), Tennessee",26,Built 1939 or earlier,"2,363",+/-328,7.2,+/-1.0
620L800US47001,"State House District 1 (2022), Tennessee",26.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",26.5,ROOMS,,,,
620L800US47001,"State House District 1 (2022), Tennessee",27,Total housing units,"32,684",+/-733,"32,684",(X)
620L800US47001,"State House District 1 (2022), Tennessee",28,1 room,414,+/-184,1.3,+/-0.6
620L800US47001,"State House District 1 (2022), Tennessee",29,2 rooms,538,+/-187,1.6,+/-0.6
620L800US47001,"State House District 1 (2022), Tennessee",30,3 rooms,"2,276",+/-399,7.0,+/-1.2
620L800US47001,"State House District 1 (2022), Tennessee",31,4 rooms,"5,847",+/-595,17.9,+/-1.7
620L800US47001,"State House District 1 (2022), Tennessee",32,5 rooms,"7,041",+/-471,21.5,+/-1.5
620L800US47001,"State House District 1 (2022), Tennessee",33,6 rooms,"5,944",+/-529,18.2,+/-1.6
620L800US47001,"State House District 1 (2022), Tennessee",34,7 rooms,"4,121",+/-479,12.6,+/-1.4
620L800US47001,"State House District 1 (2022), Tennessee",35,8 rooms,"2,826",+/-367,8.6,+/-1.1
620L800US47001,"State House District 1 (2022), Tennessee",36,9 rooms or more,"3,677",+/-433,11.3,+/-1.3
620L800US47001,"State House District 1 (2022), Tennessee",37,Median rooms,5.5,+/-0.2,(X),(X)
620L800US47001,"State House District 1 (2022), Tennessee",37.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",37.5,BEDROOMS,,,,
620L800US47001,"State House District 1 (2022), Tennessee",38,Total housing units,"32,684",+/-733,"32,684",(X)
620L800US47001,"State House District 1 (2022), Tennessee",39,No bedroom,437,+/-185,1.3,+/-0.6
620L800US47001,"State House District 1 (2022), Tennessee",40,1 bedroom,"2,891",+/-424,8.8,+/-1.3
620L800US47001,"State House District 1 (2022), Tennessee",41,2 bedrooms,"9,044",+/-681,27.7,+/-2.0
620L800US47001,"State House District 1 (2022), Tennessee",42,3 bedrooms,"14,990",+/-793,45.9,+/-2.1
620L800US47001,"State House District 1 (2022), Tennessee",43,4 bedrooms,"3,924",+/-421,12.0,+/-1.2
620L800US47001,"State House District 1 (2022), Tennessee",44,5 or more bedrooms,"1,398",+/-327,4.3,+/-1.0
620L800US47001,"State House District 1 (2022), Tennessee",44.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",44.5,HOUSING TENURE,,,,
620L800US47001,"State House District 1 (2022), Tennessee",45,Occupied housing units,"28,823",+/-743,"28,823",(X)
620L800US47001,"State House District 1 (2022), Tennessee",46,Owner-occupied,"19,438",+/-675,67.4,+/-1.9
620L800US47001,"State House District 1 (2022), Tennessee",47,Renter-occupied,"9,385",+/-635,32.6,+/-1.9
620L800US47001,"State House District 1 (2022), Tennessee",47.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",48,Average household size of owner-occupied unit,2.35,+/-0.07,(X),(X)
620L800US47001,"State House District 1 (2022), Tennessee",49,Average household size of renter-occupied unit,2.20,+/-0.11,(X),(X)
620L800US47001,"State House District 1 (2022), Tennessee",49.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
620L800US47001,"State House District 1 (2022), Tennessee",50,Occupied housing units,"28,823",+/-743,"28,823",(X)
620L800US47001,"State House District 1 (2022), Tennessee",51,Moved in 2019 or later,"3,089",+/-513,10.7,+/-1.8
620L800US47001,"State House District 1 (2022), Tennessee",52,Moved in 2015 to 2018,"7,315",+/-575,25.4,+/-1.9
620L800US47001,"State House District 1 (2022), Tennessee",53,Moved in 2010 to 2014,"3,885",+/-432,13.5,+/-1.4
620L800US47001,"State House District 1 (2022), Tennessee",54,Moved in 2000 to 2009,"5,779",+/-545,20.0,+/-1.8
620L800US47001,"State House District 1 (2022), Tennessee",55,Moved in 1990 to 1999,"3,760",+/-448,13.0,+/-1.5
620L800US47001,"State House District 1 (2022), Tennessee",56,Moved in 1989 and earlier,"4,995",+/-390,17.3,+/-1.4
620L800US47001,"State House District 1 (2022), Tennessee",56.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",56.5,VEHICLES AVAILABLE,,,,
620L800US47001,"State House District 1 (2022), Tennessee",57,Occupied housing units,"28,823",+/-743,"28,823",(X)
620L800US47001,"State House District 1 (2022), Tennessee",58,No vehicles available,"1,590",+/-321,5.5,+/-1.1
620L800US47001,"State House District 1 (2022), Tennessee",59,1 vehicle available,"9,976",+/-618,34.6,+/-2.0
620L800US47001,"State House District 1 (2022), Tennessee",60,2 vehicles available,"10,119",+/-748,35.1,+/-2.3
620L800US47001,"State House District 1 (2022), Tennessee",61,3 or more vehicles available,"7,138",+/-449,24.8,+/-1.6
620L800US47001,"State House District 1 (2022), Tennessee",61.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",61.5,HOUSE HEATING FUEL,,,,
620L800US47001,"State House District 1 (2022), Tennessee",62,Occupied housing units,"28,823",+/-743,"28,823",(X)
620L800US47001,"State House District 1 (2022), Tennessee",63,Utility gas,"2,373",+/-367,8.2,+/-1.2
620L800US47001,"State House District 1 (2022), Tennessee",64,"Bottled, tank, or LP gas",579,+/-156,2.0,+/-0.5
620L800US47001,"State House District 1 (2022), Tennessee",65,Electricity,"25,059",+/-749,86.9,+/-1.4
620L800US47001,"State House District 1 (2022), Tennessee",66,"Fuel oil, kerosene, etc.",174,+/-95,0.6,+/-0.3
620L800US47001,"State House District 1 (2022), Tennessee",67,Coal or coke,9,+/-15,0.0,+/-0.1
620L800US47001,"State House District 1 (2022), Tennessee",68,Wood,301,+/-116,1.0,+/-0.4
620L800US47001,"State House District 1 (2022), Tennessee",69,Solar energy,0,+/-31,0.0,+/-0.1
620L800US47001,"State House District 1 (2022), Tennessee",70,Other fuel,45,+/-49,0.2,+/-0.2
620L800US47001,"State House District 1 (2022), Tennessee",71,No fuel used,283,+/-106,1.0,+/-0.4
620L800US47001,"State House District 1 (2022), Tennessee",71.3,,,,,
620L800US47001,"State House District 1 (2022), Tennessee",71.5,SELECTED CHARACTERISTICS,,,,
620L800US47001,"State House District 1 (2022), Tennessee",72,Occupied housing units,"28,823",+/-743,"28,823",(X)
