"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US48001,"State House District 1 (2022), Texas",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US48001,"State House District 1 (2022), Texas",0.5,,,,,
620L800US48001,"State House District 1 (2022), Texas",0.8,HOUSING OCCUPANCY,,,,
620L800US48001,"State House District 1 (2022), Texas",1,Total housing units,"88,141",+/-269,"88,141",(X)
620L800US48001,"State House District 1 (2022), Texas",2,Occupied housing units,"74,659",+/-726,84.7,+/-0.9
620L800US48001,"State House District 1 (2022), Texas",3,Vacant housing units,"13,482",+/-775,15.3,+/-0.9
620L800US48001,"State House District 1 (2022), Texas",3.3,,,,,
620L800US48001,"State House District 1 (2022), Texas",4,Homeowner vacancy rate,1.2,+/-0.3,(X),(X)
620L800US48001,"State House District 1 (2022), Texas",5,Rental vacancy rate,5.1,+/-1.3,(X),(X)
620L800US48001,"State House District 1 (2022), Texas",5.3,,,,,
620L800US48001,"State House District 1 (2022), Texas",5.5,UNITS IN STRUCTURE,,,,
620L800US48001,"State House District 1 (2022), Texas",6,Total housing units,"88,141",+/-269,"88,141",(X)
620L800US48001,"State House District 1 (2022), Texas",7,"1-unit, detached","62,333","+/-1,072",70.7,+/-1.2
620L800US48001,"State House District 1 (2022), Texas",8,"1-unit, attached","1,309",+/-301,1.5,+/-0.3
620L800US48001,"State House District 1 (2022), Texas",9,2 units,"2,496",+/-345,2.8,+/-0.4
620L800US48001,"State House District 1 (2022), Texas",10,3 or 4 units,"3,652",+/-505,4.1,+/-0.6
620L800US48001,"State House District 1 (2022), Texas",11,5 to 9 units,"2,474",+/-480,2.8,+/-0.5
620L800US48001,"State House District 1 (2022), Texas",12,10 to 19 units,"1,377",+/-341,1.6,+/-0.4
620L800US48001,"State House District 1 (2022), Texas",13,20 or more units,"2,503",+/-382,2.8,+/-0.4
620L800US48001,"State House District 1 (2022), Texas",14,Mobile home,"11,668",+/-700,13.2,+/-0.8
620L800US48001,"State House District 1 (2022), Texas",15,"Boat, RV, van, etc.",329,+/-148,0.4,+/-0.2
620L800US48001,"State House District 1 (2022), Texas",15.3,,,,,
620L800US48001,"State House District 1 (2022), Texas",15.5,YEAR STRUCTURE BUILT,,,,
620L800US48001,"State House District 1 (2022), Texas",16,Total housing units,"88,141",+/-269,"88,141",(X)
620L800US48001,"State House District 1 (2022), Texas",17,Built 2020 or later,105,+/-96,0.1,+/-0.1
620L800US48001,"State House District 1 (2022), Texas",18,Built 2010 to 2019,"6,910",+/-613,7.8,+/-0.7
620L800US48001,"State House District 1 (2022), Texas",19,Built 2000 to 2009,"10,541",+/-688,12.0,+/-0.8
