"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US53001,"Legislative District 1 (2022), Washington",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US53001,"Legislative District 1 (2022), Washington",0.5,,,,,
620L800US53001,"Legislative District 1 (2022), Washington",0.8,HOUSING OCCUPANCY,,,,
620L800US53001,"Legislative District 1 (2022), Washington",1,Total housing units,"61,109",+/-985,"61,109",(X)
620L800US53001,"Legislative District 1 (2022), Washington",2,Occupied housing units,"58,709",+/-975,96.1,+/-0.7
620L800US53001,"Legislative District 1 (2022), Washington",3,Vacant housing units,"2,400",+/-451,3.9,+/-0.7
620L800US53001,"Legislative District 1 (2022), Washington",3.3,,,,,
620L800US53001,"Legislative District 1 (2022), Washington",4,Homeowner vacancy rate,0.3,+/-0.2,(X),(X)
620L800US53001,"Legislative District 1 (2022), Washington",5,Rental vacancy rate,4.2,+/-1.4,(X),(X)
620L800US53001,"Legislative District 1 (2022), Washington",5.3,,,,,
620L800US53001,"Legislative District 1 (2022), Washington",5.5,UNITS IN STRUCTURE,,,,
620L800US53001,"Legislative District 1 (2022), Washington",6,Total housing units,"61,109",+/-985,"61,109",(X)
620L800US53001,"Legislative District 1 (2022), Washington",7,"1-unit, detached","41,044",+/-920,67.2,+/-1.2
620L800US53001,"Legislative District 1 (2022), Washington",8,"1-unit, attached","2,151",+/-364,3.5,+/-0.6
620L800US53001,"Legislative District 1 (2022), Washington",9,2 units,768,+/-283,1.3,+/-0.5
620L800US53001,"Legislative District 1 (2022), Washington",10,3 or 4 units,"1,722",+/-254,2.8,+/-0.4
620L800US53001,"Legislative District 1 (2022), Washington",11,5 to 9 units,"2,440",+/-429,4.0,+/-0.7
620L800US53001,"Legislative District 1 (2022), Washington",12,10 to 19 units,"3,374",+/-394,5.5,+/-0.6
620L800US53001,"Legislative District 1 (2022), Washington",13,20 or more units,"7,159",+/-498,11.7,+/-0.8
620L800US53001,"Legislative District 1 (2022), Washington",14,Mobile home,"2,324",+/-313,3.8,+/-0.5
620L800US53001,"Legislative District 1 (2022), Washington",15,"Boat, RV, van, etc.",127,+/-86,0.2,+/-0.1
620L800US53001,"Legislative District 1 (2022), Washington",15.3,,,,,
620L800US53001,"Legislative District 1 (2022), Washington",15.5,YEAR STRUCTURE BUILT,,,,
620L800US53001,"Legislative District 1 (2022), Washington",16,Total housing units,"61,109",+/-985,"61,109",(X)
620L800US53001,"Legislative District 1 (2022), Washington",17,Built 2020 or later,399,+/-240,0.7,+/-0.4
620L800US53001,"Legislative District 1 (2022), Washington",18,Built 2010 to 2019,"7,531",+/-658,12.3,+/-1.1
620L800US53001,"Legislative District 1 (2022), Washington",19,Built 2000 to 2009,"8,325",+/-570,13.6,+/-0.9
620L800US53001,"Legislative District 1 (2022), Washington",20,Built 1990 to 1999,"9,619",+/-651,15.7,+/-1.1
620L800US53001,"Legislative District 1 (2022), Washington",21,Built 1980 to 1989,"12,674",+/-731,20.7,+/-1.1
620L800US53001,"Legislative District 1 (2022), Washington",22,Built 1970 to 1979,"9,659",+/-510,15.8,+/-0.8
620L800US53001,"Legislative District 1 (2022), Washington",23,Built 1960 to 1969,"7,505",+/-705,12.3,+/-1.1
620L800US53001,"Legislative District 1 (2022), Washington",24,Built 1950 to 1959,"2,827",+/-336,4.6,+/-0.5
620L800US53001,"Legislative District 1 (2022), Washington",25,Built 1940 to 1949,"1,034",+/-230,1.7,+/-0.4
620L800US53001,"Legislative District 1 (2022), Washington",26,Built 1939 or earlier,"1,536",+/-302,2.5,+/-0.5
620L800US53001,"Legislative District 1 (2022), Washington",26.3,,,,,
620L800US53001,"Legislative District 1 (2022), Washington",26.5,ROOMS,,,,
620L800US53001,"Legislative District 1 (2022), Washington",27,Total housing units,"61,109",+/-985,"61,109",(X)
620L800US53001,"Legislative District 1 (2022), Washington",28,1 room,"1,349",+/-272,2.2,+/-0.4
620L800US53001,"Legislative District 1 (2022), Washington",29,2 rooms,"2,157",+/-361,3.5,+/-0.6
620L800US53001,"Legislative District 1 (2022), Washington",30,3 rooms,"4,470",+/-453,7.3,+/-0.7
620L800US53001,"Legislative District 1 (2022), Washington",31,4 rooms,"8,307",+/-682,13.6,+/-1.1
620L800US53001,"Legislative District 1 (2022), Washington",32,5 rooms,"7,547",+/-527,12.4,+/-0.9
620L800US53001,"Legislative District 1 (2022), Washington",33,6 rooms,"9,067",+/-738,14.8,+/-1.2
620L800US53001,"Legislative District 1 (2022), Washington",34,7 rooms,"8,544",+/-637,14.0,+/-1.0
620L800US53001,"Legislative District 1 (2022), Washington",35,8 rooms,"8,067",+/-744,13.2,+/-1.2
620L800US53001,"Legislative District 1 (2022), Washington",36,9 rooms or more,"11,601",+/-627,19.0,+/-1.1
620L800US53001,"Legislative District 1 (2022), Washington",37,Median rooms,6.2,+/-0.2,(X),(X)
620L800US53001,"Legislative District 1 (2022), Washington",37.3,,,,,
620L800US53001,"Legislative District 1 (2022), Washington",37.5,BEDROOMS,,,,
620L800US53001,"Legislative District 1 (2022), Washington",38,Total housing units,"61,109",+/-985,"61,109",(X)
620L800US53001,"Legislative District 1 (2022), Washington",39,No bedroom,"1,399",+/-276,2.3,+/-0.4
620L800US53001,"Legislative District 1 (2022), Washington",40,1 bedroom,"5,533",+/-536,9.1,+/-0.9
620L800US53001,"Legislative District 1 (2022), Washington",41,2 bedrooms,"11,683",+/-712,19.1,+/-1.1
620L800US53001,"Legislative District 1 (2022), Washington",42,3 bedrooms,"21,171","+/-1,121",34.6,+/-1.7
620L800US53001,"Legislative District 1 (2022), Washington",43,4 bedrooms,"16,551",+/-862,27.1,+/-1.4
620L800US53001,"Legislative District 1 (2022), Washington",44,5 or more bedrooms,"4,772",+/-473,7.8,+/-0.8
620L800US53001,"Legislative District 1 (2022), Washington",44.3,,,,,
620L800US53001,"Legislative District 1 (2022), Washington",44.5,HOUSING TENURE,,,,
620L800US53001,"Legislative District 1 (2022), Washington",45,Occupied housing units,"58,709",+/-975,"58,709",(X)
620L800US53001,"Legislative District 1 (2022), Washington",46,Owner-occupied,"42,137",+/-907,71.8,+/-1.1
