"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US56001,"State House District 1 (2022), Wyoming",0,SELECTED HOUSING CHARACTERISTICS,,,,
620L800US56001,"State House District 1 (2022), Wyoming",0.5,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",0.8,HOUSING OCCUPANCY,,,,
620L800US56001,"State House District 1 (2022), Wyoming",1,Total housing units,"5,095",+/-143,"5,095",(X)
620L800US56001,"State House District 1 (2022), Wyoming",2,Occupied housing units,"4,058",+/-209,79.6,+/-3.6
620L800US56001,"State House District 1 (2022), Wyoming",3,Vacant housing units,"1,037",+/-190,20.4,+/-3.6
620L800US56001,"State House District 1 (2022), Wyoming",3.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",4,Homeowner vacancy rate,1.4,+/-1.0,(X),(X)
620L800US56001,"State House District 1 (2022), Wyoming",5,Rental vacancy rate,11.7,+/-6.8,(X),(X)
620L800US56001,"State House District 1 (2022), Wyoming",5.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",5.5,UNITS IN STRUCTURE,,,,
620L800US56001,"State House District 1 (2022), Wyoming",6,Total housing units,"5,095",+/-143,"5,095",(X)
620L800US56001,"State House District 1 (2022), Wyoming",7,"1-unit, detached","3,755",+/-209,73.7,+/-3.5
620L800US56001,"State House District 1 (2022), Wyoming",8,"1-unit, attached",21,+/-20,0.4,+/-0.4
620L800US56001,"State House District 1 (2022), Wyoming",9,2 units,27,+/-32,0.5,+/-0.6
620L800US56001,"State House District 1 (2022), Wyoming",10,3 or 4 units,66,+/-42,1.3,+/-0.8
620L800US56001,"State House District 1 (2022), Wyoming",11,5 to 9 units,115,+/-82,2.3,+/-1.6
620L800US56001,"State House District 1 (2022), Wyoming",12,10 to 19 units,54,+/-33,1.1,+/-0.6
620L800US56001,"State House District 1 (2022), Wyoming",13,20 or more units,9,+/-14,0.2,+/-0.3
620L800US56001,"State House District 1 (2022), Wyoming",14,Mobile home,"1,040",+/-172,20.4,+/-3.3
620L800US56001,"State House District 1 (2022), Wyoming",15,"Boat, RV, van, etc.",8,+/-13,0.2,+/-0.3
620L800US56001,"State House District 1 (2022), Wyoming",15.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",15.5,YEAR STRUCTURE BUILT,,,,
620L800US56001,"State House District 1 (2022), Wyoming",16,Total housing units,"5,095",+/-143,"5,095",(X)
620L800US56001,"State House District 1 (2022), Wyoming",17,Built 2020 or later,32,+/-29,0.6,+/-0.6
620L800US56001,"State House District 1 (2022), Wyoming",18,Built 2010 to 2019,469,+/-152,9.2,+/-3.0
620L800US56001,"State House District 1 (2022), Wyoming",19,Built 2000 to 2009,"1,067",+/-159,20.9,+/-3.1
620L800US56001,"State House District 1 (2022), Wyoming",20,Built 1990 to 1999,717,+/-161,14.1,+/-3.1
620L800US56001,"State House District 1 (2022), Wyoming",21,Built 1980 to 1989,728,+/-132,14.3,+/-2.7
620L800US56001,"State House District 1 (2022), Wyoming",22,Built 1970 to 1979,829,+/-159,16.3,+/-3.1
620L800US56001,"State House District 1 (2022), Wyoming",23,Built 1960 to 1969,430,+/-123,8.4,+/-2.4
620L800US56001,"State House District 1 (2022), Wyoming",24,Built 1950 to 1959,182,+/-74,3.6,+/-1.4
620L800US56001,"State House District 1 (2022), Wyoming",25,Built 1940 to 1949,120,+/-59,2.4,+/-1.2
620L800US56001,"State House District 1 (2022), Wyoming",26,Built 1939 or earlier,521,+/-118,10.2,+/-2.3
620L800US56001,"State House District 1 (2022), Wyoming",26.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",26.5,ROOMS,,,,
620L800US56001,"State House District 1 (2022), Wyoming",27,Total housing units,"5,095",+/-143,"5,095",(X)
620L800US56001,"State House District 1 (2022), Wyoming",28,1 room,126,+/-81,2.5,+/-1.6
620L800US56001,"State House District 1 (2022), Wyoming",29,2 rooms,108,+/-66,2.1,+/-1.3
620L800US56001,"State House District 1 (2022), Wyoming",30,3 rooms,294,+/-109,5.8,+/-2.1
620L800US56001,"State House District 1 (2022), Wyoming",31,4 rooms,740,+/-158,14.5,+/-3.0
620L800US56001,"State House District 1 (2022), Wyoming",32,5 rooms,"1,199",+/-175,23.5,+/-3.4
620L800US56001,"State House District 1 (2022), Wyoming",33,6 rooms,730,+/-162,14.3,+/-3.1
620L800US56001,"State House District 1 (2022), Wyoming",34,7 rooms,748,+/-150,14.7,+/-3.1
620L800US56001,"State House District 1 (2022), Wyoming",35,8 rooms,534,+/-156,10.5,+/-3.1
620L800US56001,"State House District 1 (2022), Wyoming",36,9 rooms or more,616,+/-139,12.1,+/-2.6
620L800US56001,"State House District 1 (2022), Wyoming",37,Median rooms,5.6,+/-0.3,(X),(X)
620L800US56001,"State House District 1 (2022), Wyoming",37.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",37.5,BEDROOMS,,,,
620L800US56001,"State House District 1 (2022), Wyoming",38,Total housing units,"5,095",+/-143,"5,095",(X)
620L800US56001,"State House District 1 (2022), Wyoming",39,No bedroom,126,+/-81,2.5,+/-1.6
620L800US56001,"State House District 1 (2022), Wyoming",40,1 bedroom,295,+/-99,5.8,+/-1.9
620L800US56001,"State House District 1 (2022), Wyoming",41,2 bedrooms,"1,381",+/-197,27.1,+/-3.9
620L800US56001,"State House District 1 (2022), Wyoming",42,3 bedrooms,"2,052",+/-232,40.3,+/-4.4
620L800US56001,"State House District 1 (2022), Wyoming",43,4 bedrooms,964,+/-178,18.9,+/-3.5
620L800US56001,"State House District 1 (2022), Wyoming",44,5 or more bedrooms,277,+/-93,5.4,+/-1.8
620L800US56001,"State House District 1 (2022), Wyoming",44.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",44.5,HOUSING TENURE,,,,
620L800US56001,"State House District 1 (2022), Wyoming",45,Occupied housing units,"4,058",+/-209,"4,058",(X)
620L800US56001,"State House District 1 (2022), Wyoming",46,Owner-occupied,"3,288",+/-229,81.0,+/-5.0
620L800US56001,"State House District 1 (2022), Wyoming",47,Renter-occupied,770,+/-215,19.0,+/-5.0
620L800US56001,"State House District 1 (2022), Wyoming",47.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",48,Average household size of owner-occupied unit,2.49,+/-0.14,(X),(X)
620L800US56001,"State House District 1 (2022), Wyoming",49,Average household size of renter-occupied unit,1.89,+/-0.25,(X),(X)
620L800US56001,"State House District 1 (2022), Wyoming",49.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
620L800US56001,"State House District 1 (2022), Wyoming",50,Occupied housing units,"4,058",+/-209,"4,058",(X)
620L800US56001,"State House District 1 (2022), Wyoming",51,Moved in 2019 or later,357,+/-133,8.8,+/-3.2
620L800US56001,"State House District 1 (2022), Wyoming",52,Moved in 2015 to 2018,961,+/-183,23.7,+/-3.8
620L800US56001,"State House District 1 (2022), Wyoming",53,Moved in 2010 to 2014,550,+/-131,13.6,+/-3.2
620L800US56001,"State House District 1 (2022), Wyoming",54,Moved in 2000 to 2009,"1,146",+/-180,28.2,+/-4.6
620L800US56001,"State House District 1 (2022), Wyoming",55,Moved in 1990 to 1999,579,+/-158,14.3,+/-3.8
620L800US56001,"State House District 1 (2022), Wyoming",56,Moved in 1989 and earlier,465,+/-140,11.5,+/-3.5
620L800US56001,"State House District 1 (2022), Wyoming",56.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",56.5,VEHICLES AVAILABLE,,,,
620L800US56001,"State House District 1 (2022), Wyoming",57,Occupied housing units,"4,058",+/-209,"4,058",(X)
620L800US56001,"State House District 1 (2022), Wyoming",58,No vehicles available,96,+/-60,2.4,+/-1.5
620L800US56001,"State House District 1 (2022), Wyoming",59,1 vehicle available,688,+/-153,17.0,+/-3.5
620L800US56001,"State House District 1 (2022), Wyoming",60,2 vehicles available,"1,478",+/-201,36.4,+/-4.4
620L800US56001,"State House District 1 (2022), Wyoming",61,3 or more vehicles available,"1,796",+/-181,44.3,+/-4.4
620L800US56001,"State House District 1 (2022), Wyoming",61.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",61.5,HOUSE HEATING FUEL,,,,
620L800US56001,"State House District 1 (2022), Wyoming",62,Occupied housing units,"4,058",+/-209,"4,058",(X)
620L800US56001,"State House District 1 (2022), Wyoming",63,Utility gas,691,+/-172,17.0,+/-4.0
620L800US56001,"State House District 1 (2022), Wyoming",64,"Bottled, tank, or LP gas","1,612",+/-203,39.7,+/-5.0
620L800US56001,"State House District 1 (2022), Wyoming",65,Electricity,"1,239",+/-188,30.5,+/-4.1
620L800US56001,"State House District 1 (2022), Wyoming",66,"Fuel oil, kerosene, etc.",6,+/-9,0.1,+/-0.2
620L800US56001,"State House District 1 (2022), Wyoming",67,Coal or coke,10,+/-9,0.2,+/-0.2
620L800US56001,"State House District 1 (2022), Wyoming",68,Wood,468,+/-105,11.5,+/-2.6
620L800US56001,"State House District 1 (2022), Wyoming",69,Solar energy,1,+/-3,0.0,+/-0.1
620L800US56001,"State House District 1 (2022), Wyoming",70,Other fuel,24,+/-29,0.6,+/-0.7
620L800US56001,"State House District 1 (2022), Wyoming",71,No fuel used,7,+/-10,0.2,+/-0.2
620L800US56001,"State House District 1 (2022), Wyoming",71.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",71.5,SELECTED CHARACTERISTICS,,,,
620L800US56001,"State House District 1 (2022), Wyoming",72,Occupied housing units,"4,058",+/-209,"4,058",(X)
620L800US56001,"State House District 1 (2022), Wyoming",73,Lacking complete plumbing facilities,15,+/-19,0.4,+/-0.5
620L800US56001,"State House District 1 (2022), Wyoming",74,Lacking complete kitchen facilities,18,+/-21,0.4,+/-0.5
620L800US56001,"State House District 1 (2022), Wyoming",75,No telephone service available,32,+/-24,0.8,+/-0.6
620L800US56001,"State House District 1 (2022), Wyoming",75.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",75.5,OCCUPANTS PER ROOM,,,,
620L800US56001,"State House District 1 (2022), Wyoming",76,Occupied housing units,"4,058",+/-209,"4,058",(X)
620L800US56001,"State House District 1 (2022), Wyoming",77,1.00 or less,"4,002",+/-206,98.6,+/-1.0
620L800US56001,"State House District 1 (2022), Wyoming",78,1.01 to 1.50,40,+/-37,1.0,+/-0.9
620L800US56001,"State House District 1 (2022), Wyoming",79,1.51 or more,16,+/-18,0.4,+/-0.4
620L800US56001,"State House District 1 (2022), Wyoming",79.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",79.5,VALUE,,,,
620L800US56001,"State House District 1 (2022), Wyoming",80,Owner-occupied units,"3,288",+/-229,"3,288",(X)
620L800US56001,"State House District 1 (2022), Wyoming",81,"Less than $50,000",166,+/-78,5.0,+/-2.3
620L800US56001,"State House District 1 (2022), Wyoming",82,"$50,000 to $99,999",218,+/-106,6.6,+/-3.1
620L800US56001,"State House District 1 (2022), Wyoming",83,"$100,000 to $149,999",445,+/-136,13.5,+/-4.0
620L800US56001,"State House District 1 (2022), Wyoming",84,"$150,000 to $199,999",408,+/-111,12.4,+/-3.5
620L800US56001,"State House District 1 (2022), Wyoming",85,"$200,000 to $299,999",967,+/-155,29.4,+/-4.5
620L800US56001,"State House District 1 (2022), Wyoming",86,"$300,000 to $499,999",601,+/-140,18.3,+/-4.1
620L800US56001,"State House District 1 (2022), Wyoming",87,"$500,000 to $999,999",438,+/-132,13.3,+/-3.8
620L800US56001,"State House District 1 (2022), Wyoming",88,"$1,000,000 or more",45,+/-43,1.4,+/-1.3
620L800US56001,"State House District 1 (2022), Wyoming",89,Median (dollars),"246,100","+/-18,793",(X),(X)
620L800US56001,"State House District 1 (2022), Wyoming",89.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",89.5,MORTGAGE STATUS,,,,
620L800US56001,"State House District 1 (2022), Wyoming",90,Owner-occupied units,"3,288",+/-229,"3,288",(X)
620L800US56001,"State House District 1 (2022), Wyoming",91,Housing units with a mortgage,"1,655",+/-214,50.3,+/-6.0
620L800US56001,"State House District 1 (2022), Wyoming",92,Housing units without a mortgage,"1,633",+/-239,49.7,+/-6.0
620L800US56001,"State House District 1 (2022), Wyoming",92.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",92.5,SELECTED MONTHLY OWNER COSTS (SMOC),,,,
620L800US56001,"State House District 1 (2022), Wyoming",93,Housing units with a mortgage,"1,655",+/-214,"1,655",(X)
620L800US56001,"State House District 1 (2022), Wyoming",94,Less than $500,2,+/-4,0.1,+/-0.2
620L800US56001,"State House District 1 (2022), Wyoming",95,$500 to $999,222,+/-106,13.4,+/-6.1
620L800US56001,"State House District 1 (2022), Wyoming",96,"$1,000 to $1,499",438,+/-103,26.5,+/-5.8
620L800US56001,"State House District 1 (2022), Wyoming",97,"$1,500 to $1,999",577,+/-122,34.9,+/-5.9
620L800US56001,"State House District 1 (2022), Wyoming",98,"$2,000 to $2,499",156,+/-88,9.4,+/-5.2
620L800US56001,"State House District 1 (2022), Wyoming",99,"$2,500 to $2,999",197,+/-106,11.9,+/-6.3
620L800US56001,"State House District 1 (2022), Wyoming",100,"$3,000 or more",63,+/-58,3.8,+/-3.4
620L800US56001,"State House District 1 (2022), Wyoming",101,Median (dollars),"1,643",+/-108,(X),(X)
620L800US56001,"State House District 1 (2022), Wyoming",101.3,,,,,
620L800US56001,"State House District 1 (2022), Wyoming",102,Housing units without a mortgage,"1,633",+/-239,"1,633",(X)
