"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
620L800US10001,"State Representative District 1 (2022), Delaware",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",0.5,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",0.8,SEX AND AGE,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",1,Total population,"23,363","+/-1,803","23,363",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",2,Male,"11,485","+/-1,194",49.2,+/-3.9
620L800US10001,"State Representative District 1 (2022), Delaware",3,Female,"11,878","+/-1,375",50.8,+/-3.9
620L800US10001,"State Representative District 1 (2022), Delaware",4,Sex ratio (males per 100 females),96.7,+/-15.1,(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",4.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",5,Under 5 years,"1,362",+/-492,5.8,+/-2.0
620L800US10001,"State Representative District 1 (2022), Delaware",6,5 to 9 years,"1,067",+/-367,4.6,+/-1.5
620L800US10001,"State Representative District 1 (2022), Delaware",7,10 to 14 years,"1,348",+/-447,5.8,+/-1.7
620L800US10001,"State Representative District 1 (2022), Delaware",8,15 to 19 years,"1,180",+/-406,5.1,+/-1.6
620L800US10001,"State Representative District 1 (2022), Delaware",9,20 to 24 years,"1,360",+/-389,5.8,+/-1.7
620L800US10001,"State Representative District 1 (2022), Delaware",10,25 to 34 years,"4,156",+/-720,17.8,+/-3.0
620L800US10001,"State Representative District 1 (2022), Delaware",11,35 to 44 years,"3,044",+/-570,13.0,+/-2.1
620L800US10001,"State Representative District 1 (2022), Delaware",12,45 to 54 years,"2,779",+/-601,11.9,+/-2.3
620L800US10001,"State Representative District 1 (2022), Delaware",13,55 to 59 years,"1,614",+/-390,6.9,+/-1.6
620L800US10001,"State Representative District 1 (2022), Delaware",14,60 to 64 years,"2,072",+/-458,8.9,+/-2.1
620L800US10001,"State Representative District 1 (2022), Delaware",15,65 to 74 years,"1,859",+/-346,8.0,+/-1.6
620L800US10001,"State Representative District 1 (2022), Delaware",16,75 to 84 years,991,+/-211,4.2,+/-0.9
620L800US10001,"State Representative District 1 (2022), Delaware",17,85 years and over,531,+/-277,2.3,+/-1.2
620L800US10001,"State Representative District 1 (2022), Delaware",17.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",18,Median age (years),39.3,+/-2.4,(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",18.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",19,Under 18 years,"4,596",+/-986,19.7,+/-3.2
620L800US10001,"State Representative District 1 (2022), Delaware",20,16 years and over,"19,334","+/-1,314",82.8,+/-3.3
620L800US10001,"State Representative District 1 (2022), Delaware",21,18 years and over,"18,767","+/-1,219",80.3,+/-3.2
620L800US10001,"State Representative District 1 (2022), Delaware",22,21 years and over,"18,168","+/-1,192",77.8,+/-3.3
620L800US10001,"State Representative District 1 (2022), Delaware",23,62 years and over,"4,517",+/-665,19.3,+/-3.1
620L800US10001,"State Representative District 1 (2022), Delaware",24,65 years and over,"3,381",+/-500,14.5,+/-2.3
620L800US10001,"State Representative District 1 (2022), Delaware",24.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",25,18 years and over,"18,767","+/-1,219","18,767",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",26,Male,"9,186",+/-860,48.9,+/-3.2
620L800US10001,"State Representative District 1 (2022), Delaware",27,Female,"9,581",+/-845,51.1,+/-3.2
620L800US10001,"State Representative District 1 (2022), Delaware",28,Sex ratio (males per 100 females),95.9,+/-12.1,(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",28.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",29,65 years and over,"3,381",+/-500,"3,381",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",30,Male,"1,253",+/-325,37.1,+/-6.6
620L800US10001,"State Representative District 1 (2022), Delaware",31,Female,"2,128",+/-332,62.9,+/-6.6
620L800US10001,"State Representative District 1 (2022), Delaware",32,Sex ratio (males per 100 females),58.9,+/-16.5,(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",32.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",32.5,RACE,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",33,Total population,"23,363","+/-1,803","23,363",(X)
620L800US10001,"State Representative District 1 (2022), Delaware",34,One race,"22,646","+/-1,822",96.9,+/-1.4
620L800US10001,"State Representative District 1 (2022), Delaware",35,Two or more races,717,+/-331,3.1,+/-1.4
620L800US10001,"State Representative District 1 (2022), Delaware",35.3,,,,,
620L800US10001,"State Representative District 1 (2022), Delaware",36,One race,"22,646","+/-1,822",96.9,+/-1.4
620L800US10001,"State Representative District 1 (2022), Delaware",37,White,"6,692",+/-821,28.6,+/-3.7
620L800US10001,"State Representative District 1 (2022), Delaware",38,Black or African American,"15,306","+/-1,863",65.5,+/-4.4
620L800US10001,"State Representative District 1 (2022), Delaware",39,American Indian and Alaska Native,64,+/-58,0.3,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",40,Cherokee tribal grouping,(X),(X),(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",41,Chippewa tribal grouping,(X),(X),(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",42,Navajo tribal grouping,(X),(X),(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",43,Sioux tribal grouping,(X),(X),(X),(X)
620L800US10001,"State Representative District 1 (2022), Delaware",44,Asian,214,+/-176,0.9,+/-0.8
620L800US10001,"State Representative District 1 (2022), Delaware",45,Asian Indian,82,+/-133,0.4,+/-0.6
620L800US10001,"State Representative District 1 (2022), Delaware",46,Chinese,67,+/-59,0.3,+/-0.3
620L800US10001,"State Representative District 1 (2022), Delaware",47,Filipino,7,+/-17,0.0,+/-0.1
620L800US10001,"State Representative District 1 (2022), Delaware",48,Japanese,11,+/-23,0.0,+/-0.1
620L800US10001,"State Representative District 1 (2022), Delaware",49,Korean,0,+/-24,0.0,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",50,Vietnamese,0,+/-24,0.0,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",51,Other Asian,47,+/-74,0.2,+/-0.3
620L800US10001,"State Representative District 1 (2022), Delaware",52,Native Hawaiian and Other Pacific Islander,0,+/-24,0.0,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",53,Native Hawaiian,0,+/-24,0.0,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",54,Chamorro,0,+/-24,0.0,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",55,Samoan,0,+/-24,0.0,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",56,Other Pacific Islander,0,+/-24,0.0,+/-0.2
620L800US10001,"State Representative District 1 (2022), Delaware",57,Some other race,370,+/-274,1.6,+/-1.2
620L800US10001,"State Representative District 1 (2022), Delaware",58,Two or more races,717,+/-331,3.1,+/-1.4
620L800US10001,"State Representative District 1 (2022), Delaware",59,White and Black or African American,318,+/-207,1.4,+/-0.9
620L800US10001,"State Representative District 1 (2022), Delaware",60,White and American Indian and Alaska Native,23,+/-30,0.1,+/-0.1
620L800US10001,"State Representative District 1 (2022), Delaware",61,White and Asian,46,+/-64,0.2,+/-0.3
620L800US10001,"State Representative District 1 (2022), Delaware",62,Black or African American and American Indian and Alaska Native,96,+/-90,0.4,+/-0.4
620L800US10001,"State Representative District 1 (2022), Delaware",62.3,,,,,
