,GEOID,PVI,Formatted_District,state_fips,state,Senate Pred Dem Adjusted,Senate Pred GOP Adjusted
0,610U800US0200A,-9.68508206319474,"State Senate District A (2022), Alaska",02,AK,0,1
1,610U800US0200B,6.18688066619141,"State Senate District B (2022), Alaska",02,AK,1,0
2,610U800US0200C,-3.1919456332895866,"State Senate District C (2022), Alaska",02,AK,0,1
3,610U800US0200D,-22.635338380883272,"State Senate District D (2022), Alaska",02,AK,0,1
4,610U800US0200E,4.823057699653019,"State Senate District E (2022), Alaska",02,AK,1,0
5,610U800US0200F,1.524090090202808,"State Senate District F (2022), Alaska",02,AK,1,0
6,610U800US0200G,0.06811215619103272,"State Senate District G (2022), Alaska",02,AK,1,0
7,610U800US0200H,-2.7521429242940947,"State Senate District H (2022), Alaska",02,AK,0,1
8,610U800US0200I,14.371795360891111,"State Senate District I (2022), Alaska",02,AK,1,0
9,610U800US0200J,20.299702775436792,"State Senate District J (2022), Alaska",02,AK,1,0
10,610U800US0200K,4.06456374364403,"State Senate District K (2022), Alaska",02,AK,1,0
11,610U800US0200L,-17.87862008426277,"State Senate District L (2022), Alaska",02,AK,0,1
12,610U800US0200M,-21.792576894518945,"State Senate District M (2022), Alaska",02,AK,0,1
13,610U800US0200N,-24.04438319913484,"State Senate District N (2022), Alaska",02,AK,0,1
14,610U800US0200O,-11.109221397166305,"State Senate District O (2022), Alaska",02,AK,0,1
15,610U800US0200P,-23.695809646687454,"State Senate District P (2022), Alaska",02,AK,0,1
16,610U800US0200Q,-20.96624179339341,"State Senate District Q (2022), Alaska",02,AK,0,1
17,610U800US0200R,-0.9433363402725234,"State Senate District R (2022), Alaska",02,AK,0,1
18,610U800US0200S,24.01034063483295,"State Senate District S (2022), Alaska",02,AK,1,0
19,610U800US0200T,22.373751376082428,"State Senate District T (2022), Alaska",02,AK,1,0
20,610U800US01001,-21.444726634353056,AL-Sen-01,01,AL,0,1
21,610U800US01002,-2.755100480345517,AL-Sen-02,01,AL,0,1
22,610U800US01003,-18.1066624890125,AL-Sen-03,01,AL,0,1
23,610U800US01004,-31.609659580062377,AL-Sen-04,01,AL,0,1
24,610U800US01005,-35.58805227492429,AL-Sen-05,01,AL,0,1
25,610U800US01006,-25.39770857222158,AL-Sen-06,01,AL,0,1
26,610U800US01007,-3.031427634015337,AL-Sen-07,01,AL,0,1
27,610U800US01008,-22.877884818266775,AL-Sen-08,01,AL,0,1
28,610U800US01009,-25.386093723201004,AL-Sen-09,01,AL,0,1
29,610U800US01010,-20.750517976301804,AL-Sen-10,01,AL,0,1
30,610U800US01011,-23.639832986497485,AL-Sen-11,01,AL,0,1
31,610U800US01012,-12.934532304223477,AL-Sen-12,01,AL,0,1
32,610U800US01013,-16.424010238626874,AL-Sen-13,01,AL,0,1
33,610U800US01014,-19.946762484191684,AL-Sen-14,01,AL,0,1
34,610U800US01015,-14.136787608557029,AL-Sen-15,01,AL,0,1
35,610U800US01016,-8.751649329819978,AL-Sen-16,01,AL,0,1
36,610U800US01017,-30.897839363585334,AL-Sen-17,01,AL,0,1
37,610U800US01018,25.141704537557253,AL-Sen-18,01,AL,1,0
38,610U800US01019,12.921478930465994,AL-Sen-19,01,AL,1,0
39,610U800US01020,20.680962572063244,AL-Sen-20,01,AL,1,0
40,610U800US01021,-4.515491916004116,AL-Sen-21,01,AL,0,1
41,610U800US01022,-19.362707410237142,AL-Sen-22,01,AL,0,1
42,610U800US01023,1.4471495116319542,AL-Sen-23,01,AL,1,0
43,610U800US01024,1.9553201455976073,AL-Sen-24,01,AL,1,0
44,610U800US01025,-13.839292133194117,AL-Sen-25,01,AL,0,1
45,610U800US01026,25.843760011109367,AL-Sen-26,01,AL,1,0
46,610U800US01027,-1.9920138639556217,AL-Sen-27,01,AL,0,1
47,610U800US01028,6.907189798145913,AL-Sen-28,01,AL,1,0
48,610U800US01029,-24.193883613776993,AL-Sen-29,01,AL,0,1
49,610U800US01030,-17.309760002649835,AL-Sen-30,01,AL,0,1
50,610U800US01031,-19.601238409350085,AL-Sen-31,01,AL,0,1
51,610U800US01032,-18.76316357174744,AL-Sen-32,01,AL,0,1
52,610U800US01033,21.123249600415846,AL-Sen-33,01,AL,1,0
53,610U800US01034,-11.759257382968347,AL-Sen-34,01,AL,0,1
54,610U800US01035,-22.639686206003898,AL-Sen-35,01,AL,0,1
55,610U800US05001,-25.646459656079482,AR-Sen-01,05,AR,0,1
56,610U800US05002,-21.000972346056678,AR-Sen-02,05,AR,0,1
57,610U800US05003,-14.63710543265761,AR-Sen-03,05,AR,0,1
58,610U800US05004,-9.672193691485989,AR-Sen-04,05,AR,0,1
59,610U800US05005,-31.059598174773832,AR-Sen-05,05,AR,0,1
60,610U800US05006,-12.377470088725747,AR-Sen-06,05,AR,0,1
61,610U800US05007,-29.98659150478408,AR-Sen-07,05,AR,0,1
62,610U800US05008,1.3238323838413137,AR-Sen-08,05,AR,1,0
63,610U800US05009,7.009676224180989,AR-Sen-09,05,AR,1,0
64,610U800US05010,-23.487459554900756,AR-Sen-10,05,AR,0,1
65,610U800US05011,-21.64291380780725,AR-Sen-11,05,AR,0,1
66,610U800US05012,14.860848354110209,AR-Sen-12,05,AR,1,0
67,610U800US05013,-9.929079698884696,AR-Sen-13,05,AR,0,1
68,610U800US05014,4.8423908605329995,AR-Sen-14,05,AR,1,0
69,610U800US05015,25.61237650948209,AR-Sen-15,05,AR,1,0
70,610U800US05016,-19.38257706352981,AR-Sen-16,05,AR,0,1
71,610U800US05017,-6.574641339731235,AR-Sen-17,05,AR,0,1
72,610U800US05018,-27.54194213484699,AR-Sen-18,05,AR,0,1
73,610U800US05019,-21.963506354457948,AR-Sen-19,05,AR,0,1
74,610U800US05020,-11.721476796988838,AR-Sen-20,05,AR,0,1
75,610U800US05021,-25.372860557266737,AR-Sen-21,05,AR,0,1
76,610U800US05022,-26.9566005179148,AR-Sen-22,05,AR,0,1
77,610U800US05023,-18.72853753919104,AR-Sen-23,05,AR,0,1
78,610U800US05024,-25.69601375746979,AR-Sen-24,05,AR,0,1
79,610U800US05025,-22.888167294632478,AR-Sen-25,05,AR,0,1
80,610U800US05026,-25.704376316547762,AR-Sen-26,05,AR,0,1
81,610U800US05027,-4.80761617641225,AR-Sen-27,05,AR,0,1
82,610U800US05028,-21.89405355843789,AR-Sen-28,05,AR,0,1
83,610U800US05029,-26.63500266121312,AR-Sen-29,05,AR,0,1
84,610U800US05030,6.874284780853693,AR-Sen-30,05,AR,1,0
85,610U800US05031,7.7339265284413194,AR-Sen-31,05,AR,1,0
86,610U800US05032,-11.50936186105448,AR-Sen-32,05,AR,0,1
87,610U800US05033,-15.286898852669186,AR-Sen-33,05,AR,0,1
88,610U800US05034,-17.18267256008846,AR-Sen-34,05,AR,0,1
89,610U800US05035,-22.193752089080885,AR-Sen-35,05,AR,0,1
90,610U800US04001,-11.578437267524446,AZ-Sen-01,04,AZ,0,1
91,610U800US04002,-3.727200201736766,AZ-Sen-02,04,AZ,0,1
92,610U800US04003,-4.328219955553175,AZ-Sen-03,04,AZ,0,1
93,610U800US04004,6.111082393656635,AZ-Sen-04,04,AZ,1,0
94,610U800US04005,20.577483135143947,AZ-Sen-05,04,AZ,1,0
95,610U800US04006,17.458474733790958,AZ-Sen-06,04,AZ,1,0
96,610U800US04007,-4.883126978555211,AZ-Sen-07,04,AZ,0,1
97,610U800US04008,18.274665387570458,AZ-Sen-08,04,AZ,1,0
98,610U800US04009,5.226570515209426,AZ-Sen-09,04,AZ,1,0
99,610U800US04010,-11.409446615782706,AZ-Sen-10,04,AZ,0,1
100,610U800US04011,17.915336637741593,AZ-Sen-11,04,AZ,1,0
101,610U800US04012,-4.54939606280297,AZ-Sen-12,04,AZ,0,1
102,610U800US04013,-2.6871019458534136,AZ-Sen-13,04,AZ,0,1
103,610U800US04014,-8.44696151498644,AZ-Sen-14,04,AZ,0,1
104,610U800US04015,-15.694160578005846,AZ-Sen-15,04,AZ,0,1
105,610U800US04016,-0.7565485183216545,AZ-Sen-16,04,AZ,0,1
106,610U800US04017,-6.374604303835435,AZ-Sen-17,04,AZ,0,1
107,610U800US04018,3.2424227834421484,AZ-Sen-18,04,AZ,1,0
108,610U800US04019,-10.15215439904696,AZ-Sen-19,04,AZ,0,1
109,610U800US04020,24.40015182582972,AZ-Sen-20,04,AZ,1,0
110,610U800US04021,12.446756953558184,AZ-Sen-21,04,AZ,1,0
111,610U800US04022,8.880455940236706,AZ-Sen-22,04,AZ,1,0
112,610U800US04023,-0.9058962269787898,AZ-Sen-23,04,AZ,0,1
113,610U800US04024,13.402334154272655,AZ-Sen-24,04,AZ,1,0
114,610U800US04025,-15.80086865616849,AZ-Sen-25,04,AZ,0,1
115,610U800US04026,20.70122372796022,AZ-Sen-26,04,AZ,1,0
116,610U800US04027,-5.595736410294499,AZ-Sen-27,04,AZ,0,1
117,610U800US04028,-11.843082955196785,AZ-Sen-28,04,AZ,0,1
118,610U800US04029,-4.938688266484213,AZ-Sen-29,04,AZ,0,1
119,610U800US04030,-15.815537952498243,AZ-Sen-30,04,AZ,0,1
120,610U800US06001,-5.349581388704442,CA-Sen-01,06,CA,0,1
121,610U800US06002,10.80166405640654,CA-Sen-02,06,CA,1,0
122,610U800US06003,7.910006009338694,CA-Sen-03,06,CA,1,0
123,610U800US06004,-3.5420636082277355,CA-Sen-04,06,CA,0,1
124,610U800US06005,5.268767100044389,CA-Sen-05,06,CA,1,0
125,610U800US06006,-0.26279223916337635,CA-Sen-06,06,CA,0,1
126,610U800US06007,36.16778897558662,CA-Sen-07,06,CA,1,0
127,610U800US06008,16.786344818345206,CA-Sen-08,06,CA,1,0
128,610U800US06009,14.36232314481874,CA-Sen-09,06,CA,1,0
129,610U800US06010,24.309814378705333,CA-Sen-10,06,CA,1,0
130,610U800US06011,35.46812099761237,CA-Sen-11,06,CA,1,0
131,610U800US06012,-10.918861056184724,CA-Sen-12,06,CA,0,1
132,610U800US06013,26.44455175102405,CA-Sen-13,06,CA,1,0
133,610U800US06014,3.6228587601375835,CA-Sen-14,06,CA,1,0
134,610U800US06015,21.129535984044637,CA-Sen-15,06,CA,1,0
135,610U800US06016,-1.3574284291167693,CA-Sen-16,06,CA,0,1
136,610U800US06017,12.253537509364838,CA-Sen-17,06,CA,1,0
137,610U800US06018,14.087245913622363,CA-Sen-18,06,CA,1,0
138,610U800US06019,-1.5484281942082916,CA-Sen-19,06,CA,0,1
139,610U800US06020,22.693719698457322,CA-Sen-20,06,CA,1,0
140,610U800US06021,7.845562410643483,CA-Sen-21,06,CA,1,0
141,610U800US06022,12.9383958433753,CA-Sen-22,06,CA,1,0
142,610U800US06023,-1.2103272726425498,CA-Sen-23,06,CA,0,1
143,610U800US06024,20.989724474087893,CA-Sen-24,06,CA,1,0
144,610U800US06025,12.684558795703447,CA-Sen-25,06,CA,1,0
145,610U800US06026,33.94749647904306,CA-Sen-26,06,CA,1,0
146,610U800US06027,12.008958772661748,CA-Sen-27,06,CA,1,0
147,610U800US06028,40.21093704382841,CA-Sen-28,06,CA,1,0
148,610U800US06029,10.344051024645001,CA-Sen-29,06,CA,1,0
149,610U800US06030,12.214636532456131,CA-Sen-30,06,CA,1,0
150,610U800US06031,8.999222878791297,CA-Sen-31,06,CA,1,0
151,610U800US06032,-6.66933183450371,CA-Sen-32,06,CA,0,1
152,610U800US06033,25.95994733201446,CA-Sen-33,06,CA,1,0
153,610U800US06034,12.923879765628675,CA-Sen-34,06,CA,1,0
154,610U800US06035,27.804028114349173,CA-Sen-35,06,CA,1,0
