"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US12001,"State Senate District 1 (2022), Florida",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US12001,"State Senate District 1 (2022), Florida",0.5,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US12001,"State Senate District 1 (2022), Florida",1,Total households,"202,603","+/-1,650","202,603",(X)
610U800US12001,"State Senate District 1 (2022), Florida",2,Married-couple household,"96,758","+/-2,274",47.8,+/-1.0
610U800US12001,"State Senate District 1 (2022), Florida",3,With children of the householder under 18 years,"33,473","+/-1,444",16.5,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",4,Cohabiting couple household,"12,922","+/-1,165",6.4,+/-0.6
610U800US12001,"State Senate District 1 (2022), Florida",5,With children of the householder under 18 years,"4,643",+/-733,2.3,+/-0.4
610U800US12001,"State Senate District 1 (2022), Florida",6,"Male householder, no spouse/partner present","36,873","+/-1,421",18.2,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",7,With children of the householder under 18 years,"2,459",+/-538,1.2,+/-0.3
610U800US12001,"State Senate District 1 (2022), Florida",8,Householder living alone,"25,314","+/-1,252",12.5,+/-0.6
610U800US12001,"State Senate District 1 (2022), Florida",9,65 years and over,"7,891",+/-762,3.9,+/-0.4
610U800US12001,"State Senate District 1 (2022), Florida",10,"Female householder, no spouse/partner present","56,050","+/-1,596",27.7,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",11,With children of the householder under 18 years,"10,671",+/-870,5.3,+/-0.4
610U800US12001,"State Senate District 1 (2022), Florida",12,Householder living alone,"28,927","+/-1,293",14.3,+/-0.6
610U800US12001,"State Senate District 1 (2022), Florida",13,65 years and over,"13,594",+/-813,6.7,+/-0.4
610U800US12001,"State Senate District 1 (2022), Florida",13.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",14,Households with one or more people under 18 years,"58,880","+/-1,789",29.1,+/-0.8
610U800US12001,"State Senate District 1 (2022), Florida",15,Households with one or more people 65 years and over,"63,001",+/-986,31.1,+/-0.5
610U800US12001,"State Senate District 1 (2022), Florida",15.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",16,Average household size,2.51,+/-0.02,(X),(X)
610U800US12001,"State Senate District 1 (2022), Florida",17,Average family size,3.05,+/-0.04,(X),(X)
610U800US12001,"State Senate District 1 (2022), Florida",17.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",17.5,RELATIONSHIP,,,,
610U800US12001,"State Senate District 1 (2022), Florida",18,Population in households,"509,325","+/-2,333","509,325",(X)
610U800US12001,"State Senate District 1 (2022), Florida",19,Householder,"202,603","+/-1,650",39.8,+/-0.3
610U800US12001,"State Senate District 1 (2022), Florida",20,Spouse,"96,297","+/-2,407",18.9,+/-0.5
610U800US12001,"State Senate District 1 (2022), Florida",21,Unmarried partner,"12,986","+/-1,125",2.5,+/-0.2
610U800US12001,"State Senate District 1 (2022), Florida",22,Child,"142,663","+/-2,625",28.0,+/-0.5
610U800US12001,"State Senate District 1 (2022), Florida",23,Other relatives,"35,015","+/-2,579",6.9,+/-0.5
610U800US12001,"State Senate District 1 (2022), Florida",24,Other nonrelatives,"19,761","+/-1,905",3.9,+/-0.4
610U800US12001,"State Senate District 1 (2022), Florida",24.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",24.5,MARITAL STATUS,,,,
610U800US12001,"State Senate District 1 (2022), Florida",25,Males 15 years and over,"218,107",+/-791,"218,107",(X)
610U800US12001,"State Senate District 1 (2022), Florida",26,Never married,"76,662","+/-1,491",35.1,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",27,"Now married, except separated","105,214","+/-2,355",48.2,+/-1.1
610U800US12001,"State Senate District 1 (2022), Florida",28,Separated,"4,386",+/-613,2.0,+/-0.3
610U800US12001,"State Senate District 1 (2022), Florida",29,Widowed,"6,364",+/-720,2.9,+/-0.3
610U800US12001,"State Senate District 1 (2022), Florida",30,Divorced,"25,481","+/-1,471",11.7,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",30.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",31,Females 15 years and over,"218,403",+/-932,"218,403",(X)
610U800US12001,"State Senate District 1 (2022), Florida",32,Never married,"59,818","+/-1,414",27.4,+/-0.6
610U800US12001,"State Senate District 1 (2022), Florida",33,"Now married, except separated","102,221","+/-2,303",46.8,+/-1.1
610U800US12001,"State Senate District 1 (2022), Florida",34,Separated,"4,663",+/-635,2.1,+/-0.3
610U800US12001,"State Senate District 1 (2022), Florida",35,Widowed,"19,152",+/-994,8.8,+/-0.5
610U800US12001,"State Senate District 1 (2022), Florida",36,Divorced,"32,549","+/-1,707",14.9,+/-0.8
610U800US12001,"State Senate District 1 (2022), Florida",36.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",36.5,FERTILITY,,,,
610U800US12001,"State Senate District 1 (2022), Florida",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"6,006",+/-625,"6,006",(X)
610U800US12001,"State Senate District 1 (2022), Florida",38,"Unmarried women (widowed, divorced, and never married)","2,257",+/-384,37.6,+/-5.1
610U800US12001,"State Senate District 1 (2022), Florida",39,"Per 1,000 unmarried women",34,+/-6,(X),(X)
610U800US12001,"State Senate District 1 (2022), Florida",40,"Per 1,000 women 15 to 50 years old",51,+/-5,(X),(X)
610U800US12001,"State Senate District 1 (2022), Florida",41,"Per 1,000 women 15 to 19 years old",17,+/-9,(X),(X)
610U800US12001,"State Senate District 1 (2022), Florida",42,"Per 1,000 women 20 to 34 years old",82,+/-11,(X),(X)
610U800US12001,"State Senate District 1 (2022), Florida",43,"Per 1,000 women 35 to 50 years old",28,+/-6,(X),(X)
610U800US12001,"State Senate District 1 (2022), Florida",43.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",43.5,GRANDPARENTS,,,,
610U800US12001,"State Senate District 1 (2022), Florida",44,Number of grandparents living with own grandchildren under 18 years,"11,758","+/-1,300","11,758",(X)
610U800US12001,"State Senate District 1 (2022), Florida",45,Grandparents responsible for grandchildren,"5,043",+/-938,42.9,+/-5.8
610U800US12001,"State Senate District 1 (2022), Florida",45.9,Years responsible for grandchildren,,,,
610U800US12001,"State Senate District 1 (2022), Florida",46,Less than 1 year,802,+/-331,6.8,+/-2.7
610U800US12001,"State Senate District 1 (2022), Florida",47,1 or 2 years,752,+/-277,6.4,+/-2.2
610U800US12001,"State Senate District 1 (2022), Florida",48,3 or 4 years,"1,054",+/-278,9.0,+/-2.2
610U800US12001,"State Senate District 1 (2022), Florida",49,5 or more years,"2,435",+/-707,20.7,+/-5.2
610U800US12001,"State Senate District 1 (2022), Florida",49.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",50,Number of grandparents responsible for own grandchildren under 18 years,"5,043",+/-938,"5,043",(X)
610U800US12001,"State Senate District 1 (2022), Florida",51,Who are female,"3,071",+/-554,60.9,+/-3.8
610U800US12001,"State Senate District 1 (2022), Florida",52,Who are married,"3,775",+/-871,74.9,+/-6.0
610U800US12001,"State Senate District 1 (2022), Florida",52.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",52.5,SCHOOL ENROLLMENT,,,,
610U800US12001,"State Senate District 1 (2022), Florida",53,Population 3 years and over enrolled in school,"123,220","+/-2,184","123,220",(X)
610U800US12001,"State Senate District 1 (2022), Florida",54,"Nursery school, preschool","6,862",+/-924,5.6,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",55,Kindergarten,"6,436",+/-823,5.2,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",56,Elementary school (grades 1-8),"51,439","+/-1,326",41.7,+/-1.0
610U800US12001,"State Senate District 1 (2022), Florida",57,High school (grades 9-12),"25,131",+/-852,20.4,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",58,College or graduate school,"33,352","+/-1,566",27.1,+/-1.0
610U800US12001,"State Senate District 1 (2022), Florida",58.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",58.5,EDUCATIONAL ATTAINMENT,,,,
610U800US12001,"State Senate District 1 (2022), Florida",59,Population 25 years and over,"364,516","+/-1,142","364,516",(X)
610U800US12001,"State Senate District 1 (2022), Florida",60,Less than 9th grade,"8,268",+/-890,2.3,+/-0.2
610U800US12001,"State Senate District 1 (2022), Florida",61,"9th to 12th grade, no diploma","23,822","+/-1,616",6.5,+/-0.4
610U800US12001,"State Senate District 1 (2022), Florida",62,High school graduate (includes equivalency),"100,210","+/-2,486",27.5,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",63,"Some college, no degree","86,039","+/-2,378",23.6,+/-0.6
610U800US12001,"State Senate District 1 (2022), Florida",64,Associate's degree,"44,775","+/-1,763",12.3,+/-0.5
610U800US12001,"State Senate District 1 (2022), Florida",65,Bachelor's degree,"64,474","+/-2,420",17.7,+/-0.7
610U800US12001,"State Senate District 1 (2022), Florida",66,Graduate or professional degree,"36,928","+/-1,684",10.1,+/-0.5
610U800US12001,"State Senate District 1 (2022), Florida",66.3,,,,,
610U800US12001,"State Senate District 1 (2022), Florida",67,High school graduate or higher,"332,426","+/-2,101",91.2,+/-0.5
