"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US16001,"State Senate District 1 (2022), Idaho",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US16001,"State Senate District 1 (2022), Idaho",0.5,,,,,
610U800US16001,"State Senate District 1 (2022), Idaho",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US16001,"State Senate District 1 (2022), Idaho",1,Total households,"21,043",+/-607,"21,043",(X)
610U800US16001,"State Senate District 1 (2022), Idaho",2,Married-couple household,"12,085",+/-563,57.4,+/-2.6
610U800US16001,"State Senate District 1 (2022), Idaho",3,With children of the householder under 18 years,"3,442",+/-327,16.4,+/-1.5
610U800US16001,"State Senate District 1 (2022), Idaho",4,Cohabiting couple household,"1,155",+/-247,5.5,+/-1.1
610U800US16001,"State Senate District 1 (2022), Idaho",5,With children of the householder under 18 years,359,+/-170,1.7,+/-0.8
610U800US16001,"State Senate District 1 (2022), Idaho",6,"Male householder, no spouse/partner present","4,030",+/-435,19.2,+/-2.0
610U800US16001,"State Senate District 1 (2022), Idaho",7,With children of the householder under 18 years,387,+/-146,1.8,+/-0.7
610U800US16001,"State Senate District 1 (2022), Idaho",8,Householder living alone,"2,955",+/-411,14.0,+/-1.9
610U800US16001,"State Senate District 1 (2022), Idaho",9,65 years and over,"1,245",+/-294,5.9,+/-1.4
610U800US16001,"State Senate District 1 (2022), Idaho",10,"Female householder, no spouse/partner present","3,773",+/-379,17.9,+/-1.6
610U800US16001,"State Senate District 1 (2022), Idaho",11,With children of the householder under 18 years,542,+/-124,2.6,+/-0.6
610U800US16001,"State Senate District 1 (2022), Idaho",12,Householder living alone,"2,593",+/-287,12.3,+/-1.3
610U800US16001,"State Senate District 1 (2022), Idaho",13,65 years and over,"1,598",+/-227,7.6,+/-1.1
610U800US16001,"State Senate District 1 (2022), Idaho",13.3,,,,,
610U800US16001,"State Senate District 1 (2022), Idaho",14,Households with one or more people under 18 years,"5,212",+/-329,24.8,+/-1.3
610U800US16001,"State Senate District 1 (2022), Idaho",15,Households with one or more people 65 years and over,"8,733",+/-438,41.5,+/-1.6
