"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US22001,"State Senate District 1 (2022), Louisiana",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",0.5,,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",1,Total households,"43,810","+/-1,045","43,810",(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",2,Married-couple household,"21,373",+/-981,48.8,+/-2.0
610U800US22001,"State Senate District 1 (2022), Louisiana",3,With children of the householder under 18 years,"7,712",+/-690,17.6,+/-1.6
610U800US22001,"State Senate District 1 (2022), Louisiana",4,Cohabiting couple household,"3,546",+/-551,8.1,+/-1.2
610U800US22001,"State Senate District 1 (2022), Louisiana",5,With children of the householder under 18 years,"1,617",+/-463,3.7,+/-1.0
610U800US22001,"State Senate District 1 (2022), Louisiana",6,"Male householder, no spouse/partner present","7,321",+/-829,16.7,+/-1.8
610U800US22001,"State Senate District 1 (2022), Louisiana",7,With children of the householder under 18 years,902,+/-346,2.1,+/-0.8
610U800US22001,"State Senate District 1 (2022), Louisiana",8,Householder living alone,"5,102",+/-739,11.6,+/-1.6
610U800US22001,"State Senate District 1 (2022), Louisiana",9,65 years and over,"1,700",+/-491,3.9,+/-1.1
610U800US22001,"State Senate District 1 (2022), Louisiana",10,"Female householder, no spouse/partner present","11,570",+/-810,26.4,+/-1.9
610U800US22001,"State Senate District 1 (2022), Louisiana",11,With children of the householder under 18 years,"3,008",+/-476,6.9,+/-1.1
610U800US22001,"State Senate District 1 (2022), Louisiana",12,Householder living alone,"5,800",+/-621,13.2,+/-1.4
610U800US22001,"State Senate District 1 (2022), Louisiana",13,65 years and over,"3,029",+/-466,6.9,+/-1.1
610U800US22001,"State Senate District 1 (2022), Louisiana",13.3,,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",14,Households with one or more people under 18 years,"15,190",+/-964,34.7,+/-2.0
610U800US22001,"State Senate District 1 (2022), Louisiana",15,Households with one or more people 65 years and over,"13,873",+/-738,31.7,+/-1.7
610U800US22001,"State Senate District 1 (2022), Louisiana",15.3,,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",16,Average household size,2.68,+/-0.06,(X),(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",17,Average family size,3.19,+/-0.08,(X),(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",17.3,,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",17.5,RELATIONSHIP,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",18,Population in households,"117,347","+/-3,049","117,347",(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",19,Householder,"43,810","+/-1,045",37.3,+/-0.9
610U800US22001,"State Senate District 1 (2022), Louisiana",20,Spouse,"21,739","+/-1,207",18.5,+/-0.9
610U800US22001,"State Senate District 1 (2022), Louisiana",21,Unmarried partner,"3,136",+/-386,2.7,+/-0.3
610U800US22001,"State Senate District 1 (2022), Louisiana",22,Child,"37,173","+/-1,984",31.7,+/-1.3
610U800US22001,"State Senate District 1 (2022), Louisiana",23,Other relatives,"8,359","+/-1,068",7.1,+/-0.9
610U800US22001,"State Senate District 1 (2022), Louisiana",24,Other nonrelatives,"3,130",+/-633,2.7,+/-0.5
610U800US22001,"State Senate District 1 (2022), Louisiana",24.3,,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",24.5,MARITAL STATUS,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",25,Males 15 years and over,"44,838","+/-1,575","44,838",(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",26,Never married,"13,812","+/-1,296",30.8,+/-2.4
610U800US22001,"State Senate District 1 (2022), Louisiana",27,"Now married, except separated","23,454","+/-1,359",52.3,+/-2.6
610U800US22001,"State Senate District 1 (2022), Louisiana",28,Separated,908,+/-319,2.0,+/-0.7
610U800US22001,"State Senate District 1 (2022), Louisiana",29,Widowed,"1,387",+/-259,3.1,+/-0.6
610U800US22001,"State Senate District 1 (2022), Louisiana",30,Divorced,"5,277",+/-759,11.8,+/-1.7
610U800US22001,"State Senate District 1 (2022), Louisiana",30.3,,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",31,Females 15 years and over,"49,312","+/-1,414","49,312",(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",32,Never married,"13,922","+/-1,018",28.2,+/-1.8
610U800US22001,"State Senate District 1 (2022), Louisiana",33,"Now married, except separated","22,429","+/-1,257",45.5,+/-2.3
610U800US22001,"State Senate District 1 (2022), Louisiana",34,Separated,"1,338",+/-472,2.7,+/-1.0
610U800US22001,"State Senate District 1 (2022), Louisiana",35,Widowed,"4,182",+/-522,8.5,+/-1.0
610U800US22001,"State Senate District 1 (2022), Louisiana",36,Divorced,"7,441",+/-701,15.1,+/-1.4
610U800US22001,"State Senate District 1 (2022), Louisiana",36.3,,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",36.5,FERTILITY,,,,
610U800US22001,"State Senate District 1 (2022), Louisiana",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"1,588",+/-328,"1,588",(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",38,"Unmarried women (widowed, divorced, and never married)",749,+/-259,47.2,+/-11.9
610U800US22001,"State Senate District 1 (2022), Louisiana",39,"Per 1,000 unmarried women",48,+/-17,(X),(X)
610U800US22001,"State Senate District 1 (2022), Louisiana",40,"Per 1,000 women 15 to 50 years old",58,+/-12,(X),(X)
