"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US24001,"State Senate District 1 (2022), Maryland",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",0.5,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",1,Total households,"54,101",+/-865,"54,101",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",2,Married-couple household,"25,814",+/-877,47.7,+/-1.5
610U800US24001,"State Senate District 1 (2022), Maryland",3,With children of the householder under 18 years,"7,893",+/-600,14.6,+/-1.1
610U800US24001,"State Senate District 1 (2022), Maryland",4,Cohabiting couple household,"3,823",+/-443,7.1,+/-0.8
610U800US24001,"State Senate District 1 (2022), Maryland",5,With children of the householder under 18 years,"1,562",+/-296,2.9,+/-0.5
610U800US24001,"State Senate District 1 (2022), Maryland",6,"Male householder, no spouse/partner present","10,330",+/-554,19.1,+/-1.0
610U800US24001,"State Senate District 1 (2022), Maryland",7,With children of the householder under 18 years,877,+/-262,1.6,+/-0.5
610U800US24001,"State Senate District 1 (2022), Maryland",8,Householder living alone,"7,822",+/-529,14.5,+/-0.9
610U800US24001,"State Senate District 1 (2022), Maryland",9,65 years and over,"2,972",+/-330,5.5,+/-0.6
610U800US24001,"State Senate District 1 (2022), Maryland",10,"Female householder, no spouse/partner present","14,134",+/-656,26.1,+/-1.2
610U800US24001,"State Senate District 1 (2022), Maryland",11,With children of the householder under 18 years,"2,657",+/-394,4.9,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",12,Householder living alone,"8,715",+/-514,16.1,+/-0.9
610U800US24001,"State Senate District 1 (2022), Maryland",13,65 years and over,"5,040",+/-396,9.3,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",13.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",14,Households with one or more people under 18 years,"14,776",+/-653,27.3,+/-1.1
610U800US24001,"State Senate District 1 (2022), Maryland",15,Households with one or more people 65 years and over,"18,902",+/-559,34.9,+/-1.0
610U800US24001,"State Senate District 1 (2022), Maryland",15.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",16,Average household size,2.28,+/-0.03,(X),(X)
610U800US24001,"State Senate District 1 (2022), Maryland",17,Average family size,2.82,+/-0.05,(X),(X)
610U800US24001,"State Senate District 1 (2022), Maryland",17.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",17.5,RELATIONSHIP,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",18,Population in households,"123,117","+/-1,472","123,117",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",19,Householder,"54,101",+/-865,43.9,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",20,Spouse,"25,914",+/-886,21.0,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",21,Unmarried partner,"3,778",+/-412,3.1,+/-0.3
610U800US24001,"State Senate District 1 (2022), Maryland",22,Child,"31,252","+/-1,186",25.4,+/-0.9
610U800US24001,"State Senate District 1 (2022), Maryland",23,Other relatives,"5,341",+/-761,4.3,+/-0.6
610U800US24001,"State Senate District 1 (2022), Maryland",24,Other nonrelatives,"2,731",+/-497,2.2,+/-0.4
610U800US24001,"State Senate District 1 (2022), Maryland",24.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",24.5,MARITAL STATUS,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",25,Males 15 years and over,"58,177",+/-761,"58,177",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",26,Never married,"20,842",+/-811,35.8,+/-1.2
610U800US24001,"State Senate District 1 (2022), Maryland",27,"Now married, except separated","28,069",+/-875,48.2,+/-1.4
610U800US24001,"State Senate District 1 (2022), Maryland",28,Separated,"1,100",+/-228,1.9,+/-0.4
610U800US24001,"State Senate District 1 (2022), Maryland",29,Widowed,"2,133",+/-266,3.7,+/-0.5
610U800US24001,"State Senate District 1 (2022), Maryland",30,Divorced,"6,033",+/-436,10.4,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",30.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",31,Females 15 years and over,"55,167",+/-789,"55,167",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",32,Never married,"14,224",+/-754,25.8,+/-1.2
610U800US24001,"State Senate District 1 (2022), Maryland",33,"Now married, except separated","26,621",+/-946,48.3,+/-1.6
610U800US24001,"State Senate District 1 (2022), Maryland",34,Separated,975,+/-226,1.8,+/-0.4
610U800US24001,"State Senate District 1 (2022), Maryland",35,Widowed,"6,285",+/-471,11.4,+/-0.9
610U800US24001,"State Senate District 1 (2022), Maryland",36,Divorced,"7,062",+/-502,12.8,+/-0.9
610U800US24001,"State Senate District 1 (2022), Maryland",36.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",36.5,FERTILITY,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"1,523",+/-287,"1,523",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",38,"Unmarried women (widowed, divorced, and never married)",781,+/-229,51.3,+/-10.0
610U800US24001,"State Senate District 1 (2022), Maryland",39,"Per 1,000 unmarried women",50,+/-15,(X),(X)
610U800US24001,"State Senate District 1 (2022), Maryland",40,"Per 1,000 women 15 to 50 years old",55,+/-10,(X),(X)
610U800US24001,"State Senate District 1 (2022), Maryland",41,"Per 1,000 women 15 to 19 years old",18,+/-16,(X),(X)
610U800US24001,"State Senate District 1 (2022), Maryland",42,"Per 1,000 women 20 to 34 years old",108,+/-23,(X),(X)
610U800US24001,"State Senate District 1 (2022), Maryland",43,"Per 1,000 women 35 to 50 years old",19,+/-8,(X),(X)
610U800US24001,"State Senate District 1 (2022), Maryland",43.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",43.5,GRANDPARENTS,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",44,Number of grandparents living with own grandchildren under 18 years,"2,591",+/-520,"2,591",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",45,Grandparents responsible for grandchildren,"1,055",+/-307,40.7,+/-9.2
610U800US24001,"State Senate District 1 (2022), Maryland",45.9,Years responsible for grandchildren,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",46,Less than 1 year,217,+/-155,8.4,+/-5.7
610U800US24001,"State Senate District 1 (2022), Maryland",47,1 or 2 years,151,+/-73,5.8,+/-2.9
610U800US24001,"State Senate District 1 (2022), Maryland",48,3 or 4 years,200,+/-178,7.7,+/-6.6
610U800US24001,"State Senate District 1 (2022), Maryland",49,5 or more years,487,+/-189,18.8,+/-6.9
610U800US24001,"State Senate District 1 (2022), Maryland",49.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",50,Number of grandparents responsible for own grandchildren under 18 years,"1,055",+/-307,"1,055",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",51,Who are female,551,+/-168,52.2,+/-8.2
610U800US24001,"State Senate District 1 (2022), Maryland",52,Who are married,764,+/-279,72.4,+/-12.3
610U800US24001,"State Senate District 1 (2022), Maryland",52.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",52.5,SCHOOL ENROLLMENT,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",53,Population 3 years and over enrolled in school,"28,701",+/-993,"28,701",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",54,"Nursery school, preschool","1,193",+/-234,4.2,+/-0.8
610U800US24001,"State Senate District 1 (2022), Maryland",55,Kindergarten,"1,299",+/-245,4.5,+/-0.9
610U800US24001,"State Senate District 1 (2022), Maryland",56,Elementary school (grades 1-8),"11,317",+/-648,39.4,+/-1.8
610U800US24001,"State Senate District 1 (2022), Maryland",57,High school (grades 9-12),"6,471",+/-515,22.5,+/-1.7
610U800US24001,"State Senate District 1 (2022), Maryland",58,College or graduate school,"8,421",+/-617,29.3,+/-1.7
610U800US24001,"State Senate District 1 (2022), Maryland",58.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",58.5,EDUCATIONAL ATTAINMENT,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",59,Population 25 years and over,"94,631","+/-1,084","94,631",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",60,Less than 9th grade,"2,211",+/-345,2.3,+/-0.4
610U800US24001,"State Senate District 1 (2022), Maryland",61,"9th to 12th grade, no diploma","7,333",+/-665,7.7,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",62,High school graduate (includes equivalency),"38,243","+/-1,094",40.4,+/-1.1
610U800US24001,"State Senate District 1 (2022), Maryland",63,"Some college, no degree","17,951",+/-945,19.0,+/-1.0
610U800US24001,"State Senate District 1 (2022), Maryland",64,Associate's degree,"8,529",+/-590,9.0,+/-0.6
610U800US24001,"State Senate District 1 (2022), Maryland",65,Bachelor's degree,"11,648",+/-736,12.3,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",66,Graduate or professional degree,"8,716",+/-752,9.2,+/-0.8
610U800US24001,"State Senate District 1 (2022), Maryland",66.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",67,High school graduate or higher,"85,087","+/-1,218",89.9,+/-0.7
610U800US24001,"State Senate District 1 (2022), Maryland",68,Bachelor's degree or higher,"20,364","+/-1,164",21.5,+/-1.1
610U800US24001,"State Senate District 1 (2022), Maryland",68.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",68.5,VETERAN STATUS,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",69,Civilian population 18 years and over,"108,432","+/-1,103","108,432",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",70,Civilian veterans,"8,727",+/-550,8.0,+/-0.5
610U800US24001,"State Senate District 1 (2022), Maryland",70.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",71,Total Civilian Noninstitutionalized Population,"126,215","+/-1,523","126,215",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",72,With a disability,"21,038",+/-907,16.7,+/-0.8
610U800US24001,"State Senate District 1 (2022), Maryland",72.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",73,Under 18 years,"24,406",+/-791,"24,406",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",74,With a disability,"1,428",+/-295,5.9,+/-1.2
610U800US24001,"State Senate District 1 (2022), Maryland",74.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",75,18 to 64 years,"76,072","+/-1,075","76,072",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",76,With a disability,"10,662",+/-732,14.0,+/-1.0
610U800US24001,"State Senate District 1 (2022), Maryland",76.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",77,65 years and over,"25,737",+/-514,"25,737",(X)
610U800US24001,"State Senate District 1 (2022), Maryland",78,With a disability,"8,948",+/-432,34.8,+/-1.6
610U800US24001,"State Senate District 1 (2022), Maryland",78.3,,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",78.5,RESIDENCE 1 YEAR AGO,,,,
610U800US24001,"State Senate District 1 (2022), Maryland",79,Population 1 year and over,"132,068","+/-1,454","132,068",(X)
