"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US23001,"State Senate District 1 (2022), Maine",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US23001,"State Senate District 1 (2022), Maine",0.5,,,,,
610U800US23001,"State Senate District 1 (2022), Maine",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US23001,"State Senate District 1 (2022), Maine",1,Total households,"16,103",+/-319,"16,103",(X)
610U800US23001,"State Senate District 1 (2022), Maine",2,Married-couple household,"7,601",+/-293,47.2,+/-1.8
610U800US23001,"State Senate District 1 (2022), Maine",3,With children of the householder under 18 years,"1,978",+/-227,12.3,+/-1.4
610U800US23001,"State Senate District 1 (2022), Maine",4,Cohabiting couple household,"1,110",+/-205,6.9,+/-1.2
610U800US23001,"State Senate District 1 (2022), Maine",5,With children of the householder under 18 years,442,+/-131,2.7,+/-0.8
610U800US23001,"State Senate District 1 (2022), Maine",6,"Male householder, no spouse/partner present","3,462",+/-306,21.5,+/-1.8
610U800US23001,"State Senate District 1 (2022), Maine",7,With children of the householder under 18 years,325,+/-133,2.0,+/-0.8
610U800US23001,"State Senate District 1 (2022), Maine",8,Householder living alone,"2,495",+/-281,15.5,+/-1.7
610U800US23001,"State Senate District 1 (2022), Maine",9,65 years and over,"1,089",+/-197,6.8,+/-1.2
610U800US23001,"State Senate District 1 (2022), Maine",10,"Female householder, no spouse/partner present","3,930",+/-317,24.4,+/-1.8
610U800US23001,"State Senate District 1 (2022), Maine",11,With children of the householder under 18 years,470,+/-114,2.9,+/-0.7
610U800US23001,"State Senate District 1 (2022), Maine",12,Householder living alone,"2,763",+/-292,17.2,+/-1.7
610U800US23001,"State Senate District 1 (2022), Maine",13,65 years and over,"1,415",+/-185,8.8,+/-1.1
610U800US23001,"State Senate District 1 (2022), Maine",13.3,,,,,
610U800US23001,"State Senate District 1 (2022), Maine",14,Households with one or more people under 18 years,"3,696",+/-283,23.0,+/-1.8
610U800US23001,"State Senate District 1 (2022), Maine",15,Households with one or more people 65 years and over,"6,354",+/-282,39.5,+/-1.6
610U800US23001,"State Senate District 1 (2022), Maine",15.3,,,,,
610U800US23001,"State Senate District 1 (2022), Maine",16,Average household size,2.21,+/-0.04,(X),(X)
610U800US23001,"State Senate District 1 (2022), Maine",17,Average family size,2.74,+/-0.08,(X),(X)
610U800US23001,"State Senate District 1 (2022), Maine",17.3,,,,,
610U800US23001,"State Senate District 1 (2022), Maine",17.5,RELATIONSHIP,,,,
610U800US23001,"State Senate District 1 (2022), Maine",18,Population in households,"35,646",+/-510,"35,646",(X)
610U800US23001,"State Senate District 1 (2022), Maine",19,Householder,"16,103",+/-319,45.2,+/-0.9
610U800US23001,"State Senate District 1 (2022), Maine",20,Spouse,"7,653",+/-315,21.5,+/-0.9
610U800US23001,"State Senate District 1 (2022), Maine",21,Unmarried partner,"1,125",+/-197,3.2,+/-0.5
610U800US23001,"State Senate District 1 (2022), Maine",22,Child,"8,279",+/-492,23.2,+/-1.3
610U800US23001,"State Senate District 1 (2022), Maine",23,Other relatives,"1,449",+/-257,4.1,+/-0.7
610U800US23001,"State Senate District 1 (2022), Maine",24,Other nonrelatives,"1,037",+/-234,2.9,+/-0.6
610U800US23001,"State Senate District 1 (2022), Maine",24.3,,,,,
610U800US23001,"State Senate District 1 (2022), Maine",24.5,MARITAL STATUS,,,,
610U800US23001,"State Senate District 1 (2022), Maine",25,Males 15 years and over,"15,909",+/-369,"15,909",(X)
610U800US23001,"State Senate District 1 (2022), Maine",26,Never married,"4,665",+/-371,29.3,+/-2.0
610U800US23001,"State Senate District 1 (2022), Maine",27,"Now married, except separated","8,025",+/-370,50.4,+/-2.6
610U800US23001,"State Senate District 1 (2022), Maine",28,Separated,160,+/-99,1.0,+/-0.6
610U800US23001,"State Senate District 1 (2022), Maine",29,Widowed,634,+/-205,4.0,+/-1.3
