"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",0.5,,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",1,Total households,"75,775","+/-1,051","75,775",(X)
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",2,Married-couple household,"37,227",+/-955,49.1,+/-1.3
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",3,With children of the householder under 18 years,"13,902",+/-785,18.3,+/-1.1
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",4,Cohabiting couple household,"4,805",+/-740,6.3,+/-1.0
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",5,With children of the householder under 18 years,"1,188",+/-362,1.6,+/-0.5
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",6,"Male householder, no spouse/partner present","12,859",+/-846,17.0,+/-1.1
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",7,With children of the householder under 18 years,873,+/-208,1.2,+/-0.3
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",8,Householder living alone,"9,959",+/-785,13.1,+/-1.0
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",9,65 years and over,"3,075",+/-413,4.1,+/-0.5
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",10,"Female householder, no spouse/partner present","20,884","+/-1,053",27.6,+/-1.3
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",11,With children of the householder under 18 years,"2,985",+/-519,3.9,+/-0.7
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",12,Householder living alone,"13,652",+/-838,18.0,+/-1.1
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",13,65 years and over,"7,800",+/-581,10.3,+/-0.8
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",13.3,,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",14,Households with one or more people under 18 years,"20,585",+/-894,27.2,+/-1.2
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",15,Households with one or more people 65 years and over,"25,025",+/-775,33.0,+/-0.9
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",15.3,,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",16,Average household size,2.36,+/-0.03,(X),(X)
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",17,Average family size,2.96,+/-0.03,(X),(X)
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",17.3,,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",17.5,RELATIONSHIP,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",18,Population in households,"178,928","+/-2,745","178,928",(X)
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",19,Householder,"75,775","+/-1,051",42.3,+/-0.6
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",20,Spouse,"37,207",+/-963,20.8,+/-0.5
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",21,Unmarried partner,"4,908",+/-784,2.7,+/-0.4
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",22,Child,"49,948","+/-1,408",27.9,+/-0.6
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",23,Other relatives,"6,781",+/-743,3.8,+/-0.4
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",24,Other nonrelatives,"4,309","+/-1,128",2.4,+/-0.6
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",24.3,,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",24.5,MARITAL STATUS,,,,
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",25,Males 15 years and over,"71,661","+/-1,508","71,661",(X)
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",26,Never married,"22,107","+/-1,336",30.8,+/-1.4
610U800US29001,"Missouri State Senate District 1 (2022), Missouri",27,"Now married, except separated","39,417",+/-970,55.0,+/-1.5
