"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US37001,"State Senate District 1 (2022), North Carolina",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",0.5,,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",1,Total households,"85,023","+/-1,019","85,023",(X)
610U800US37001,"State Senate District 1 (2022), North Carolina",2,Married-couple household,"41,826","+/-1,001",49.2,+/-1.1
610U800US37001,"State Senate District 1 (2022), North Carolina",3,With children of the householder under 18 years,"12,147",+/-695,14.3,+/-0.8
610U800US37001,"State Senate District 1 (2022), North Carolina",4,Cohabiting couple household,"5,487",+/-596,6.5,+/-0.7
610U800US37001,"State Senate District 1 (2022), North Carolina",5,With children of the householder under 18 years,"1,690",+/-350,2.0,+/-0.4
610U800US37001,"State Senate District 1 (2022), North Carolina",6,"Male householder, no spouse/partner present","14,671",+/-835,17.3,+/-0.9
610U800US37001,"State Senate District 1 (2022), North Carolina",7,With children of the householder under 18 years,874,+/-235,1.0,+/-0.3
610U800US37001,"State Senate District 1 (2022), North Carolina",8,Householder living alone,"11,515",+/-736,13.5,+/-0.8
610U800US37001,"State Senate District 1 (2022), North Carolina",9,65 years and over,"4,143",+/-405,4.9,+/-0.5
610U800US37001,"State Senate District 1 (2022), North Carolina",10,"Female householder, no spouse/partner present","23,039",+/-940,27.1,+/-1.0
610U800US37001,"State Senate District 1 (2022), North Carolina",11,With children of the householder under 18 years,"3,468",+/-469,4.1,+/-0.5
610U800US37001,"State Senate District 1 (2022), North Carolina",12,Householder living alone,"14,311",+/-755,16.8,+/-0.9
610U800US37001,"State Senate District 1 (2022), North Carolina",13,65 years and over,"8,317",+/-528,9.8,+/-0.6
610U800US37001,"State Senate District 1 (2022), North Carolina",13.3,,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",14,Households with one or more people under 18 years,"20,624",+/-812,24.3,+/-0.9
610U800US37001,"State Senate District 1 (2022), North Carolina",15,Households with one or more people 65 years and over,"33,247",+/-595,39.1,+/-0.6
610U800US37001,"State Senate District 1 (2022), North Carolina",15.3,,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",16,Average household size,2.29,+/-0.03,(X),(X)
610U800US37001,"State Senate District 1 (2022), North Carolina",17,Average family size,2.82,+/-0.04,(X),(X)
610U800US37001,"State Senate District 1 (2022), North Carolina",17.3,,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",17.5,RELATIONSHIP,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",18,Population in households,"194,750",+/-399,"194,750",(X)
610U800US37001,"State Senate District 1 (2022), North Carolina",19,Householder,"85,023","+/-1,019",43.7,+/-0.5
610U800US37001,"State Senate District 1 (2022), North Carolina",20,Spouse,"41,842",+/-996,21.5,+/-0.5
610U800US37001,"State Senate District 1 (2022), North Carolina",21,Unmarried partner,"5,430",+/-619,2.8,+/-0.3
610U800US37001,"State Senate District 1 (2022), North Carolina",22,Child,"48,378","+/-1,304",24.8,+/-0.7
610U800US37001,"State Senate District 1 (2022), North Carolina",23,Other relatives,"9,325",+/-751,4.8,+/-0.4
610U800US37001,"State Senate District 1 (2022), North Carolina",24,Other nonrelatives,"4,752",+/-744,2.4,+/-0.4
610U800US37001,"State Senate District 1 (2022), North Carolina",24.3,,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",24.5,MARITAL STATUS,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",25,Males 15 years and over,"82,391",+/-481,"82,391",(X)
610U800US37001,"State Senate District 1 (2022), North Carolina",26,Never married,"23,869",+/-846,29.0,+/-1.0
610U800US37001,"State Senate District 1 (2022), North Carolina",27,"Now married, except separated","44,419","+/-1,041",53.9,+/-1.2
610U800US37001,"State Senate District 1 (2022), North Carolina",28,Separated,"1,751",+/-317,2.1,+/-0.4
610U800US37001,"State Senate District 1 (2022), North Carolina",29,Widowed,"3,007",+/-419,3.6,+/-0.5
610U800US37001,"State Senate District 1 (2022), North Carolina",30,Divorced,"9,345",+/-675,11.3,+/-0.8
610U800US37001,"State Senate District 1 (2022), North Carolina",30.3,,,,,
610U800US37001,"State Senate District 1 (2022), North Carolina",31,Females 15 years and over,"86,502",+/-336,"86,502",(X)
