"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US34001,"State Senate District 01 (2022), New Jersey",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",0.5,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",1,Total households,"89,884","+/-1,100","89,884",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",2,Married-couple household,"42,392","+/-1,335",47.2,+/-1.4
610U800US34001,"State Senate District 01 (2022), New Jersey",3,With children of the householder under 18 years,"13,380",+/-737,14.9,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",4,Cohabiting couple household,"6,682",+/-703,7.4,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",5,With children of the householder under 18 years,"2,396",+/-425,2.7,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",6,"Male householder, no spouse/partner present","14,574",+/-989,16.2,+/-1.0
610U800US34001,"State Senate District 01 (2022), New Jersey",7,With children of the householder under 18 years,944,+/-356,1.1,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",8,Householder living alone,"10,687",+/-816,11.9,+/-0.9
610U800US34001,"State Senate District 01 (2022), New Jersey",9,65 years and over,"4,082",+/-496,4.5,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",10,"Female householder, no spouse/partner present","26,236","+/-1,088",29.2,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",11,With children of the householder under 18 years,"5,157",+/-581,5.7,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",12,Householder living alone,"14,385",+/-799,16.0,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",13,65 years and over,"8,327",+/-463,9.3,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",13.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",14,Households with one or more people under 18 years,"25,426","+/-1,007",28.3,+/-1.0
610U800US34001,"State Senate District 01 (2022), New Jersey",15,Households with one or more people 65 years and over,"33,438",+/-664,37.2,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",15.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",16,Average household size,2.49,+/-0.03,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",17,Average family size,3.05,+/-0.05,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",17.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",17.5,RELATIONSHIP,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",18,Population in households,"223,561","+/-2,192","223,561",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",19,Householder,"89,884","+/-1,100",40.2,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",20,Spouse,"42,361","+/-1,249",18.9,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",21,Unmarried partner,"6,661",+/-692,3.0,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",22,Child,"64,244","+/-1,704",28.7,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",23,Other relatives,"15,971","+/-1,119",7.1,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",24,Other nonrelatives,"4,440",+/-740,2.0,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",24.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",24.5,MARITAL STATUS,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",25,Males 15 years and over,"98,895",+/-537,"98,895",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",26,Never married,"39,117","+/-1,529",39.6,+/-1.5
610U800US34001,"State Senate District 01 (2022), New Jersey",27,"Now married, except separated","46,462","+/-1,686",47.0,+/-1.8
610U800US34001,"State Senate District 01 (2022), New Jersey",28,Separated,"1,429",+/-327,1.4,+/-0.3
610U800US34001,"State Senate District 01 (2022), New Jersey",29,Widowed,"3,444",+/-489,3.5,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",30,Divorced,"8,443",+/-813,8.5,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",30.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",31,Females 15 years and over,"96,729",+/-465,"96,729",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",32,Never married,"29,030","+/-1,076",30.0,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",33,"Now married, except separated","44,834","+/-1,480",46.4,+/-1.5
610U800US34001,"State Senate District 01 (2022), New Jersey",34,Separated,"2,247",+/-428,2.3,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",35,Widowed,"9,746",+/-578,10.1,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",36,Divorced,"10,872",+/-649,11.2,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",36.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",36.5,FERTILITY,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"2,303",+/-448,"2,303",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",38,"Unmarried women (widowed, divorced, and never married)",885,+/-271,38.4,+/-9.6
610U800US34001,"State Senate District 01 (2022), New Jersey",39,"Per 1,000 unmarried women",32,+/-10,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",40,"Per 1,000 women 15 to 50 years old",49,+/-9,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",41,"Per 1,000 women 15 to 19 years old",10,+/-15,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",42,"Per 1,000 women 20 to 34 years old",89,+/-22,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",43,"Per 1,000 women 35 to 50 years old",23,+/-9,(X),(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",43.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",43.5,GRANDPARENTS,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",44,Number of grandparents living with own grandchildren under 18 years,"5,269",+/-758,"5,269",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",45,Grandparents responsible for grandchildren,"1,533",+/-307,29.1,+/-5.2
610U800US34001,"State Senate District 01 (2022), New Jersey",45.9,Years responsible for grandchildren,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",46,Less than 1 year,178,+/-92,3.4,+/-1.8
610U800US34001,"State Senate District 01 (2022), New Jersey",47,1 or 2 years,270,+/-125,5.1,+/-2.5
610U800US34001,"State Senate District 01 (2022), New Jersey",48,3 or 4 years,381,+/-187,7.2,+/-3.2
610U800US34001,"State Senate District 01 (2022), New Jersey",49,5 or more years,704,+/-226,13.4,+/-4.2
610U800US34001,"State Senate District 01 (2022), New Jersey",49.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",50,Number of grandparents responsible for own grandchildren under 18 years,"1,533",+/-307,"1,533",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",51,Who are female,"1,086",+/-245,70.8,+/-6.1
610U800US34001,"State Senate District 01 (2022), New Jersey",52,Who are married,"1,106",+/-294,72.1,+/-9.2
610U800US34001,"State Senate District 01 (2022), New Jersey",52.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",52.5,SCHOOL ENROLLMENT,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",53,Population 3 years and over enrolled in school,"52,154",+/-953,"52,154",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",54,"Nursery school, preschool","4,151",+/-650,8.0,+/-1.2
610U800US34001,"State Senate District 01 (2022), New Jersey",55,Kindergarten,"2,712",+/-392,5.2,+/-0.8
610U800US34001,"State Senate District 01 (2022), New Jersey",56,Elementary school (grades 1-8),"23,949",+/-750,45.9,+/-1.4
610U800US34001,"State Senate District 01 (2022), New Jersey",57,High school (grades 9-12),"11,559",+/-527,22.2,+/-1.1
610U800US34001,"State Senate District 01 (2022), New Jersey",58,College or graduate school,"9,783",+/-812,18.8,+/-1.4
610U800US34001,"State Senate District 01 (2022), New Jersey",58.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",58.5,EDUCATIONAL ATTAINMENT,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",59,Population 25 years and over,"168,552",+/-599,"168,552",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",60,Less than 9th grade,"9,161","+/-1,030",5.4,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",61,"9th to 12th grade, no diploma","13,995",+/-999,8.3,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",62,High school graduate (includes equivalency),"60,228","+/-1,753",35.7,+/-1.0
610U800US34001,"State Senate District 01 (2022), New Jersey",63,"Some college, no degree","31,622","+/-1,535",18.8,+/-0.9
610U800US34001,"State Senate District 01 (2022), New Jersey",64,Associate's degree,"12,283",+/-784,7.3,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",65,Bachelor's degree,"26,500","+/-1,178",15.7,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",66,Graduate or professional degree,"14,763",+/-904,8.8,+/-0.5
610U800US34001,"State Senate District 01 (2022), New Jersey",66.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",67,High school graduate or higher,"145,396","+/-1,344",86.3,+/-0.7
610U800US34001,"State Senate District 01 (2022), New Jersey",68,Bachelor's degree or higher,"41,263","+/-1,502",24.5,+/-0.9
610U800US34001,"State Senate District 01 (2022), New Jersey",68.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",68.5,VETERAN STATUS,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",69,Civilian population 18 years and over,"186,285",+/-593,"186,285",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",70,Civilian veterans,"12,072",+/-705,6.5,+/-0.4
610U800US34001,"State Senate District 01 (2022), New Jersey",70.3,,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
610U800US34001,"State Senate District 01 (2022), New Jersey",71,Total Civilian Noninstitutionalized Population,"224,957","+/-2,160","224,957",(X)
610U800US34001,"State Senate District 01 (2022), New Jersey",72,With a disability,"33,830","+/-1,338",15.0,+/-0.6
610U800US34001,"State Senate District 01 (2022), New Jersey",72.3,,,,,
