"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US35001,"State Senate District 001 (2022), New Mexico",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",0.5,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",1,Total households,"15,265",+/-636,"15,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",2,Married-couple household,"7,016",+/-599,46.0,+/-3.5
610U800US35001,"State Senate District 001 (2022), New Mexico",3,With children of the householder under 18 years,"2,780",+/-434,18.2,+/-2.8
610U800US35001,"State Senate District 001 (2022), New Mexico",4,Cohabiting couple household,"1,570",+/-294,10.3,+/-1.8
610U800US35001,"State Senate District 001 (2022), New Mexico",5,With children of the householder under 18 years,884,+/-276,5.8,+/-1.8
610U800US35001,"State Senate District 001 (2022), New Mexico",6,"Male householder, no spouse/partner present","2,492",+/-384,16.3,+/-2.5
610U800US35001,"State Senate District 001 (2022), New Mexico",7,With children of the householder under 18 years,222,+/-126,1.5,+/-0.8
610U800US35001,"State Senate District 001 (2022), New Mexico",8,Householder living alone,"1,758",+/-312,11.5,+/-2.0
610U800US35001,"State Senate District 001 (2022), New Mexico",9,65 years and over,579,+/-155,3.8,+/-1.0
610U800US35001,"State Senate District 001 (2022), New Mexico",10,"Female householder, no spouse/partner present","4,187",+/-488,27.4,+/-2.8
610U800US35001,"State Senate District 001 (2022), New Mexico",11,With children of the householder under 18 years,"1,144",+/-274,7.5,+/-1.8
610U800US35001,"State Senate District 001 (2022), New Mexico",12,Householder living alone,"1,855",+/-318,12.2,+/-1.9
610U800US35001,"State Senate District 001 (2022), New Mexico",13,65 years and over,865,+/-173,5.7,+/-1.1
610U800US35001,"State Senate District 001 (2022), New Mexico",13.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",14,Households with one or more people under 18 years,"5,854",+/-495,38.3,+/-2.8
610U800US35001,"State Senate District 001 (2022), New Mexico",15,Households with one or more people 65 years and over,"4,588",+/-425,30.1,+/-2.4
610U800US35001,"State Senate District 001 (2022), New Mexico",15.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",16,Average household size,2.94,+/-0.10,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",17,Average family size,3.48,+/-0.14,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",17.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",17.5,RELATIONSHIP,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",18,Population in households,"44,921","+/-1,689","44,921",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",19,Householder,"15,265",+/-636,34.0,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",20,Spouse,"6,857",+/-590,15.3,+/-1.3
610U800US35001,"State Senate District 001 (2022), New Mexico",21,Unmarried partner,"1,623",+/-317,3.6,+/-0.7
610U800US35001,"State Senate District 001 (2022), New Mexico",22,Child,"16,137","+/-1,021",35.9,+/-1.9
610U800US35001,"State Senate District 001 (2022), New Mexico",23,Other relatives,"3,891",+/-859,8.7,+/-1.8
610U800US35001,"State Senate District 001 (2022), New Mexico",24,Other nonrelatives,"1,148",+/-397,2.6,+/-0.9
610U800US35001,"State Senate District 001 (2022), New Mexico",24.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",24.5,MARITAL STATUS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",25,Males 15 years and over,"17,189",+/-670,"17,189",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",26,Never married,"7,584",+/-654,44.1,+/-3.4
610U800US35001,"State Senate District 001 (2022), New Mexico",27,"Now married, except separated","7,306",+/-651,42.5,+/-3.3
610U800US35001,"State Senate District 001 (2022), New Mexico",28,Separated,139,+/-92,0.8,+/-0.5
610U800US35001,"State Senate District 001 (2022), New Mexico",29,Widowed,613,+/-193,3.6,+/-1.1
610U800US35001,"State Senate District 001 (2022), New Mexico",30,Divorced,"1,547",+/-360,9.0,+/-2.1
610U800US35001,"State Senate District 001 (2022), New Mexico",30.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",31,Females 15 years and over,"18,122",+/-820,"18,122",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",32,Never married,"6,481",+/-616,35.8,+/-2.6
610U800US35001,"State Senate District 001 (2022), New Mexico",33,"Now married, except separated","7,656",+/-617,42.2,+/-3.4
610U800US35001,"State Senate District 001 (2022), New Mexico",34,Separated,311,+/-120,1.7,+/-0.7
610U800US35001,"State Senate District 001 (2022), New Mexico",35,Widowed,"1,139",+/-292,6.3,+/-1.5
610U800US35001,"State Senate District 001 (2022), New Mexico",36,Divorced,"2,535",+/-431,14.0,+/-2.3
610U800US35001,"State Senate District 001 (2022), New Mexico",36.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",36.5,FERTILITY,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",37,Number of women 15 to 50 years old who had a birth in the past 12 months,970,+/-263,970,(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",38,"Unmarried women (widowed, divorced, and never married)",326,+/-147,33.6,+/-12.7
610U800US35001,"State Senate District 001 (2022), New Mexico",39,"Per 1,000 unmarried women",47,+/-22,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",40,"Per 1,000 women 15 to 50 years old",86,+/-24,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",41,"Per 1,000 women 15 to 19 years old",3,+/-4,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",42,"Per 1,000 women 20 to 34 years old",143,+/-55,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",43,"Per 1,000 women 35 to 50 years old",73,+/-41,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",43.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",43.5,GRANDPARENTS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",44,Number of grandparents living with own grandchildren under 18 years,934,+/-242,934,(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",45,Grandparents responsible for grandchildren,364,+/-157,39.0,+/-11.9
610U800US35001,"State Senate District 001 (2022), New Mexico",45.9,Years responsible for grandchildren,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",46,Less than 1 year,105,+/-98,11.2,+/-9.8
610U800US35001,"State Senate District 001 (2022), New Mexico",47,1 or 2 years,70,+/-54,7.5,+/-5.2
610U800US35001,"State Senate District 001 (2022), New Mexico",48,3 or 4 years,90,+/-79,9.6,+/-7.8
610U800US35001,"State Senate District 001 (2022), New Mexico",49,5 or more years,99,+/-61,10.6,+/-6.3
610U800US35001,"State Senate District 001 (2022), New Mexico",49.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",50,Number of grandparents responsible for own grandchildren under 18 years,364,+/-157,364,(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",51,Who are female,271,+/-133,74.5,+/-12.9
610U800US35001,"State Senate District 001 (2022), New Mexico",52,Who are married,233,+/-127,64.0,+/-17.9
610U800US35001,"State Senate District 001 (2022), New Mexico",52.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",52.5,SCHOOL ENROLLMENT,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",53,Population 3 years and over enrolled in school,"13,431",+/-966,"13,431",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",54,"Nursery school, preschool",368,+/-162,2.7,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",55,Kindergarten,592,+/-198,4.4,+/-1.5
610U800US35001,"State Senate District 001 (2022), New Mexico",56,Elementary school (grades 1-8),"6,168",+/-571,45.9,+/-3.0
610U800US35001,"State Senate District 001 (2022), New Mexico",57,High school (grades 9-12),"3,338",+/-477,24.9,+/-3.3
610U800US35001,"State Senate District 001 (2022), New Mexico",58,College or graduate school,"2,965",+/-594,22.1,+/-3.8
610U800US35001,"State Senate District 001 (2022), New Mexico",58.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",58.5,EDUCATIONAL ATTAINMENT,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",59,Population 25 years and over,"28,065","+/-1,002","28,065",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",60,Less than 9th grade,918,+/-236,3.3,+/-0.8
610U800US35001,"State Senate District 001 (2022), New Mexico",61,"9th to 12th grade, no diploma","2,845",+/-457,10.1,+/-1.6
610U800US35001,"State Senate District 001 (2022), New Mexico",62,High school graduate (includes equivalency),"7,681",+/-726,27.4,+/-2.4
610U800US35001,"State Senate District 001 (2022), New Mexico",63,"Some college, no degree","7,938",+/-825,28.3,+/-2.7
610U800US35001,"State Senate District 001 (2022), New Mexico",64,Associate's degree,"3,747",+/-640,13.4,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",65,Bachelor's degree,"2,580",+/-379,9.2,+/-1.3
610U800US35001,"State Senate District 001 (2022), New Mexico",66,Graduate or professional degree,"2,356",+/-485,8.4,+/-1.7
610U800US35001,"State Senate District 001 (2022), New Mexico",66.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",67,High school graduate or higher,"24,302","+/-1,026",86.6,+/-1.6
610U800US35001,"State Senate District 001 (2022), New Mexico",68,Bachelor's degree or higher,"4,936",+/-639,17.6,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",68.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",68.5,VETERAN STATUS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",69,Civilian population 18 years and over,"32,730","+/-1,156","32,730",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",70,Civilian veterans,"2,088",+/-302,6.4,+/-0.9
610U800US35001,"State Senate District 001 (2022), New Mexico",70.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",71,Total Civilian Noninstitutionalized Population,"45,256","+/-1,685","45,256",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",72,With a disability,"6,713",+/-963,14.8,+/-2.0
610U800US35001,"State Senate District 001 (2022), New Mexico",72.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",73,Under 18 years,"13,524",+/-923,"13,524",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",74,With a disability,578,+/-273,4.3,+/-2.0
610U800US35001,"State Senate District 001 (2022), New Mexico",74.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",75,18 to 64 years,"25,271","+/-1,053","25,271",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",76,With a disability,"3,081",+/-525,12.2,+/-2.0
610U800US35001,"State Senate District 001 (2022), New Mexico",76.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",77,65 years and over,"6,461",+/-577,"6,461",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",78,With a disability,"3,054",+/-584,47.3,+/-6.7
610U800US35001,"State Senate District 001 (2022), New Mexico",78.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",78.5,RESIDENCE 1 YEAR AGO,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",79,Population 1 year and over,"45,517","+/-1,586","45,517",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",80,Same house,"39,807","+/-1,700",87.5,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",81,Different house (in the U.S. or abroad),"5,710","+/-1,037",12.5,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",82,Different house in the U.S.,"5,589","+/-1,018",12.3,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",83,Same county,"3,660",+/-894,8.0,+/-1.9
610U800US35001,"State Senate District 001 (2022), New Mexico",84,Different county,"1,929",+/-434,4.2,+/-1.0
610U800US35001,"State Senate District 001 (2022), New Mexico",85,Same state,583,+/-215,1.3,+/-0.5
610U800US35001,"State Senate District 001 (2022), New Mexico",86,Different state,"1,346",+/-385,3.0,+/-0.8
610U800US35001,"State Senate District 001 (2022), New Mexico",87,Abroad,121,+/-95,0.3,+/-0.2
610U800US35001,"State Senate District 001 (2022), New Mexico",87.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",87.5,PLACE OF BIRTH,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",88,Total population,"46,283","+/-1,593","46,283",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",89,Native,"44,701","+/-1,616",96.6,+/-0.8
610U800US35001,"State Senate District 001 (2022), New Mexico",90,Born in United States,"44,382","+/-1,611",95.9,+/-0.9
610U800US35001,"State Senate District 001 (2022), New Mexico",91,State of residence,"27,942","+/-1,569",60.4,+/-2.3
610U800US35001,"State Senate District 001 (2022), New Mexico",92,Different state,"16,440","+/-1,028",35.5,+/-2.1
610U800US35001,"State Senate District 001 (2022), New Mexico",93,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",319,+/-208,0.7,+/-0.4
610U800US35001,"State Senate District 001 (2022), New Mexico",94,Foreign born,"1,582",+/-356,3.4,+/-0.8
610U800US35001,"State Senate District 001 (2022), New Mexico",94.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",94.5,U.S. CITIZENSHIP STATUS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",95,Foreign-born population,"1,582",+/-356,"1,582",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",96,Naturalized U.S. citizen,493,+/-208,31.2,+/-11.5
610U800US35001,"State Senate District 001 (2022), New Mexico",97,Not a U.S. citizen,"1,089",+/-307,68.8,+/-11.5
610U800US35001,"State Senate District 001 (2022), New Mexico",97.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",97.5,YEAR OF ENTRY,,,,
