"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US39001,"State Senate District 1 (2022), Ohio",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",0.5,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",0.8,HOUSEHOLDS BY TYPE,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",1,Total households,"139,728",+/-824,"139,728",(X)
610U800US39001,"State Senate District 1 (2022), Ohio",2,Married-couple household,"72,500","+/-1,354",51.9,+/-0.9
610U800US39001,"State Senate District 1 (2022), Ohio",3,With children of the householder under 18 years,"25,773",+/-696,18.4,+/-0.5
610U800US39001,"State Senate District 1 (2022), Ohio",4,Cohabiting couple household,"10,092",+/-703,7.2,+/-0.5
610U800US39001,"State Senate District 1 (2022), Ohio",5,With children of the householder under 18 years,"3,851",+/-361,2.8,+/-0.3
610U800US39001,"State Senate District 1 (2022), Ohio",6,"Male householder, no spouse/partner present","25,313",+/-914,18.1,+/-0.6
610U800US39001,"State Senate District 1 (2022), Ohio",7,With children of the householder under 18 years,"2,501",+/-301,1.8,+/-0.2
610U800US39001,"State Senate District 1 (2022), Ohio",8,Householder living alone,"18,699",+/-858,13.4,+/-0.6
610U800US39001,"State Senate District 1 (2022), Ohio",9,65 years and over,"6,217",+/-504,4.4,+/-0.4
610U800US39001,"State Senate District 1 (2022), Ohio",10,"Female householder, no spouse/partner present","31,823",+/-966,22.8,+/-0.7
610U800US39001,"State Senate District 1 (2022), Ohio",11,With children of the householder under 18 years,"5,245",+/-456,3.8,+/-0.3
610U800US39001,"State Senate District 1 (2022), Ohio",12,Householder living alone,"20,235",+/-866,14.5,+/-0.6
610U800US39001,"State Senate District 1 (2022), Ohio",13,65 years and over,"11,310",+/-565,8.1,+/-0.4
610U800US39001,"State Senate District 1 (2022), Ohio",13.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",14,Households with one or more people under 18 years,"41,417",+/-892,29.6,+/-0.6
610U800US39001,"State Senate District 1 (2022), Ohio",15,Households with one or more people 65 years and over,"43,609",+/-627,31.2,+/-0.4
610U800US39001,"State Senate District 1 (2022), Ohio",15.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",16,Average household size,2.44,+/-0.01,(X),(X)
610U800US39001,"State Senate District 1 (2022), Ohio",17,Average family size,2.98,+/-0.03,(X),(X)
610U800US39001,"State Senate District 1 (2022), Ohio",17.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",17.5,RELATIONSHIP,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",18,Population in households,"341,631",+/-784,"341,631",(X)
610U800US39001,"State Senate District 1 (2022), Ohio",19,Householder,"139,728",+/-824,40.9,+/-0.2
610U800US39001,"State Senate District 1 (2022), Ohio",20,Spouse,"72,449","+/-1,257",21.2,+/-0.4
610U800US39001,"State Senate District 1 (2022), Ohio",21,Unmarried partner,"10,110",+/-673,3.0,+/-0.2
610U800US39001,"State Senate District 1 (2022), Ohio",22,Child,"98,413","+/-1,403",28.8,+/-0.4
610U800US39001,"State Senate District 1 (2022), Ohio",23,Other relatives,"13,220",+/-942,3.9,+/-0.3
610U800US39001,"State Senate District 1 (2022), Ohio",24,Other nonrelatives,"7,711",+/-765,2.3,+/-0.2
610U800US39001,"State Senate District 1 (2022), Ohio",24.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",24.5,MARITAL STATUS,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",25,Males 15 years and over,"140,238",+/-396,"140,238",(X)
610U800US39001,"State Senate District 1 (2022), Ohio",26,Never married,"43,464","+/-1,005",31.0,+/-0.7
610U800US39001,"State Senate District 1 (2022), Ohio",27,"Now married, except separated","74,875","+/-1,353",53.4,+/-1.0
610U800US39001,"State Senate District 1 (2022), Ohio",28,Separated,"1,726",+/-296,1.2,+/-0.2
610U800US39001,"State Senate District 1 (2022), Ohio",29,Widowed,"4,307",+/-431,3.1,+/-0.3
610U800US39001,"State Senate District 1 (2022), Ohio",30,Divorced,"15,866",+/-921,11.3,+/-0.7
610U800US39001,"State Senate District 1 (2022), Ohio",30.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",31,Females 15 years and over,"142,664",+/-439,"142,664",(X)
610U800US39001,"State Senate District 1 (2022), Ohio",32,Never married,"34,765",+/-960,24.4,+/-0.7
610U800US39001,"State Senate District 1 (2022), Ohio",33,"Now married, except separated","75,110","+/-1,406",52.6,+/-1.0
610U800US39001,"State Senate District 1 (2022), Ohio",34,Separated,"2,180",+/-342,1.5,+/-0.2
610U800US39001,"State Senate District 1 (2022), Ohio",35,Widowed,"13,406",+/-628,9.4,+/-0.4
610U800US39001,"State Senate District 1 (2022), Ohio",36,Divorced,"17,203",+/-813,12.1,+/-0.6
610U800US39001,"State Senate District 1 (2022), Ohio",36.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",36.5,FERTILITY,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"4,430",+/-391,"4,430",(X)
610U800US39001,"State Senate District 1 (2022), Ohio",38,"Unmarried women (widowed, divorced, and never married)","1,224",+/-222,27.6,+/-4.1
610U800US39001,"State Senate District 1 (2022), Ohio",39,"Per 1,000 unmarried women",32,+/-6,(X),(X)
610U800US39001,"State Senate District 1 (2022), Ohio",40,"Per 1,000 women 15 to 50 years old",59,+/-5,(X),(X)
610U800US39001,"State Senate District 1 (2022), Ohio",41,"Per 1,000 women 15 to 19 years old",10,+/-7,(X),(X)
610U800US39001,"State Senate District 1 (2022), Ohio",42,"Per 1,000 women 20 to 34 years old",122,+/-13,(X),(X)
610U800US39001,"State Senate District 1 (2022), Ohio",43,"Per 1,000 women 35 to 50 years old",19,+/-4,(X),(X)
610U800US39001,"State Senate District 1 (2022), Ohio",43.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",43.5,GRANDPARENTS,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",44,Number of grandparents living with own grandchildren under 18 years,"5,821",+/-534,"5,821",(X)
610U800US39001,"State Senate District 1 (2022), Ohio",45,Grandparents responsible for grandchildren,"2,624",+/-401,45.1,+/-5.8
610U800US39001,"State Senate District 1 (2022), Ohio",45.9,Years responsible for grandchildren,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",46,Less than 1 year,378,+/-144,6.5,+/-2.4
610U800US39001,"State Senate District 1 (2022), Ohio",47,1 or 2 years,494,+/-164,8.5,+/-2.9
610U800US39001,"State Senate District 1 (2022), Ohio",48,3 or 4 years,464,+/-215,8.0,+/-3.5
610U800US39001,"State Senate District 1 (2022), Ohio",49,5 or more years,"1,288",+/-267,22.1,+/-4.3
610U800US39001,"State Senate District 1 (2022), Ohio",49.3,,,,,
610U800US39001,"State Senate District 1 (2022), Ohio",50,Number of grandparents responsible for own grandchildren under 18 years,"2,624",+/-401,"2,624",(X)
610U800US39001,"State Senate District 1 (2022), Ohio",51,Who are female,"1,660",+/-270,63.3,+/-4.6
610U800US39001,"State Senate District 1 (2022), Ohio",52,Who are married,"1,882",+/-392,71.7,+/-7.4
