"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US01001,"State Senate District 1 (2022), Alabama",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",0.5,,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",0.8,EMPLOYMENT STATUS,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",1,Population 16 years and over,"118,470","+/-1,345","118,470",(X)
610U800US01001,"State Senate District 1 (2022), Alabama",2,In labor force,"69,215","+/-1,585",58.4,+/-1.2
610U800US01001,"State Senate District 1 (2022), Alabama",3,Civilian labor force,"69,103","+/-1,581",58.3,+/-1.2
610U800US01001,"State Senate District 1 (2022), Alabama",4,Employed,"66,408","+/-1,465",56.1,+/-1.1
610U800US01001,"State Senate District 1 (2022), Alabama",5,Unemployed,"2,695",+/-539,2.3,+/-0.5
610U800US01001,"State Senate District 1 (2022), Alabama",6,Armed Forces,112,+/-93,0.1,+/-0.1
610U800US01001,"State Senate District 1 (2022), Alabama",7,Not in labor force,"49,255","+/-1,525",41.6,+/-1.2
610U800US01001,"State Senate District 1 (2022), Alabama",7.3,,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",8,Civilian labor force,"69,103","+/-1,581","69,103",(X)
610U800US01001,"State Senate District 1 (2022), Alabama",9,Unemployment Rate,(X),(X),3.9,+/-0.8
610U800US01001,"State Senate District 1 (2022), Alabama",9.3,,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",10,Females 16 years and over,"61,173",+/-682,"61,173",(X)
610U800US01001,"State Senate District 1 (2022), Alabama",11,In labor force,"31,072",+/-963,50.8,+/-1.6
610U800US01001,"State Senate District 1 (2022), Alabama",12,Civilian labor force,"31,072",+/-963,50.8,+/-1.6
610U800US01001,"State Senate District 1 (2022), Alabama",13,Employed,"29,591",+/-969,48.4,+/-1.6
610U800US01001,"State Senate District 1 (2022), Alabama",13.3,,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",14,Own children of the householder under 6 years,"8,173",+/-511,"8,173",(X)
610U800US01001,"State Senate District 1 (2022), Alabama",15,All parents in family in labor force,"4,973",+/-574,60.8,+/-6.0
610U800US01001,"State Senate District 1 (2022), Alabama",15.3,,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",16,Own children of the householder 6 to 17 years,"19,271",+/-736,"19,271",(X)
610U800US01001,"State Senate District 1 (2022), Alabama",17,All parents in family in labor force,"13,200",+/-890,68.5,+/-3.6
610U800US01001,"State Senate District 1 (2022), Alabama",17.3,,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",17.5,COMMUTING TO WORK,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",18,Workers 16 years and over,"65,430","+/-1,513","65,430",(X)
610U800US01001,"State Senate District 1 (2022), Alabama",19,"Car, truck, or van -- drove alone","55,729","+/-1,831",85.2,+/-1.6
610U800US01001,"State Senate District 1 (2022), Alabama",20,"Car, truck, or van -- carpooled","5,495",+/-694,8.4,+/-1.1
610U800US01001,"State Senate District 1 (2022), Alabama",21,Public transportation (excluding taxicab),101,+/-103,0.2,+/-0.2
610U800US01001,"State Senate District 1 (2022), Alabama",22,Walked,492,+/-138,0.8,+/-0.2
610U800US01001,"State Senate District 1 (2022), Alabama",23,Other means,714,+/-272,1.1,+/-0.4
610U800US01001,"State Senate District 1 (2022), Alabama",24,Worked from home,"2,899",+/-656,4.4,+/-1.0
610U800US01001,"State Senate District 1 (2022), Alabama",24.3,,,,,
610U800US01001,"State Senate District 1 (2022), Alabama",25,Mean travel time to work (minutes),26.7,+/-0.8,(X),(X)
610U800US01001,"State Senate District 1 (2022), Alabama",25.3,,,,,
