"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US21001,"State Senate District 1 (2022), Kentucky",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US21001,"State Senate District 1 (2022), Kentucky",0.5,,,,,
610U800US21001,"State Senate District 1 (2022), Kentucky",0.8,EMPLOYMENT STATUS,,,,
610U800US21001,"State Senate District 1 (2022), Kentucky",1,Population 16 years and over,"95,548",+/-327,"95,548",(X)
610U800US21001,"State Senate District 1 (2022), Kentucky",2,In labor force,"52,234","+/-1,010",54.7,+/-1.1
610U800US21001,"State Senate District 1 (2022), Kentucky",3,Civilian labor force,"52,171","+/-1,006",54.6,+/-1.1
610U800US21001,"State Senate District 1 (2022), Kentucky",4,Employed,"49,752","+/-1,074",52.1,+/-1.1
610U800US21001,"State Senate District 1 (2022), Kentucky",5,Unemployed,"2,419",+/-379,2.5,+/-0.4
610U800US21001,"State Senate District 1 (2022), Kentucky",6,Armed Forces,63,+/-55,0.1,+/-0.1
610U800US21001,"State Senate District 1 (2022), Kentucky",7,Not in labor force,"43,314","+/-1,074",45.3,+/-1.1
610U800US21001,"State Senate District 1 (2022), Kentucky",7.3,,,,,
610U800US21001,"State Senate District 1 (2022), Kentucky",8,Civilian labor force,"52,171","+/-1,006","52,171",(X)
610U800US21001,"State Senate District 1 (2022), Kentucky",9,Unemployment Rate,(X),(X),4.6,+/-0.7
610U800US21001,"State Senate District 1 (2022), Kentucky",9.3,,,,,
610U800US21001,"State Senate District 1 (2022), Kentucky",10,Females 16 years and over,"48,590",+/-262,"48,590",(X)
610U800US21001,"State Senate District 1 (2022), Kentucky",11,In labor force,"24,873",+/-671,51.2,+/-1.4
610U800US21001,"State Senate District 1 (2022), Kentucky",12,Civilian labor force,"24,871",+/-672,51.2,+/-1.4
610U800US21001,"State Senate District 1 (2022), Kentucky",13,Employed,"23,885",+/-665,49.2,+/-1.3
610U800US21001,"State Senate District 1 (2022), Kentucky",13.3,,,,,
