"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US26001,"State Senate District 1 (2022), Michigan",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",0.5,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",0.8,EMPLOYMENT STATUS,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",1,Population 16 years and over,"209,967","+/-2,990","209,967",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",2,In labor force,"120,439","+/-2,285",57.4,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",3,Civilian labor force,"120,367","+/-2,277",57.3,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",4,Employed,"107,450","+/-2,069",51.2,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",5,Unemployed,"12,917",+/-976,6.2,+/-0.4
610U800US26001,"State Senate District 1 (2022), Michigan",6,Armed Forces,72,+/-55,0.0,+/-0.1
610U800US26001,"State Senate District 1 (2022), Michigan",7,Not in labor force,"89,528","+/-1,978",42.6,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",7.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",8,Civilian labor force,"120,367","+/-2,277","120,367",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",9,Unemployment Rate,(X),(X),10.7,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",9.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",10,Females 16 years and over,"107,405","+/-1,954","107,405",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",11,In labor force,"56,816","+/-1,698",52.9,+/-1.1
610U800US26001,"State Senate District 1 (2022), Michigan",12,Civilian labor force,"56,816","+/-1,698",52.9,+/-1.1
610U800US26001,"State Senate District 1 (2022), Michigan",13,Employed,"51,682","+/-1,636",48.1,+/-1.1
610U800US26001,"State Senate District 1 (2022), Michigan",13.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",14,Own children of the householder under 6 years,"21,900","+/-1,285","21,900",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",15,All parents in family in labor force,"13,293","+/-1,183",60.7,+/-3.3
610U800US26001,"State Senate District 1 (2022), Michigan",15.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",16,Own children of the householder 6 to 17 years,"40,885","+/-1,569","40,885",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",17,All parents in family in labor force,"25,227","+/-1,564",61.7,+/-2.7
610U800US26001,"State Senate District 1 (2022), Michigan",17.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",17.5,COMMUTING TO WORK,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",18,Workers 16 years and over,"105,293","+/-2,127","105,293",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",19,"Car, truck, or van -- drove alone","79,188","+/-1,951",75.2,+/-1.4
610U800US26001,"State Senate District 1 (2022), Michigan",20,"Car, truck, or van -- carpooled","11,400","+/-1,046",10.8,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",21,Public transportation (excluding taxicab),"2,984",+/-532,2.8,+/-0.5
610U800US26001,"State Senate District 1 (2022), Michigan",22,Walked,"2,396",+/-478,2.3,+/-0.4
610U800US26001,"State Senate District 1 (2022), Michigan",23,Other means,"1,958",+/-463,1.9,+/-0.4
610U800US26001,"State Senate District 1 (2022), Michigan",24,Worked from home,"7,367",+/-959,7.0,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",24.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",25,Mean travel time to work (minutes),24.5,+/-0.5,(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",25.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",25.5,OCCUPATION,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",26,Civilian employed population 16 years and over,"107,450","+/-2,069","107,450",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",27,"Management, business, science, and arts occupations","27,444","+/-1,234",25.5,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",28,Service occupations,"22,729","+/-1,189",21.2,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",29,Sales and office occupations,"21,850","+/-1,233",20.3,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",30,"Natural resources, construction, and maintenance occupations","10,499",+/-891,9.8,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",31,"Production, transportation, and material moving occupations","24,928","+/-1,335",23.2,+/-1.2
610U800US26001,"State Senate District 1 (2022), Michigan",31.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",31.5,INDUSTRY,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",32,Civilian employed population 16 years and over,"107,450","+/-2,069","107,450",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",33,"Agriculture, forestry, fishing and hunting, and mining",307,+/-108,0.3,+/-0.1
610U800US26001,"State Senate District 1 (2022), Michigan",34,Construction,"6,936",+/-688,6.5,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",35,Manufacturing,"18,702","+/-1,081",17.4,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",36,Wholesale trade,"2,414",+/-529,2.2,+/-0.5
610U800US26001,"State Senate District 1 (2022), Michigan",37,Retail trade,"12,107",+/-953,11.3,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",38,"Transportation and warehousing, and utilities","7,279",+/-734,6.8,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",39,Information,"1,242",+/-355,1.2,+/-0.3
610U800US26001,"State Senate District 1 (2022), Michigan",40,"Finance and insurance, and real estate and rental and leasing","5,434",+/-638,5.1,+/-0.6
610U800US26001,"State Senate District 1 (2022), Michigan",41,"Professional, scientific, and management, and administrative and waste management services","10,882",+/-867,10.1,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",42,"Educational services, and health care and social assistance","23,036","+/-1,279",21.4,+/-1.1
610U800US26001,"State Senate District 1 (2022), Michigan",43,"Arts, entertainment, and recreation, and accommodation and food services","10,596",+/-880,9.9,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",44,"Other services, except public administration","5,349",+/-523,5.0,+/-0.5
610U800US26001,"State Senate District 1 (2022), Michigan",45,Public administration,"3,166",+/-428,2.9,+/-0.4
610U800US26001,"State Senate District 1 (2022), Michigan",45.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",45.5,CLASS OF WORKER,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",46,Civilian employed population 16 years and over,"107,450","+/-2,069","107,450",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",47,Private wage and salary workers,"93,608","+/-1,969",87.1,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",48,Government workers,"9,550",+/-809,8.9,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",49,Self-employed in own not incorporated business workers,"4,157",+/-518,3.9,+/-0.5
610U800US26001,"State Senate District 1 (2022), Michigan",50,Unpaid family workers,135,+/-83,0.1,+/-0.1
610U800US26001,"State Senate District 1 (2022), Michigan",50.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
610U800US26001,"State Senate District 1 (2022), Michigan",51,Total households,"104,011","+/-1,752","104,011",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",52,"Less than $10,000","12,585","+/-1,037",12.1,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",53,"$10,000 to $14,999","6,852",+/-601,6.6,+/-0.6
610U800US26001,"State Senate District 1 (2022), Michigan",54,"$15,000 to $24,999","11,986",+/-838,11.5,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",55,"$25,000 to $34,999","12,085",+/-920,11.6,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",56,"$35,000 to $49,999","15,178",+/-839,14.6,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",57,"$50,000 to $74,999","17,943","+/-1,051",17.3,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",58,"$75,000 to $99,999","11,188",+/-840,10.8,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",59,"$100,000 to $149,999","10,588",+/-724,10.2,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",60,"$150,000 to $199,999","3,496",+/-404,3.4,+/-0.4
610U800US26001,"State Senate District 1 (2022), Michigan",61,"$200,000 or more","2,110",+/-352,2.0,+/-0.3
610U800US26001,"State Senate District 1 (2022), Michigan",62,Median household income (dollars),"42,496","+/-1,128",(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",63,Mean household income (dollars),"58,797","+/-1,318",(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",63.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",64,With earnings,"72,039","+/-1,447",69.3,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",65,Mean earnings (dollars),"63,052","+/-1,503",(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",66,With Social Security,"33,999","+/-1,243",32.7,+/-1.1
610U800US26001,"State Senate District 1 (2022), Michigan",67,Mean Social Security income (dollars),"18,791",+/-372,(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",68,With retirement income,"23,166","+/-1,012",22.3,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",69,Mean retirement income (dollars),"22,760","+/-2,048",(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",69.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",70,With Supplemental Security Income,"11,156",+/-712,10.7,+/-0.7
610U800US26001,"State Senate District 1 (2022), Michigan",71,Mean Supplemental Security Income (dollars),"10,343",+/-449,(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",72,With cash public assistance income,"4,472",+/-554,4.3,+/-0.5
610U800US26001,"State Senate District 1 (2022), Michigan",73,Mean cash public assistance income (dollars),"3,812",+/-742,(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",74,With Food Stamp/SNAP benefits in the past 12 months,"27,276","+/-1,147",26.2,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",74.3,,,,,
610U800US26001,"State Senate District 1 (2022), Michigan",75,Families,"59,601","+/-1,440","59,601",(X)
610U800US26001,"State Senate District 1 (2022), Michigan",76,"Less than $10,000","5,221",+/-648,8.8,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",77,"$10,000 to $14,999","2,341",+/-328,3.9,+/-0.5
610U800US26001,"State Senate District 1 (2022), Michigan",78,"$15,000 to $24,999","5,489",+/-516,9.2,+/-0.9
610U800US26001,"State Senate District 1 (2022), Michigan",79,"$25,000 to $34,999","5,568",+/-575,9.3,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",80,"$35,000 to $49,999","9,040",+/-632,15.2,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",81,"$50,000 to $74,999","12,045",+/-785,20.2,+/-1.1
610U800US26001,"State Senate District 1 (2022), Michigan",82,"$75,000 to $99,999","7,420",+/-741,12.4,+/-1.1
610U800US26001,"State Senate District 1 (2022), Michigan",83,"$100,000 to $149,999","7,922",+/-611,13.3,+/-1.0
610U800US26001,"State Senate District 1 (2022), Michigan",84,"$150,000 to $199,999","3,064",+/-435,5.1,+/-0.8
610U800US26001,"State Senate District 1 (2022), Michigan",85,"$200,000 or more","1,491",+/-244,2.5,+/-0.4
610U800US26001,"State Senate District 1 (2022), Michigan",86,Median family income (dollars),"53,705","+/-1,446",(X),(X)
610U800US26001,"State Senate District 1 (2022), Michigan",87,Mean family income (dollars),"69,406","+/-2,164",(X),(X)
