"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US27001,"State Senate District 1 (2022), Minnesota",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",0.5,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",0.8,EMPLOYMENT STATUS,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",1,Population 16 years and over,"67,355",+/-176,"67,355",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",2,In labor force,"43,968",+/-544,65.3,+/-0.8
610U800US27001,"State Senate District 1 (2022), Minnesota",3,Civilian labor force,"43,931",+/-543,65.2,+/-0.8
610U800US27001,"State Senate District 1 (2022), Minnesota",4,Employed,"42,196",+/-572,62.6,+/-0.9
610U800US27001,"State Senate District 1 (2022), Minnesota",5,Unemployed,"1,735",+/-225,2.6,+/-0.3
610U800US27001,"State Senate District 1 (2022), Minnesota",6,Armed Forces,37,+/-28,0.1,+/-0.1
610U800US27001,"State Senate District 1 (2022), Minnesota",7,Not in labor force,"23,387",+/-549,34.7,+/-0.8
610U800US27001,"State Senate District 1 (2022), Minnesota",7.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",8,Civilian labor force,"43,931",+/-543,"43,931",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",9,Unemployment Rate,(X),(X),3.9,+/-0.5
610U800US27001,"State Senate District 1 (2022), Minnesota",9.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",10,Females 16 years and over,"33,023",+/-148,"33,023",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",11,In labor force,"20,109",+/-302,60.9,+/-0.9
610U800US27001,"State Senate District 1 (2022), Minnesota",12,Civilian labor force,"20,109",+/-302,60.9,+/-0.9
610U800US27001,"State Senate District 1 (2022), Minnesota",13,Employed,"19,403",+/-323,58.8,+/-0.9
610U800US27001,"State Senate District 1 (2022), Minnesota",13.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",14,Own children of the householder under 6 years,"6,346",+/-249,"6,346",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",15,All parents in family in labor force,"4,880",+/-278,76.9,+/-2.8
610U800US27001,"State Senate District 1 (2022), Minnesota",15.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",16,Own children of the householder 6 to 17 years,"13,133",+/-260,"13,133",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",17,All parents in family in labor force,"10,665",+/-360,81.2,+/-2.3
610U800US27001,"State Senate District 1 (2022), Minnesota",17.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",17.5,COMMUTING TO WORK,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",18,Workers 16 years and over,"41,298",+/-560,"41,298",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",19,"Car, truck, or van -- drove alone","31,761",+/-598,76.9,+/-1.0
610U800US27001,"State Senate District 1 (2022), Minnesota",20,"Car, truck, or van -- carpooled","3,956",+/-294,9.6,+/-0.7
610U800US27001,"State Senate District 1 (2022), Minnesota",21,Public transportation (excluding taxicab),183,+/-86,0.4,+/-0.2
610U800US27001,"State Senate District 1 (2022), Minnesota",22,Walked,"1,404",+/-182,3.4,+/-0.4
610U800US27001,"State Senate District 1 (2022), Minnesota",23,Other means,814,+/-167,2.0,+/-0.4
610U800US27001,"State Senate District 1 (2022), Minnesota",24,Worked from home,"3,180",+/-254,7.7,+/-0.6
610U800US27001,"State Senate District 1 (2022), Minnesota",24.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",25,Mean travel time to work (minutes),18.7,+/-0.5,(X),(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",25.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",25.5,OCCUPATION,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",26,Civilian employed population 16 years and over,"42,196",+/-572,"42,196",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",27,"Management, business, science, and arts occupations","14,033",+/-470,33.3,+/-1.1
610U800US27001,"State Senate District 1 (2022), Minnesota",28,Service occupations,"6,660",+/-385,15.8,+/-0.9
610U800US27001,"State Senate District 1 (2022), Minnesota",29,Sales and office occupations,"8,328",+/-413,19.7,+/-1.0
610U800US27001,"State Senate District 1 (2022), Minnesota",30,"Natural resources, construction, and maintenance occupations","4,884",+/-305,11.6,+/-0.7
610U800US27001,"State Senate District 1 (2022), Minnesota",31,"Production, transportation, and material moving occupations","8,291",+/-424,19.6,+/-1.0
610U800US27001,"State Senate District 1 (2022), Minnesota",31.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",31.5,INDUSTRY,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",32,Civilian employed population 16 years and over,"42,196",+/-572,"42,196",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",33,"Agriculture, forestry, fishing and hunting, and mining","3,270",+/-223,7.7,+/-0.5
610U800US27001,"State Senate District 1 (2022), Minnesota",34,Construction,"2,784",+/-233,6.6,+/-0.6
610U800US27001,"State Senate District 1 (2022), Minnesota",35,Manufacturing,"7,287",+/-412,17.3,+/-1.0
610U800US27001,"State Senate District 1 (2022), Minnesota",36,Wholesale trade,"2,652",+/-226,6.3,+/-0.5
610U800US27001,"State Senate District 1 (2022), Minnesota",37,Retail trade,"4,542",+/-336,10.8,+/-0.8
610U800US27001,"State Senate District 1 (2022), Minnesota",38,"Transportation and warehousing, and utilities","1,784",+/-172,4.2,+/-0.4
610U800US27001,"State Senate District 1 (2022), Minnesota",39,Information,440,+/-110,1.0,+/-0.3
610U800US27001,"State Senate District 1 (2022), Minnesota",40,"Finance and insurance, and real estate and rental and leasing","1,605",+/-192,3.8,+/-0.5
610U800US27001,"State Senate District 1 (2022), Minnesota",41,"Professional, scientific, and management, and administrative and waste management services","2,105",+/-219,5.0,+/-0.5
610U800US27001,"State Senate District 1 (2022), Minnesota",42,"Educational services, and health care and social assistance","9,851",+/-407,23.3,+/-0.9
610U800US27001,"State Senate District 1 (2022), Minnesota",43,"Arts, entertainment, and recreation, and accommodation and food services","2,537",+/-254,6.0,+/-0.6
610U800US27001,"State Senate District 1 (2022), Minnesota",44,"Other services, except public administration","1,872",+/-237,4.4,+/-0.6
610U800US27001,"State Senate District 1 (2022), Minnesota",45,Public administration,"1,467",+/-185,3.5,+/-0.4
610U800US27001,"State Senate District 1 (2022), Minnesota",45.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",45.5,CLASS OF WORKER,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",46,Civilian employed population 16 years and over,"42,196",+/-572,"42,196",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",47,Private wage and salary workers,"32,933",+/-604,78.0,+/-0.8
610U800US27001,"State Senate District 1 (2022), Minnesota",48,Government workers,"5,584",+/-333,13.2,+/-0.8
610U800US27001,"State Senate District 1 (2022), Minnesota",49,Self-employed in own not incorporated business workers,"3,596",+/-249,8.5,+/-0.6
610U800US27001,"State Senate District 1 (2022), Minnesota",50,Unpaid family workers,83,+/-32,0.2,+/-0.1
610U800US27001,"State Senate District 1 (2022), Minnesota",50.3,,,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
610U800US27001,"State Senate District 1 (2022), Minnesota",51,Total households,"34,206",+/-346,"34,206",(X)
610U800US27001,"State Senate District 1 (2022), Minnesota",52,"Less than $10,000","1,568",+/-175,4.6,+/-0.5
610U800US27001,"State Senate District 1 (2022), Minnesota",53,"$10,000 to $14,999","1,750",+/-209,5.1,+/-0.6
610U800US27001,"State Senate District 1 (2022), Minnesota",54,"$15,000 to $24,999","3,092",+/-264,9.0,+/-0.8
