"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US42001,"Senate District 1 (2022), Pennsylvania",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",0.5,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",0.8,EMPLOYMENT STATUS,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",1,Population 16 years and over,"201,424","+/-3,506","201,424",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",2,In labor force,"148,374","+/-2,961",73.7,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",3,Civilian labor force,"148,223","+/-2,957",73.6,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",4,Employed,"141,151","+/-2,816",70.1,+/-1.0
610U800US42001,"Senate District 1 (2022), Pennsylvania",5,Unemployed,"7,072",+/-857,3.5,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",6,Armed Forces,151,+/-83,0.1,+/-0.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",7,Not in labor force,"53,050","+/-2,135",26.3,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",7.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",8,Civilian labor force,"148,223","+/-2,957","148,223",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",9,Unemployment Rate,(X),(X),4.8,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",9.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",10,Females 16 years and over,"102,302","+/-2,116","102,302",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",11,In labor force,"71,331","+/-1,660",69.7,+/-1.3
610U800US42001,"Senate District 1 (2022), Pennsylvania",12,Civilian labor force,"71,297","+/-1,656",69.7,+/-1.3
610U800US42001,"Senate District 1 (2022), Pennsylvania",13,Employed,"68,799","+/-1,618",67.3,+/-1.3
610U800US42001,"Senate District 1 (2022), Pennsylvania",13.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",14,Own children of the householder under 6 years,"13,194","+/-1,063","13,194",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",15,All parents in family in labor force,"10,547","+/-1,044",79.9,+/-3.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",15.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",16,Own children of the householder 6 to 17 years,"17,870","+/-1,402","17,870",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",17,All parents in family in labor force,"13,475","+/-1,144",75.4,+/-3.0
610U800US42001,"Senate District 1 (2022), Pennsylvania",17.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",17.5,COMMUTING TO WORK,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",18,Workers 16 years and over,"138,652","+/-2,755","138,652",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",19,"Car, truck, or van -- drove alone","43,588","+/-1,687",31.4,+/-1.0
610U800US42001,"Senate District 1 (2022), Pennsylvania",20,"Car, truck, or van -- carpooled","7,128",+/-924,5.1,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",21,Public transportation (excluding taxicab),"27,082","+/-1,445",19.5,+/-1.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",22,Walked,"25,065","+/-1,262",18.1,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",23,Other means,"10,300",+/-834,7.4,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",24,Worked from home,"25,489","+/-1,655",18.4,+/-1.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",24.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",25,Mean travel time to work (minutes),28.4,+/-0.5,(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",25.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",25.5,OCCUPATION,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",26,Civilian employed population 16 years and over,"141,151","+/-2,816","141,151",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",27,"Management, business, science, and arts occupations","91,510","+/-2,151",64.8,+/-1.2
610U800US42001,"Senate District 1 (2022), Pennsylvania",28,Service occupations,"15,630","+/-1,278",11.1,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",29,Sales and office occupations,"21,732","+/-1,315",15.4,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",30,"Natural resources, construction, and maintenance occupations","4,338",+/-754,3.1,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",31,"Production, transportation, and material moving occupations","7,941",+/-966,5.6,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",31.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",31.5,INDUSTRY,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",32,Civilian employed population 16 years and over,"141,151","+/-2,816","141,151",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",33,"Agriculture, forestry, fishing and hunting, and mining",209,+/-92,0.1,+/-0.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",34,Construction,"4,398",+/-747,3.1,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",35,Manufacturing,"9,400",+/-847,6.7,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",36,Wholesale trade,"2,975",+/-457,2.1,+/-0.3
610U800US42001,"Senate District 1 (2022), Pennsylvania",37,Retail trade,"9,785",+/-818,6.9,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",38,"Transportation and warehousing, and utilities","4,581",+/-571,3.2,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",39,Information,"4,741",+/-743,3.4,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",40,"Finance and insurance, and real estate and rental and leasing","12,338",+/-926,8.7,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",41,"Professional, scientific, and management, and administrative and waste management services","26,771","+/-1,359",19.0,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",42,"Educational services, and health care and social assistance","41,769","+/-1,341",29.6,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",43,"Arts, entertainment, and recreation, and accommodation and food services","12,727","+/-1,044",9.0,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",44,"Other services, except public administration","5,953",+/-659,4.2,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",45,Public administration,"5,504",+/-703,3.9,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",45.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",45.5,CLASS OF WORKER,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",46,Civilian employed population 16 years and over,"141,151","+/-2,816","141,151",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",47,Private wage and salary workers,"121,949","+/-2,900",86.4,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",48,Government workers,"12,123","+/-1,034",8.6,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",49,Self-employed in own not incorporated business workers,"6,860",+/-780,4.9,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",50,Unpaid family workers,219,+/-119,0.2,+/-0.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",50.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",51,Total households,"114,830","+/-2,146","114,830",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",52,"Less than $10,000","6,600",+/-732,5.7,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",53,"$10,000 to $14,999","4,312",+/-482,3.8,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",54,"$15,000 to $24,999","5,786",+/-666,5.0,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",55,"$25,000 to $34,999","7,146",+/-832,6.2,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",56,"$35,000 to $49,999","9,170",+/-795,8.0,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",57,"$50,000 to $74,999","17,508","+/-1,182",15.2,+/-1.0
610U800US42001,"Senate District 1 (2022), Pennsylvania",58,"$75,000 to $99,999","14,499","+/-1,124",12.6,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",59,"$100,000 to $149,999","19,301","+/-1,179",16.8,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",60,"$150,000 to $199,999","11,849",+/-726,10.3,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",61,"$200,000 or more","18,659","+/-1,008",16.2,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",62,Median household income (dollars),"85,634","+/-1,959",(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",63,Mean household income (dollars),"124,101","+/-3,532",(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",63.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",64,With earnings,"95,823","+/-1,955",83.4,+/-0.8
610U800US42001,"Senate District 1 (2022), Pennsylvania",65,Mean earnings (dollars),"128,274","+/-3,825",(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",66,With Social Security,"24,178","+/-1,142",21.1,+/-1.0
610U800US42001,"Senate District 1 (2022), Pennsylvania",67,Mean Social Security income (dollars),"19,840",+/-763,(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",68,With retirement income,"16,582","+/-1,137",14.4,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",69,Mean retirement income (dollars),"31,186","+/-2,246",(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",69.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",70,With Supplemental Security Income,"4,448",+/-553,3.9,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",71,Mean Supplemental Security Income (dollars),"9,355",+/-530,(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",72,With cash public assistance income,"3,630",+/-468,3.2,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",73,Mean cash public assistance income (dollars),"3,146",+/-508,(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",74,With Food Stamp/SNAP benefits in the past 12 months,"11,822",+/-863,10.3,+/-0.7
