"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US48001,"State Senate District 1 (2022), Texas",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US48001,"State Senate District 1 (2022), Texas",0.5,,,,,
610U800US48001,"State Senate District 1 (2022), Texas",0.8,EMPLOYMENT STATUS,,,,
610U800US48001,"State Senate District 1 (2022), Texas",1,Population 16 years and over,"724,138",+/-838,"724,138",(X)
610U800US48001,"State Senate District 1 (2022), Texas",2,In labor force,"421,752","+/-3,284",58.2,+/-0.5
610U800US48001,"State Senate District 1 (2022), Texas",3,Civilian labor force,"421,408","+/-3,278",58.2,+/-0.5
610U800US48001,"State Senate District 1 (2022), Texas",4,Employed,"400,691","+/-3,652",55.3,+/-0.5
610U800US48001,"State Senate District 1 (2022), Texas",5,Unemployed,"20,717","+/-1,200",2.9,+/-0.2
610U800US48001,"State Senate District 1 (2022), Texas",6,Armed Forces,344,+/-179,0.0,+/-0.1
610U800US48001,"State Senate District 1 (2022), Texas",7,Not in labor force,"302,386","+/-3,331",41.8,+/-0.5
610U800US48001,"State Senate District 1 (2022), Texas",7.3,,,,,
610U800US48001,"State Senate District 1 (2022), Texas",8,Civilian labor force,"421,408","+/-3,278","421,408",(X)
610U800US48001,"State Senate District 1 (2022), Texas",9,Unemployment Rate,(X),(X),4.9,+/-0.3
610U800US48001,"State Senate District 1 (2022), Texas",9.3,,,,,
610U800US48001,"State Senate District 1 (2022), Texas",10,Females 16 years and over,"369,116",+/-701,"369,116",(X)
610U800US48001,"State Senate District 1 (2022), Texas",11,In labor force,"198,436","+/-2,221",53.8,+/-0.6
610U800US48001,"State Senate District 1 (2022), Texas",12,Civilian labor force,"198,430","+/-2,220",53.8,+/-0.6
610U800US48001,"State Senate District 1 (2022), Texas",13,Employed,"189,691","+/-2,390",51.4,+/-0.6
610U800US48001,"State Senate District 1 (2022), Texas",13.3,,,,,
610U800US48001,"State Senate District 1 (2022), Texas",14,Own children of the householder under 6 years,"65,821","+/-1,043","65,821",(X)
610U800US48001,"State Senate District 1 (2022), Texas",15,All parents in family in labor force,"41,251","+/-1,367",62.7,+/-1.8
610U800US48001,"State Senate District 1 (2022), Texas",15.3,,,,,
610U800US48001,"State Senate District 1 (2022), Texas",16,Own children of the householder 6 to 17 years,"142,024","+/-1,496","142,024",(X)
610U800US48001,"State Senate District 1 (2022), Texas",17,All parents in family in labor force,"97,326","+/-2,306",68.5,+/-1.5
610U800US48001,"State Senate District 1 (2022), Texas",17.3,,,,,
610U800US48001,"State Senate District 1 (2022), Texas",17.5,COMMUTING TO WORK,,,,
610U800US48001,"State Senate District 1 (2022), Texas",18,Workers 16 years and over,"395,005","+/-3,505","395,005",(X)
610U800US48001,"State Senate District 1 (2022), Texas",19,"Car, truck, or van -- drove alone","327,977","+/-3,278",83.0,+/-0.6
610U800US48001,"State Senate District 1 (2022), Texas",20,"Car, truck, or van -- carpooled","35,728","+/-2,108",9.0,+/-0.5
610U800US48001,"State Senate District 1 (2022), Texas",21,Public transportation (excluding taxicab),"1,018",+/-370,0.3,+/-0.1
610U800US48001,"State Senate District 1 (2022), Texas",22,Walked,"4,975",+/-779,1.3,+/-0.2
