"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US49001,"State Senate District 1 (2022), Utah",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US49001,"State Senate District 1 (2022), Utah",0.5,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",0.8,EMPLOYMENT STATUS,,,,
610U800US49001,"State Senate District 1 (2022), Utah",1,Population 16 years and over,"76,971",+/-997,"76,971",(X)
610U800US49001,"State Senate District 1 (2022), Utah",2,In labor force,"51,904","+/-1,094",67.4,+/-1.2
610U800US49001,"State Senate District 1 (2022), Utah",3,Civilian labor force,"51,819","+/-1,078",67.3,+/-1.2
610U800US49001,"State Senate District 1 (2022), Utah",4,Employed,"50,492","+/-1,048",65.6,+/-1.2
610U800US49001,"State Senate District 1 (2022), Utah",5,Unemployed,"1,327",+/-232,1.7,+/-0.3
610U800US49001,"State Senate District 1 (2022), Utah",6,Armed Forces,85,+/-83,0.1,+/-0.1
610U800US49001,"State Senate District 1 (2022), Utah",7,Not in labor force,"25,067","+/-1,051",32.6,+/-1.2
610U800US49001,"State Senate District 1 (2022), Utah",7.3,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",8,Civilian labor force,"51,819","+/-1,078","51,819",(X)
610U800US49001,"State Senate District 1 (2022), Utah",9,Unemployment Rate,(X),(X),2.6,+/-0.4
610U800US49001,"State Senate District 1 (2022), Utah",9.3,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",10,Females 16 years and over,"37,906",+/-641,"37,906",(X)
610U800US49001,"State Senate District 1 (2022), Utah",11,In labor force,"22,177",+/-732,58.5,+/-1.7
610U800US49001,"State Senate District 1 (2022), Utah",12,Civilian labor force,"22,177",+/-732,58.5,+/-1.7
610U800US49001,"State Senate District 1 (2022), Utah",13,Employed,"21,429",+/-716,56.5,+/-1.7
610U800US49001,"State Senate District 1 (2022), Utah",13.3,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",14,Own children of the householder under 6 years,"10,046",+/-447,"10,046",(X)
610U800US49001,"State Senate District 1 (2022), Utah",15,All parents in family in labor force,"5,540",+/-508,55.1,+/-3.7
610U800US49001,"State Senate District 1 (2022), Utah",15.3,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",16,Own children of the householder 6 to 17 years,"25,757",+/-841,"25,757",(X)
610U800US49001,"State Senate District 1 (2022), Utah",17,All parents in family in labor force,"16,893","+/-1,006",65.6,+/-3.0
610U800US49001,"State Senate District 1 (2022), Utah",17.3,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",17.5,COMMUTING TO WORK,,,,
610U800US49001,"State Senate District 1 (2022), Utah",18,Workers 16 years and over,"49,949","+/-1,052","49,949",(X)
610U800US49001,"State Senate District 1 (2022), Utah",19,"Car, truck, or van -- drove alone","38,583","+/-1,106",77.2,+/-1.5
610U800US49001,"State Senate District 1 (2022), Utah",20,"Car, truck, or van -- carpooled","5,886",+/-585,11.8,+/-1.1
610U800US49001,"State Senate District 1 (2022), Utah",21,Public transportation (excluding taxicab),312,+/-105,0.6,+/-0.2
610U800US49001,"State Senate District 1 (2022), Utah",22,Walked,652,+/-167,1.3,+/-0.3
610U800US49001,"State Senate District 1 (2022), Utah",23,Other means,445,+/-150,0.9,+/-0.3
610U800US49001,"State Senate District 1 (2022), Utah",24,Worked from home,"4,071",+/-496,8.2,+/-1.0
610U800US49001,"State Senate District 1 (2022), Utah",24.3,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",25,Mean travel time to work (minutes),23.9,+/-0.7,(X),(X)
610U800US49001,"State Senate District 1 (2022), Utah",25.3,,,,,
610U800US49001,"State Senate District 1 (2022), Utah",25.5,OCCUPATION,,,,
610U800US49001,"State Senate District 1 (2022), Utah",26,Civilian employed population 16 years and over,"50,492","+/-1,048","50,492",(X)
610U800US49001,"State Senate District 1 (2022), Utah",27,"Management, business, science, and arts occupations","17,567",+/-808,34.8,+/-1.4
610U800US49001,"State Senate District 1 (2022), Utah",28,Service occupations,"7,940",+/-599,15.7,+/-1.1
