"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US51001,"State Senate District 1 (2022), Virginia",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",0.5,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",0.8,EMPLOYMENT STATUS,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",1,Population 16 years and over,"175,426",+/-336,"175,426",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",2,In labor force,"111,526","+/-1,281",63.6,+/-0.7
610U800US51001,"State Senate District 1 (2022), Virginia",3,Civilian labor force,"111,006","+/-1,339",63.3,+/-0.7
610U800US51001,"State Senate District 1 (2022), Virginia",4,Employed,"106,323","+/-1,368",60.6,+/-0.8
610U800US51001,"State Senate District 1 (2022), Virginia",5,Unemployed,"4,683",+/-596,2.7,+/-0.3
610U800US51001,"State Senate District 1 (2022), Virginia",6,Armed Forces,520,+/-191,0.3,+/-0.1
610U800US51001,"State Senate District 1 (2022), Virginia",7,Not in labor force,"63,900","+/-1,255",36.4,+/-0.7
610U800US51001,"State Senate District 1 (2022), Virginia",7.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",8,Civilian labor force,"111,006","+/-1,339","111,006",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",9,Unemployment Rate,(X),(X),4.2,+/-0.5
610U800US51001,"State Senate District 1 (2022), Virginia",9.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",10,Females 16 years and over,"88,673",+/-247,"88,673",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",11,In labor force,"52,843",+/-980,59.6,+/-1.1
610U800US51001,"State Senate District 1 (2022), Virginia",12,Civilian labor force,"52,833",+/-980,59.6,+/-1.1
610U800US51001,"State Senate District 1 (2022), Virginia",13,Employed,"50,841",+/-963,57.3,+/-1.1
610U800US51001,"State Senate District 1 (2022), Virginia",13.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",14,Own children of the householder under 6 years,"14,438",+/-457,"14,438",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",15,All parents in family in labor force,"9,051",+/-513,62.7,+/-3.5
610U800US51001,"State Senate District 1 (2022), Virginia",15.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",16,Own children of the householder 6 to 17 years,"31,319",+/-497,"31,319",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",17,All parents in family in labor force,"23,207",+/-928,74.1,+/-2.7
610U800US51001,"State Senate District 1 (2022), Virginia",17.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",17.5,COMMUTING TO WORK,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",18,Workers 16 years and over,"104,901","+/-1,348","104,901",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",19,"Car, truck, or van -- drove alone","81,191","+/-1,493",77.4,+/-1.0
610U800US51001,"State Senate District 1 (2022), Virginia",20,"Car, truck, or van -- carpooled","10,976",+/-907,10.5,+/-0.8
610U800US51001,"State Senate District 1 (2022), Virginia",21,Public transportation (excluding taxicab),364,+/-136,0.3,+/-0.1
610U800US51001,"State Senate District 1 (2022), Virginia",22,Walked,"2,242",+/-375,2.1,+/-0.4
610U800US51001,"State Senate District 1 (2022), Virginia",23,Other means,"1,181",+/-314,1.1,+/-0.3
610U800US51001,"State Senate District 1 (2022), Virginia",24,Worked from home,"8,947",+/-772,8.5,+/-0.7
610U800US51001,"State Senate District 1 (2022), Virginia",24.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",25,Mean travel time to work (minutes),32.5,+/-0.8,(X),(X)
610U800US51001,"State Senate District 1 (2022), Virginia",25.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",25.5,OCCUPATION,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",26,Civilian employed population 16 years and over,"106,323","+/-1,368","106,323",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",27,"Management, business, science, and arts occupations","38,577","+/-1,462",36.3,+/-1.2
610U800US51001,"State Senate District 1 (2022), Virginia",28,Service occupations,"18,613",+/-899,17.5,+/-0.8
610U800US51001,"State Senate District 1 (2022), Virginia",29,Sales and office occupations,"22,105",+/-981,20.8,+/-0.9
610U800US51001,"State Senate District 1 (2022), Virginia",30,"Natural resources, construction, and maintenance occupations","12,106",+/-954,11.4,+/-0.9
610U800US51001,"State Senate District 1 (2022), Virginia",31,"Production, transportation, and material moving occupations","14,922",+/-999,14.0,+/-0.9
610U800US51001,"State Senate District 1 (2022), Virginia",31.3,,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",31.5,INDUSTRY,,,,
610U800US51001,"State Senate District 1 (2022), Virginia",32,Civilian employed population 16 years and over,"106,323","+/-1,368","106,323",(X)
610U800US51001,"State Senate District 1 (2022), Virginia",33,"Agriculture, forestry, fishing and hunting, and mining","2,142",+/-532,2.0,+/-0.5
610U800US51001,"State Senate District 1 (2022), Virginia",34,Construction,"10,124",+/-862,9.5,+/-0.8
610U800US51001,"State Senate District 1 (2022), Virginia",35,Manufacturing,"9,709",+/-754,9.1,+/-0.7
610U800US51001,"State Senate District 1 (2022), Virginia",36,Wholesale trade,"2,542",+/-361,2.4,+/-0.3
610U800US51001,"State Senate District 1 (2022), Virginia",37,Retail trade,"12,163",+/-807,11.4,+/-0.8
610U800US51001,"State Senate District 1 (2022), Virginia",38,"Transportation and warehousing, and utilities","5,688",+/-580,5.3,+/-0.5
