"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US54001,"Senate District 1 (2022), West Virginia",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",0.5,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",0.8,EMPLOYMENT STATUS,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",1,Population 16 years and over,"85,335",+/-676,"85,335",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",2,In labor force,"47,816",+/-971,56.0,+/-1.1
610U800US54001,"Senate District 1 (2022), West Virginia",3,Civilian labor force,"47,717",+/-970,55.9,+/-1.1
610U800US54001,"Senate District 1 (2022), West Virginia",4,Employed,"44,624","+/-1,048",52.3,+/-1.2
610U800US54001,"Senate District 1 (2022), West Virginia",5,Unemployed,"3,093",+/-456,3.6,+/-0.5
610U800US54001,"Senate District 1 (2022), West Virginia",6,Armed Forces,99,+/-84,0.1,+/-0.1
610U800US54001,"Senate District 1 (2022), West Virginia",7,Not in labor force,"37,519","+/-1,050",44.0,+/-1.1
610U800US54001,"Senate District 1 (2022), West Virginia",7.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",8,Civilian labor force,"47,717",+/-970,"47,717",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",9,Unemployment Rate,(X),(X),6.5,+/-1.0
610U800US54001,"Senate District 1 (2022), West Virginia",9.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",10,Females 16 years and over,"44,197",+/-450,"44,197",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",11,In labor force,"22,235",+/-645,50.3,+/-1.4
610U800US54001,"Senate District 1 (2022), West Virginia",12,Civilian labor force,"22,187",+/-655,50.2,+/-1.5
610U800US54001,"Senate District 1 (2022), West Virginia",13,Employed,"20,698",+/-657,46.8,+/-1.5
610U800US54001,"Senate District 1 (2022), West Virginia",13.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",14,Own children of the householder under 6 years,"5,628",+/-348,"5,628",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",15,All parents in family in labor force,"3,633",+/-408,64.6,+/-5.7
610U800US54001,"Senate District 1 (2022), West Virginia",15.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",16,Own children of the householder 6 to 17 years,"12,568",+/-422,"12,568",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",17,All parents in family in labor force,"8,843",+/-539,70.4,+/-4.1
610U800US54001,"Senate District 1 (2022), West Virginia",17.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",17.5,COMMUTING TO WORK,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",18,Workers 16 years and over,"43,705","+/-1,024","43,705",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",19,"Car, truck, or van -- drove alone","35,906","+/-1,158",82.2,+/-1.7
610U800US54001,"Senate District 1 (2022), West Virginia",20,"Car, truck, or van -- carpooled","3,262",+/-448,7.5,+/-1.0
610U800US54001,"Senate District 1 (2022), West Virginia",21,Public transportation (excluding taxicab),386,+/-112,0.9,+/-0.3
610U800US54001,"Senate District 1 (2022), West Virginia",22,Walked,"1,453",+/-267,3.3,+/-0.6
610U800US54001,"Senate District 1 (2022), West Virginia",23,Other means,523,+/-200,1.2,+/-0.5
610U800US54001,"Senate District 1 (2022), West Virginia",24,Worked from home,"2,175",+/-363,5.0,+/-0.8
610U800US54001,"Senate District 1 (2022), West Virginia",24.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",25,Mean travel time to work (minutes),23.0,+/-0.8,(X),(X)
610U800US54001,"Senate District 1 (2022), West Virginia",25.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",25.5,OCCUPATION,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",26,Civilian employed population 16 years and over,"44,624","+/-1,048","44,624",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",27,"Management, business, science, and arts occupations","14,926",+/-833,33.4,+/-1.8
610U800US54001,"Senate District 1 (2022), West Virginia",28,Service occupations,"8,748",+/-725,19.6,+/-1.6
610U800US54001,"Senate District 1 (2022), West Virginia",29,Sales and office occupations,"9,424",+/-618,21.1,+/-1.3
610U800US54001,"Senate District 1 (2022), West Virginia",30,"Natural resources, construction, and maintenance occupations","4,520",+/-507,10.1,+/-1.1
610U800US54001,"Senate District 1 (2022), West Virginia",31,"Production, transportation, and material moving occupations","7,006",+/-670,15.7,+/-1.4
610U800US54001,"Senate District 1 (2022), West Virginia",31.3,,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",31.5,INDUSTRY,,,,
610U800US54001,"Senate District 1 (2022), West Virginia",32,Civilian employed population 16 years and over,"44,624","+/-1,048","44,624",(X)
610U800US54001,"Senate District 1 (2022), West Virginia",33,"Agriculture, forestry, fishing and hunting, and mining","1,424",+/-275,3.2,+/-0.6
610U800US54001,"Senate District 1 (2022), West Virginia",34,Construction,"2,668",+/-428,6.0,+/-0.9
610U800US54001,"Senate District 1 (2022), West Virginia",35,Manufacturing,"4,000",+/-390,9.0,+/-0.9
610U800US54001,"Senate District 1 (2022), West Virginia",36,Wholesale trade,966,+/-288,2.2,+/-0.6
610U800US54001,"Senate District 1 (2022), West Virginia",37,Retail trade,"5,596",+/-512,12.5,+/-1.1
610U800US54001,"Senate District 1 (2022), West Virginia",38,"Transportation and warehousing, and utilities","2,722",+/-407,6.1,+/-0.9
610U800US54001,"Senate District 1 (2022), West Virginia",39,Information,415,+/-158,0.9,+/-0.4
