"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US05001,"State Senate District 1 (2022), Arkansas",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",0.5,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",0.8,HOUSING OCCUPANCY,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",1,Total housing units,"40,207",+/-439,"40,207",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",2,Occupied housing units,"31,851",+/-660,79.2,+/-1.3
610U800US05001,"State Senate District 1 (2022), Arkansas",3,Vacant housing units,"8,356",+/-541,20.8,+/-1.3
610U800US05001,"State Senate District 1 (2022), Arkansas",3.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",4,Homeowner vacancy rate,1.2,+/-0.5,(X),(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",5,Rental vacancy rate,8.2,+/-2.1,(X),(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",5.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",5.5,UNITS IN STRUCTURE,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",6,Total housing units,"40,207",+/-439,"40,207",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",7,"1-unit, detached","27,592",+/-763,68.6,+/-1.7
610U800US05001,"State Senate District 1 (2022), Arkansas",8,"1-unit, attached",177,+/-97,0.4,+/-0.2
610U800US05001,"State Senate District 1 (2022), Arkansas",9,2 units,972,+/-240,2.4,+/-0.6
610U800US05001,"State Senate District 1 (2022), Arkansas",10,3 or 4 units,960,+/-207,2.4,+/-0.5
610U800US05001,"State Senate District 1 (2022), Arkansas",11,5 to 9 units,559,+/-165,1.4,+/-0.4
610U800US05001,"State Senate District 1 (2022), Arkansas",12,10 to 19 units,232,+/-115,0.6,+/-0.3
610U800US05001,"State Senate District 1 (2022), Arkansas",13,20 or more units,684,+/-181,1.7,+/-0.4
610U800US05001,"State Senate District 1 (2022), Arkansas",14,Mobile home,"8,976",+/-560,22.3,+/-1.4
610U800US05001,"State Senate District 1 (2022), Arkansas",15,"Boat, RV, van, etc.",55,+/-45,0.1,+/-0.1
610U800US05001,"State Senate District 1 (2022), Arkansas",15.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",15.5,YEAR STRUCTURE BUILT,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",16,Total housing units,"40,207",+/-439,"40,207",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",17,Built 2020 or later,5,+/-7,0.0,+/-0.1
610U800US05001,"State Senate District 1 (2022), Arkansas",18,Built 2010 to 2019,"2,800",+/-352,7.0,+/-0.9
610U800US05001,"State Senate District 1 (2022), Arkansas",19,Built 2000 to 2009,"4,243",+/-398,10.6,+/-1.0
610U800US05001,"State Senate District 1 (2022), Arkansas",20,Built 1990 to 1999,"7,048",+/-666,17.5,+/-1.6
610U800US05001,"State Senate District 1 (2022), Arkansas",21,Built 1980 to 1989,"6,375",+/-567,15.9,+/-1.4
610U800US05001,"State Senate District 1 (2022), Arkansas",22,Built 1970 to 1979,"8,618",+/-524,21.4,+/-1.3
610U800US05001,"State Senate District 1 (2022), Arkansas",23,Built 1960 to 1969,"4,334",+/-430,10.8,+/-1.1
610U800US05001,"State Senate District 1 (2022), Arkansas",24,Built 1950 to 1959,"3,377",+/-368,8.4,+/-0.9
610U800US05001,"State Senate District 1 (2022), Arkansas",25,Built 1940 to 1949,"1,453",+/-247,3.6,+/-0.6
610U800US05001,"State Senate District 1 (2022), Arkansas",26,Built 1939 or earlier,"1,954",+/-353,4.9,+/-0.9
610U800US05001,"State Senate District 1 (2022), Arkansas",26.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",26.5,ROOMS,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",27,Total housing units,"40,207",+/-439,"40,207",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",28,1 room,606,+/-166,1.5,+/-0.4
610U800US05001,"State Senate District 1 (2022), Arkansas",29,2 rooms,516,+/-170,1.3,+/-0.4
610U800US05001,"State Senate District 1 (2022), Arkansas",30,3 rooms,"1,927",+/-338,4.8,+/-0.8
610U800US05001,"State Senate District 1 (2022), Arkansas",31,4 rooms,"5,401",+/-502,13.4,+/-1.2
610U800US05001,"State Senate District 1 (2022), Arkansas",32,5 rooms,"11,133",+/-644,27.7,+/-1.6
610U800US05001,"State Senate District 1 (2022), Arkansas",33,6 rooms,"8,628",+/-643,21.5,+/-1.6
610U800US05001,"State Senate District 1 (2022), Arkansas",34,7 rooms,"5,639",+/-502,14.0,+/-1.2
610U800US05001,"State Senate District 1 (2022), Arkansas",35,8 rooms,"3,101",+/-361,7.7,+/-0.9
610U800US05001,"State Senate District 1 (2022), Arkansas",36,9 rooms or more,"3,256",+/-374,8.1,+/-0.9
610U800US05001,"State Senate District 1 (2022), Arkansas",37,Median rooms,5.6,+/-0.2,(X),(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",37.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",37.5,BEDROOMS,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",38,Total housing units,"40,207",+/-439,"40,207",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",39,No bedroom,658,+/-176,1.6,+/-0.4
610U800US05001,"State Senate District 1 (2022), Arkansas",40,1 bedroom,"2,089",+/-310,5.2,+/-0.8
610U800US05001,"State Senate District 1 (2022), Arkansas",41,2 bedrooms,"8,693",+/-645,21.6,+/-1.6
610U800US05001,"State Senate District 1 (2022), Arkansas",42,3 bedrooms,"23,259",+/-678,57.8,+/-1.5
610U800US05001,"State Senate District 1 (2022), Arkansas",43,4 bedrooms,"4,896",+/-489,12.2,+/-1.2
610U800US05001,"State Senate District 1 (2022), Arkansas",44,5 or more bedrooms,612,+/-155,1.5,+/-0.4
610U800US05001,"State Senate District 1 (2022), Arkansas",44.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",44.5,HOUSING TENURE,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",45,Occupied housing units,"31,851",+/-660,"31,851",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",46,Owner-occupied,"23,072",+/-677,72.4,+/-1.5
610U800US05001,"State Senate District 1 (2022), Arkansas",47,Renter-occupied,"8,779",+/-508,27.6,+/-1.5
610U800US05001,"State Senate District 1 (2022), Arkansas",47.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",48,Average household size of owner-occupied unit,2.64,+/-0.06,(X),(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",49,Average household size of renter-occupied unit,2.43,+/-0.10,(X),(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",49.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",50,Occupied housing units,"31,851",+/-660,"31,851",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",51,Moved in 2019 or later,"2,155",+/-312,6.8,+/-0.9
610U800US05001,"State Senate District 1 (2022), Arkansas",52,Moved in 2015 to 2018,"7,462",+/-520,23.4,+/-1.5
610U800US05001,"State Senate District 1 (2022), Arkansas",53,Moved in 2010 to 2014,"5,325",+/-526,16.7,+/-1.6
610U800US05001,"State Senate District 1 (2022), Arkansas",54,Moved in 2000 to 2009,"7,033",+/-487,22.1,+/-1.5
610U800US05001,"State Senate District 1 (2022), Arkansas",55,Moved in 1990 to 1999,"3,973",+/-432,12.5,+/-1.4
610U800US05001,"State Senate District 1 (2022), Arkansas",56,Moved in 1989 and earlier,"5,903",+/-439,18.5,+/-1.3
610U800US05001,"State Senate District 1 (2022), Arkansas",56.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",56.5,VEHICLES AVAILABLE,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",57,Occupied housing units,"31,851",+/-660,"31,851",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",58,No vehicles available,"2,359",+/-325,7.4,+/-1.0
610U800US05001,"State Senate District 1 (2022), Arkansas",59,1 vehicle available,"9,856",+/-676,30.9,+/-1.8
610U800US05001,"State Senate District 1 (2022), Arkansas",60,2 vehicles available,"12,019",+/-674,37.7,+/-2.1
610U800US05001,"State Senate District 1 (2022), Arkansas",61,3 or more vehicles available,"7,617",+/-504,23.9,+/-1.6
610U800US05001,"State Senate District 1 (2022), Arkansas",61.3,,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",61.5,HOUSE HEATING FUEL,,,,
610U800US05001,"State Senate District 1 (2022), Arkansas",62,Occupied housing units,"31,851",+/-660,"31,851",(X)
610U800US05001,"State Senate District 1 (2022), Arkansas",63,Utility gas,"9,227",+/-525,29.0,+/-1.5
