"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US06001,"State Senate District 1 (2022), California",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US06001,"State Senate District 1 (2022), California",0.5,,,,,
610U800US06001,"State Senate District 1 (2022), California",0.8,HOUSING OCCUPANCY,,,,
610U800US06001,"State Senate District 1 (2022), California",1,Total housing units,"407,592",+/-862,"407,592",(X)
610U800US06001,"State Senate District 1 (2022), California",2,Occupied housing units,"356,326","+/-1,852",87.4,+/-0.4
610U800US06001,"State Senate District 1 (2022), California",3,Vacant housing units,"51,266","+/-1,600",12.6,+/-0.4
610U800US06001,"State Senate District 1 (2022), California",3.3,,,,,
610U800US06001,"State Senate District 1 (2022), California",4,Homeowner vacancy rate,1.5,+/-0.2,(X),(X)
610U800US06001,"State Senate District 1 (2022), California",5,Rental vacancy rate,4.7,+/-0.6,(X),(X)
610U800US06001,"State Senate District 1 (2022), California",5.3,,,,,
610U800US06001,"State Senate District 1 (2022), California",5.5,UNITS IN STRUCTURE,,,,
610U800US06001,"State Senate District 1 (2022), California",6,Total housing units,"407,592",+/-862,"407,592",(X)
610U800US06001,"State Senate District 1 (2022), California",7,"1-unit, detached","287,293","+/-2,186",70.5,+/-0.5
610U800US06001,"State Senate District 1 (2022), California",8,"1-unit, attached","10,806",+/-707,2.7,+/-0.2
610U800US06001,"State Senate District 1 (2022), California",9,2 units,"9,602",+/-897,2.4,+/-0.2
610U800US06001,"State Senate District 1 (2022), California",10,3 or 4 units,"18,500","+/-1,137",4.5,+/-0.3
610U800US06001,"State Senate District 1 (2022), California",11,5 to 9 units,"14,273",+/-997,3.5,+/-0.2
610U800US06001,"State Senate District 1 (2022), California",12,10 to 19 units,"7,619",+/-703,1.9,+/-0.2
610U800US06001,"State Senate District 1 (2022), California",13,20 or more units,"15,823",+/-900,3.9,+/-0.2
610U800US06001,"State Senate District 1 (2022), California",14,Mobile home,"42,222","+/-1,414",10.4,+/-0.4
610U800US06001,"State Senate District 1 (2022), California",15,"Boat, RV, van, etc.","1,454",+/-273,0.4,+/-0.1
610U800US06001,"State Senate District 1 (2022), California",15.3,,,,,
610U800US06001,"State Senate District 1 (2022), California",15.5,YEAR STRUCTURE BUILT,,,,
610U800US06001,"State Senate District 1 (2022), California",16,Total housing units,"407,592",+/-862,"407,592",(X)
610U800US06001,"State Senate District 1 (2022), California",17,Built 2020 or later,923,+/-287,0.2,+/-0.1
610U800US06001,"State Senate District 1 (2022), California",18,Built 2010 to 2019,"15,852","+/-1,169",3.9,+/-0.3
610U800US06001,"State Senate District 1 (2022), California",19,Built 2000 to 2009,"54,596","+/-1,365",13.4,+/-0.3
610U800US06001,"State Senate District 1 (2022), California",20,Built 1990 to 1999,"56,160","+/-1,877",13.8,+/-0.5
