"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US08001,"State Senate District 1 (2022), Colorado",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",0.5,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",0.8,HOUSING OCCUPANCY,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",1,Total housing units,"63,297",+/-766,"63,297",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",2,Occupied housing units,"59,160",+/-913,93.5,+/-0.6
610U800US08001,"State Senate District 1 (2022), Colorado",3,Vacant housing units,"4,137",+/-384,6.5,+/-0.6
610U800US08001,"State Senate District 1 (2022), Colorado",3.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",4,Homeowner vacancy rate,1.3,+/-0.4,(X),(X)
610U800US08001,"State Senate District 1 (2022), Colorado",5,Rental vacancy rate,4.6,+/-1.2,(X),(X)
610U800US08001,"State Senate District 1 (2022), Colorado",5.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",5.5,UNITS IN STRUCTURE,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",6,Total housing units,"63,297",+/-766,"63,297",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",7,"1-unit, detached","49,759","+/-1,007",78.6,+/-1.3
610U800US08001,"State Senate District 1 (2022), Colorado",8,"1-unit, attached","2,008",+/-289,3.2,+/-0.5
610U800US08001,"State Senate District 1 (2022), Colorado",9,2 units,874,+/-231,1.4,+/-0.4
610U800US08001,"State Senate District 1 (2022), Colorado",10,3 or 4 units,"1,474",+/-245,2.3,+/-0.4
610U800US08001,"State Senate District 1 (2022), Colorado",11,5 to 9 units,"1,319",+/-296,2.1,+/-0.5
610U800US08001,"State Senate District 1 (2022), Colorado",12,10 to 19 units,"1,166",+/-222,1.8,+/-0.4
610U800US08001,"State Senate District 1 (2022), Colorado",13,20 or more units,"1,621",+/-391,2.6,+/-0.6
610U800US08001,"State Senate District 1 (2022), Colorado",14,Mobile home,"4,980",+/-592,7.9,+/-0.9
610U800US08001,"State Senate District 1 (2022), Colorado",15,"Boat, RV, van, etc.",96,+/-64,0.2,+/-0.1
610U800US08001,"State Senate District 1 (2022), Colorado",15.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",15.5,YEAR STRUCTURE BUILT,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",16,Total housing units,"63,297",+/-766,"63,297",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",17,Built 2020 or later,307,+/-178,0.5,+/-0.3
610U800US08001,"State Senate District 1 (2022), Colorado",18,Built 2010 to 2019,"6,789",+/-605,10.7,+/-1.0
610U800US08001,"State Senate District 1 (2022), Colorado",19,Built 2000 to 2009,"11,382",+/-705,18.0,+/-1.0
610U800US08001,"State Senate District 1 (2022), Colorado",20,Built 1990 to 1999,"8,435",+/-574,13.3,+/-0.9
610U800US08001,"State Senate District 1 (2022), Colorado",21,Built 1980 to 1989,"5,109",+/-525,8.1,+/-0.8
610U800US08001,"State Senate District 1 (2022), Colorado",22,Built 1970 to 1979,"9,352",+/-637,14.8,+/-1.0
610U800US08001,"State Senate District 1 (2022), Colorado",23,Built 1960 to 1969,"4,041",+/-428,6.4,+/-0.7
610U800US08001,"State Senate District 1 (2022), Colorado",24,Built 1950 to 1959,"5,309",+/-465,8.4,+/-0.7
610U800US08001,"State Senate District 1 (2022), Colorado",25,Built 1940 to 1949,"2,341",+/-282,3.7,+/-0.4
610U800US08001,"State Senate District 1 (2022), Colorado",26,Built 1939 or earlier,"10,232",+/-598,16.2,+/-0.9
610U800US08001,"State Senate District 1 (2022), Colorado",26.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",26.5,ROOMS,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",27,Total housing units,"63,297",+/-766,"63,297",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",28,1 room,601,+/-172,0.9,+/-0.3
610U800US08001,"State Senate District 1 (2022), Colorado",29,2 rooms,"1,201",+/-355,1.9,+/-0.6
610U800US08001,"State Senate District 1 (2022), Colorado",30,3 rooms,"3,480",+/-464,5.5,+/-0.7
610U800US08001,"State Senate District 1 (2022), Colorado",31,4 rooms,"8,327",+/-588,13.2,+/-0.9
610U800US08001,"State Senate District 1 (2022), Colorado",32,5 rooms,"10,610",+/-763,16.8,+/-1.2
610U800US08001,"State Senate District 1 (2022), Colorado",33,6 rooms,"10,227",+/-647,16.2,+/-1.0
610U800US08001,"State Senate District 1 (2022), Colorado",34,7 rooms,"8,628",+/-732,13.6,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",35,8 rooms,"7,189",+/-521,11.4,+/-0.8
610U800US08001,"State Senate District 1 (2022), Colorado",36,9 rooms or more,"13,034",+/-697,20.6,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",37,Median rooms,6.2,+/-0.1,(X),(X)
610U800US08001,"State Senate District 1 (2022), Colorado",37.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",37.5,BEDROOMS,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",38,Total housing units,"63,297",+/-766,"63,297",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",39,No bedroom,697,+/-182,1.1,+/-0.3
610U800US08001,"State Senate District 1 (2022), Colorado",40,1 bedroom,"3,803",+/-415,6.0,+/-0.7
610U800US08001,"State Senate District 1 (2022), Colorado",41,2 bedrooms,"13,260",+/-733,20.9,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",42,3 bedrooms,"25,210","+/-1,079",39.8,+/-1.6
610U800US08001,"State Senate District 1 (2022), Colorado",43,4 bedrooms,"13,157",+/-719,20.8,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",44,5 or more bedrooms,"7,170",+/-503,11.3,+/-0.8
610U800US08001,"State Senate District 1 (2022), Colorado",44.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",44.5,HOUSING TENURE,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",45,Occupied housing units,"59,160",+/-913,"59,160",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",46,Owner-occupied,"44,561","+/-1,006",75.3,+/-1.4
610U800US08001,"State Senate District 1 (2022), Colorado",47,Renter-occupied,"14,599",+/-856,24.7,+/-1.4
610U800US08001,"State Senate District 1 (2022), Colorado",47.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",48,Average household size of owner-occupied unit,2.71,+/-0.04,(X),(X)
610U800US08001,"State Senate District 1 (2022), Colorado",49,Average household size of renter-occupied unit,2.58,+/-0.10,(X),(X)
610U800US08001,"State Senate District 1 (2022), Colorado",49.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",50,Occupied housing units,"59,160",+/-913,"59,160",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",51,Moved in 2019 or later,"6,420",+/-624,10.9,+/-1.0
610U800US08001,"State Senate District 1 (2022), Colorado",52,Moved in 2015 to 2018,"17,928",+/-825,30.3,+/-1.4
610U800US08001,"State Senate District 1 (2022), Colorado",53,Moved in 2010 to 2014,"10,087",+/-679,17.1,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",54,Moved in 2000 to 2009,"12,297",+/-717,20.8,+/-1.1
610U800US08001,"State Senate District 1 (2022), Colorado",55,Moved in 1990 to 1999,"6,124",+/-478,10.4,+/-0.8
610U800US08001,"State Senate District 1 (2022), Colorado",56,Moved in 1989 and earlier,"6,304",+/-430,10.7,+/-0.7
610U800US08001,"State Senate District 1 (2022), Colorado",56.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",56.5,VEHICLES AVAILABLE,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",57,Occupied housing units,"59,160",+/-913,"59,160",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",58,No vehicles available,"1,862",+/-310,3.1,+/-0.5
610U800US08001,"State Senate District 1 (2022), Colorado",59,1 vehicle available,"14,279",+/-865,24.1,+/-1.4
610U800US08001,"State Senate District 1 (2022), Colorado",60,2 vehicles available,"21,507",+/-902,36.4,+/-1.5
610U800US08001,"State Senate District 1 (2022), Colorado",61,3 or more vehicles available,"21,512",+/-870,36.4,+/-1.3
610U800US08001,"State Senate District 1 (2022), Colorado",61.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",61.5,HOUSE HEATING FUEL,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",62,Occupied housing units,"59,160",+/-913,"59,160",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",63,Utility gas,"35,490",+/-970,60.0,+/-1.4
610U800US08001,"State Senate District 1 (2022), Colorado",64,"Bottled, tank, or LP gas","9,799",+/-556,16.6,+/-0.9
610U800US08001,"State Senate District 1 (2022), Colorado",65,Electricity,"12,079",+/-810,20.4,+/-1.4
610U800US08001,"State Senate District 1 (2022), Colorado",66,"Fuel oil, kerosene, etc.",104,+/-56,0.2,+/-0.1
610U800US08001,"State Senate District 1 (2022), Colorado",67,Coal or coke,10,+/-14,0.0,+/-0.1
610U800US08001,"State Senate District 1 (2022), Colorado",68,Wood,742,+/-166,1.3,+/-0.3
610U800US08001,"State Senate District 1 (2022), Colorado",69,Solar energy,208,+/-88,0.4,+/-0.1
610U800US08001,"State Senate District 1 (2022), Colorado",70,Other fuel,506,+/-181,0.9,+/-0.3
610U800US08001,"State Senate District 1 (2022), Colorado",71,No fuel used,222,+/-101,0.4,+/-0.2
610U800US08001,"State Senate District 1 (2022), Colorado",71.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",71.5,SELECTED CHARACTERISTICS,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",72,Occupied housing units,"59,160",+/-913,"59,160",(X)
610U800US08001,"State Senate District 1 (2022), Colorado",73,Lacking complete plumbing facilities,255,+/-139,0.4,+/-0.2
610U800US08001,"State Senate District 1 (2022), Colorado",74,Lacking complete kitchen facilities,382,+/-159,0.6,+/-0.3
610U800US08001,"State Senate District 1 (2022), Colorado",75,No telephone service available,477,+/-115,0.8,+/-0.2
610U800US08001,"State Senate District 1 (2022), Colorado",75.3,,,,,
610U800US08001,"State Senate District 1 (2022), Colorado",75.5,OCCUPANTS PER ROOM,,,,
